PRODUCT;PROVINCIE;GEMEENTE;FEITCODE;OMSCHRIJVING;ZAKEN;BEDRAG
OM-afdoening;Groningen;Appingedam;A917A;Met een motorrijtuig, niet zijnde brom-fiets,rijden zonder vereiste verzekering;1;600
OM-afdoening;Groningen;Appingedam;D505;Op openbare weg/voor publiek toeg.plaatstegen personen/goed. baldadigheid plegen;1;230
OM-afdoening;Groningen;Appingedam;D510;In staat v.dronkensch.het verkeer belem-meren/orde verstoren/veiligheid bedreig.;2;760
OM-afdoening;Groningen;Appingedam;D515;Door het bevoegd gezag naar zijn naamgevraagd een valse naam opgeven;1;380
OM-afdoening;Groningen;Appingedam;D517;Niet voldoen aan verplichting om identi-teitsbewijs ter inzage aan te bieden;11;998
OM-afdoening;Groningen;Appingedam;D530;Zich in kennelijke staat van dronken-schap op de openbare weg bevinden;7;665
OM-afdoening;Groningen;Appingedam;D537;Zonder gerechtigd bevinden op grondwaarvan toegang blijkbare wijze verboden;2;143
OM-afdoening;Groningen;Appingedam;E100A;Zonder geldig vervoersbewijs gebruikmaken van het openbaar vervoer;4;380
OM-afdoening;Groningen;Appingedam;E120C;Als reiziger orde/rust etc. verstorendoor verhinderen taakuitoef. personeel;2;460
OM-afdoening;Groningen;Appingedam;E128;als reiziger niet opvolgen aanwijzingenbetr. orde etc. door vervoerder bekend;1;95
OM-afdoening;Groningen;Appingedam;E211A;Als persoon jonger dan 18 alcohol aan-wezig hebben waar dit niet is toegestaan;5;475
OM-afdoening;Groningen;Appingedam;E211B;Als persoon jonger dan 18 alcohol aan-wezig hebben waar dit niet is toegestaan;4;192
OM-afdoening;Groningen;Appingedam;F185;Binnen bebouwde kom buiten daarvoor be-stemde plaats zijn behoefte doen;8;1120
OM-afdoening;Groningen;Appingedam;GA300A;Rijden onder invloed, alcoholgehalteadem bedraagt: 235 t/m 350 µg/l;1;325
OM-afdoening;Groningen;Appingedam;GA300B;Rijden onder invloed, alcoholgehalteadem bedraagt: 355 t/m 435 µg/l;2;850
OM-afdoening;Groningen;Appingedam;GA305A;Rijden onder invloed, alcoholgehalteadem 95 t/m 230µg/l.(beg. bestuurder);1;300
OM-afdoening;Groningen;Appingedam;H009;Huish.afv.st. niet op voorgeschr.wijzenvia inzamelvoorz. op wijkniv. aanbieden;1;95
OM-afdoening;Groningen;Appingedam;H022;Straatafval achterlaten in openb. ruimtezonder gebruik voorgeschreven bakken e.d;1;140
OM-afdoening;Groningen;Appingedam;H025;Afval buiten een inrichting storten/opof in de bodem brengen/te verbranden;1;380
OM-afdoening;Groningen;Appingedam;H101;Als particulier afval verbranden enbodem aantasten of verontreinigen;1;460
OM-afdoening;Groningen;Appingedam;H205;Veroorz. geluidhinder voor omwonende ofomgeving door toestellen/geluidsapp etc.;1;140
OM-afdoening;Groningen;Appingedam;H645A;Binnenvisserij uitoefenen zndr schrift.toestemming rechthebbende mt 1/2 hengels;6;770
OM-afdoening;Groningen;Appingedam;H645C;Binnenvisserij uitoefenen zndr schrift.toestemming rechthebbende met >2 hengels;1;320
OM-afdoening;Groningen;Appingedam;H656;Vissen tussen twee uur na zonsondergangen een uur voor zonsopkomst;2;190
OM-afdoening;Groningen;Appingedam;K055;Rijden zonder geldig rijbewijs;3;920
OM-afdoening;Groningen;Appingedam;K060F;Rijden tw. rijbewijs geldigh. heeft ver-loren, verstrijken geldigh.duur (>1 jr);2;680
OM-afdoening;Groningen;Appingedam;R469;Op autoweg keren met motorvoertuig;4;1520
OM-afdoening;Groningen;Appingedam;R471;Op rijbaan van autoweg motorvoertuiglaten stilstaan;1;380
OM-afdoening;Groningen;Appingedam;R630A;Niet opvolgen van vastgest. aanwijzingendoor bevoegde/kenbare ambtenaren;2;380
OM-afdoening;Groningen;Appingedam;VA035;Overschrijding max. snelheid binnenbebouwde kom, van 31 tot 35 km/h;4;1456
OM-afdoening;Groningen;Appingedam;VB035;Overschrijding max.snelheid binnen debebouwde kom(verkeersbord A1) 31-35 km/h;1;364
OM-afdoening;Groningen;Appingedam;VF040;Overschrijding max snelheid (auto)wegenbuiten bebouwde kom, van 35-40 km/h;1;404
OM-afdoening;Groningen;Appingedam;VG040;Overschrijding max snelheid (auto)wegenbuiten beb.kom 35-40 km/h (verkeersb A1);1;404
OM-afdoening;Groningen;Appingedam;W075A;Met klein schip de toegestane snelheidoverschreden tot 6 km/h (verkeerst. B6);3;238
