OBJECTID,POSITIONELE_NAUWKEURIGHEID_MM,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,LENGTE,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,Shape__Length
1,283,0,2016/01/06 12:22:06+00,18.433,Valkenburg aan de Geul,G0994,bestaand,18.4329215535682
2,283,0,2016/04/16 00:00:00+00,14.519,Utrecht,G0344,bestaand,14.5194468450314
3,283,0,2016/04/16 00:00:00+00,8.086,Utrecht,G0344,bestaand,8.08590996734443
4,283,0,2016/04/16 00:00:00+00,12.409,Utrecht,G0344,bestaand,12.4093141924733
5,283,0,2016/04/16 00:00:00+00,8.094,Utrecht,G0344,bestaand,8.09440365537622
6,283,0,2016/04/16 00:00:00+00,1.399,Utrecht,G0344,bestaand,1.39900321657958
7,283,0,2016/04/16 00:00:00+00,1.098,Utrecht,G0344,bestaand,1.09821673635034
8,283,0,2016/04/16 00:00:00+00,3.172,Utrecht,G0344,bestaand,3.17179208019694
9,283,0,2016/04/16 00:00:00+00,18.423,Utrecht,G0344,bestaand,18.42323101413
10,283,0,2016/04/16 00:00:00+00,7.829,Utrecht,G0344,bestaand,7.82851997506553
11,283,0,2016/04/16 00:00:00+00,0.997,Utrecht,G0344,bestaand,0.996695038615122
12,283,0,2016/04/16 00:00:00+00,83.367,Utrecht,G0344,bestaand,83.3667159561654
13,283,0,2016/04/16 00:00:00+00,15.374,Utrecht,G0344,bestaand,15.374234642107
14,283,0,2016/04/16 00:00:00+00,19.556,Utrecht,G0344,bestaand,19.5563344469254
15,283,0,2016/04/16 00:00:00+00,8.106,Utrecht,G0344,bestaand,8.10613436297668
16,283,0,2016/04/16 00:00:00+00,1.398,Utrecht,G0344,bestaand,1.39812195462342
17,283,0,2016/04/16 00:00:00+00,12.338,Utrecht,G0344,bestaand,12.3378129259694
18,283,0,2016/04/16 00:00:00+00,6.337,Utrecht,G0344,bestaand,6.33707345704624
19,283,0,2016/04/16 00:00:00+00,1.098,Utrecht,G0344,bestaand,1.09825315842933
20,283,0,2016/04/18 00:00:00+00,12.941,Utrecht,G0344,bestaand,12.9413118732221
21,283,0,2016/04/18 00:00:00+00,3.691,Utrecht,G0344,bestaand,3.6910946885714
22,283,0,2016/04/18 00:00:00+00,12.945,Utrecht,G0344,bestaand,12.9450965620191
23,283,0,2016/04/18 00:00:00+00,4.884,Utrecht,G0344,bestaand,4.88402958631497
24,283,0,2016/04/18 00:00:00+00,5.206,Utrecht,G0344,bestaand,5.20600979637956
25,283,0,2016/04/18 00:00:00+00,1.267,Utrecht,G0344,bestaand,1.26744230637927
26,283,0,2016/04/16 00:00:00+00,6.57,Utrecht,G0344,bestaand,6.56966513606287
27,283,0,2016/04/16 00:00:00+00,4.54,Utrecht,G0344,bestaand,4.53988942596623
28,283,0,2016/04/16 00:00:00+00,14.701,Utrecht,G0344,bestaand,14.7010933606994
29,283,0,2016/04/16 00:00:00+00,39.113,Utrecht,G0344,bestaand,39.1133672355592
30,283,0,2016/04/16 00:00:00+00,8.001,Utrecht,G0344,bestaand,8.00078121185675
31,283,0,2016/04/16 00:00:00+00,4.613,Utrecht,G0344,bestaand,4.61336168103044
32,283,0,2016/04/16 00:00:00+00,33.699,Utrecht,G0344,bestaand,33.6992288487437
33,283,0,2016/04/16 00:00:00+00,22.395,Utrecht,G0344,bestaand,22.3952460881442
34,283,0,2016/04/16 00:00:00+00,24.116,Utrecht,G0344,bestaand,24.1164499253103
35,283,0,2016/04/16 00:00:00+00,7.37,Utrecht,G0344,bestaand,7.36996253735743
36,283,0,2016/04/16 00:00:00+00,33.702,Utrecht,G0344,bestaand,33.7023100246852
37,283,0,2016/04/16 00:00:00+00,2.961,Utrecht,G0344,bestaand,2.96055780696938
38,283,0,2016/04/16 00:00:00+00,2.087,Utrecht,G0344,bestaand,2.08658620718148
39,283,0,2016/04/16 00:00:00+00,4.788,Utrecht,G0344,bestaand,4.78835765163798
40,283,0,2016/04/16 00:00:00+00,5.887,Utrecht,G0344,bestaand,5.88722014196853
41,283,0,2016/04/16 00:00:00+00,0.124,Utrecht,G0344,bestaand,0.124482930556763
