FID,type,aanlegjaar,categorie,geometrie
O10002_Beplantingskaart_OD.1,Heesters/botanische rozen,1977,cultuurlijk,"MULTIPOLYGON (((178229.752 503560.485, 178228.335 503560.935, 178226.625 503556.567, 178228.006 503555.98, 178229.752 503560.485)))"
O10002_Beplantingskaart_OD.2,Heesters/botanische rozen,1999,cultuurlijk,"MULTIPOLYGON (((178451.974 503877.832, 178451.827 503877.835, 178451.631 503877.826, 178451.308 503877.779, 178450.912 503877.664, 178450.64 503877.543, 178450.342 503877.363, 178450.074 503877.15, 178449.873 503876.946, 178449.644 503876.647, 178449.469 503876.335, 178449.35 503876.041, 178449.267 503875.687, 178449.242 503875.351, 178449.261 503875.02, 178449.328 503874.664, 178449.41 503874.407, 178449.539 503874.117, 178449.723 503873.815, 178449.857 503873.642, 178450.109 503873.38, 178450.304 503873.22, 178450.506 503873.084, 178450.803 503872.929, 178451.087 503872.822, 178451.481 503872.731, 178451.791 503872.704, 178452.191 503872.722, 178452.524 503872.785, 178452.864 503872.897, 178453.189 503873.057, 178453.491 503873.261, 178453.747 503873.49, 178453.973 503873.754, 178454.123 503873.977, 178454.268 503874.255, 178454.372 503874.525, 178454.456 503874.86, 178454.478 503875.212, 178454.465 503875.469, 178454.43 503875.705, 178454.365 503875.967, 178454.242 503876.293, 178454.032 503876.668, 178453.849 503876.911, 178453.532 503877.224, 178453.174 503877.475, 178452.799 503877.656, 178452.403 503877.775, 178451.974 503877.832)))"
O10002_Beplantingskaart_OD.3,Heesters/botanische rozen,2019,cultuurlijk,"MULTIPOLYGON (((175370.607 504861.614, 175368.667 504861.227, 175371.151 504848.277, 175373.091 504848.615, 175370.607 504861.614)))"
O10002_Beplantingskaart_OD.4,Heesters/botanische rozen,2003,cultuurlijk,"MULTIPOLYGON (((178430.775 505355.747, 178430.022 505351.456, 178441.834 505349.368, 178442.664 505353.421, 178430.775 505355.747)))"
O10002_Beplantingskaart_OD.5,Heesters/botanische rozen,2019,cultuurlijk,"MULTIPOLYGON (((175812.111 503512.767, 175812.894 503510.123, 175814.453 503509.201, 175817.402 503510.115, 175816.223 503514.038, 175812.111 503512.767)))"
O10002_Beplantingskaart_OD.6,Heesters/botanische rozen,2010,cultuurlijk,"MULTIPOLYGON (((178216.615 504631.036, 178214.987 504623.392, 178214.982 504623.368, 178214.975 504623.307, 178214.976 504623.221, 178214.996 504623.112, 178215.033 504623.017, 178215.083 504622.935, 178215.155 504622.854, 178215.249 504622.783, 178215.341 504622.738, 178217.215 504622.338, 178217.274 504622.331, 178217.325 504622.331, 178217.398 504622.34, 178217.471 504622.361, 178217.525 504622.384, 178217.583 504622.418, 178217.64 504622.463, 178217.675 504622.499, 178217.723 504622.562, 178217.756 504622.621, 178217.794 504622.739, 178219.396 504630.402, 178219.403 504630.435, 178219.408 504630.482, 178219.409 504630.525, 178219.408 504630.542, 178219.405 504630.578, 178219.397 504630.622, 178219.383 504630.672, 178219.358 504630.731, 178219.331 504630.778, 178219.296 504630.826, 178219.253 504630.872, 178219.208 504630.909, 178219.146 504630.948, 178219.099 504630.969, 178219.044 504630.987, 178217.216 504631.405, 178217.138 504631.418, 178217.063 504631.419, 178216.993 504631.41, 178216.907 504631.383, 178216.813 504631.332, 178216.747 504631.277, 178216.692 504631.21, 178216.645 504631.128, 178216.615 504631.036)))"
O10002_Beplantingskaart_OD.7,Vaste planten,2018,cultuurlijk,"MULTIPOLYGON (((178348.379 503503.86, 178349.532 503504.965, 178349.653 503508.03, 178349.575 503508.416, 178349.434 503508.74, 178343.372 503509.935, 178343.498 503509.824, 178343.688 503509.625, 178343.741 503509.301, 178342.944 503504.917, 178348.379 503503.86)))"
O10002_Beplantingskaart_OD.8,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((178436.759 504581.263, 178438.278 504580.829, 178446.815 504621.198, 178445.549 504621.523, 178436.759 504581.263)))"
O10002_Beplantingskaart_OD.9,Heesters/botanische rozen,1998,cultuurlijk,"MULTIPOLYGON (((178334.087 503904.719, 178333.519 503901.798, 178338.485 503900.85, 178338.987 503903.781, 178334.087 503904.719)))"
O10002_Beplantingskaart_OD.10,Heesters/botanische rozen,1991,cultuurlijk,"MULTIPOLYGON (((177163.649 503271.62, 177182.288 503263.521, 177182.562 503263.653, 177182.763 503263.779, 177182.951 503263.926, 177183.145 503264.114, 177183.318 503264.325, 177183.442 503264.515, 177183.588 503264.806, 177183.682 503265.079, 177183.742 503265.356, 177183.77 503265.74, 177183.753 503266.002, 177183.645 503266.475, 177183.509 503266.799, 177164.919 503274.869, 177164.624 503274.64, 177164.358 503274.376, 177164.073 503274.004, 177163.895 503273.693, 177163.764 503273.389, 177163.639 503272.961, 177163.576 503272.49, 177163.585 503272.014, 177163.649 503271.62)))"
O10002_Beplantingskaart_OD.11,Bodembedekkende heesters,2017,cultuurlijk,"MULTIPOLYGON (((172241.089 509328.526, 172242.261 509330.416, 172233.085 509336.343, 172231.935 509334.453, 172234.922 509332.482, 172241.089 509328.526)))"
O10002_Beplantingskaart_OD.12,Bodembedekkende heesters,2004,cultuurlijk,"MULTIPOLYGON (((172581.064 508892.845, 172561.337 508906.157, 172559.647 508903.652, 172579.389 508890.357, 172581.064 508892.845)))"
O10002_Beplantingskaart_OD.13,Bodembedekkende heesters,2010,cultuurlijk,"MULTIPOLYGON (((177431.179 503048.33, 177427.389 503039.182, 177427.1 503038.436, 177426.71 503037.339, 177426.456 503036.555, 177426.11 503035.37, 177424.569 503028.9, 177427.252 503028.293, 177434.799 503046.879, 177431.179 503048.33)))"
