OBJECTID,OMSCHRIJVING,GEBIED_ID,ONTVANGST_ID,STELSELTYPE,AFVOER_RWZI,Shape__Area,Shape__Length
1,02 Noord Willemskanaal Noord,02,01,Gemengd/DWA,Via gemaal Hoboken,1537904.39930725,6557.95605926342
2,08 Centrum West,08,07,Gemengd/DWA,Via gemaal Hoboken,805563.94883728,4732.16530042609
3,07 Centrum Oost,07,01,Gemengd/DWA,Via gemaal Hoboken,670232.917892456,5544.37918305074
4,06 Pittelo Noord,06,02,Gemengd,Via gemaal Hoboken,717631.546546936,3820.47733170166
5,03 Noorderpark,03,02,Gemengd,Via gemaal Hoboken,610260.950889587,3679.04394466985
6,18 Peelo Zuid,18,Ringpersleiding,Gemengd/DWA,Via ringpersleiding,842048.334938049,4339.45672995101
7,17 Peelo 2,17,18,Gemengd/DWA,Via ringpersleiding,205645.515533447,2246.65319427386
8,16 Peelo 1,16,18,Gemengd/DWA,Via ringpersleiding,322547.649658203,2383.46484842056
9,20 Marsdijk 2,20,21,Gemengd/DWA,Via ringpersleiding,568177.044769287,4067.63783405998
10,19 Marsdijk 1,19,22,Gemengd/DWA,Via gemaal Hoboken,506586.267669678,3416.73033384983
11,22 Marsdijk Zuid,22,01,DWA,Via gemaal Hoboken,236796.096244812,2195.14472797332
12,21 Marsdijk 3,21,Ringpersleiding,Gemengd/DWA,Via ringpersleiding,1058707.9236908,6185.76674355771
13,26 Stoepveld,26,21,DWA,Via ringpersleiding,362492.099189758,2496.27621695459
14,24 Marsdijk Noord,24,21,Gemengd,Via ringpersleiding,495650.324081421,3736.07739216459
15,28 Oude Sluis,28,01,DWA,Via gemaal Hoboken,230881.064971924,2396.92912101889
16,01 Dichtershof,01,RWZI,DWA,Via gemaal Hoboken,1850926.41007233,7033.37061281581
17,09 Assen Oost,09,07,Gemengd/DWA,Via gemaal Hoboken,1487910.7237854,8144.59101487645
18,33 Houtlaan,33,09,DWA,Via gemaal Hoboken,160547.490188599,2027.92436649659
19,10 Valkenstein,10,09,Gemengd,Via gemaal Hoboken,195770.278587341,2223.03870972916
20,05 Pittelo Zuid,05,04,Gemengd,Via gemaal Hoboken,470766.285118103,3597.28049009425
21,04 De Lariks,04,02,Gemengd/DWA,Via gemaal Hoboken,704655.096511841,4000.34975324112
22,30 Zendmastlocatie,30,Ringpersleiding,Gemengd/DWA,Via ringpersleiding,252586.226799011,2199.88942084621
