Leverancier;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
&COCO;;;2;;;;;2
2KNOWHOW, art of change B.V.;;;1;;;;;1
2manydots B.V.;;;1;;;;;1
3A3D;;;2;;;;;2
4C Creative Cad Cam Consultants;;;2;;;;;2
A. Kooijman;;;2;;;;;2
A.B. Bolt h.o.d.n. Zuivelhoeve Zuidlaren;;1;;;;;;1
A.H.Th. Jansen;;;1;;;;;1
A.W. Diving;;;2;;;;;2
Aannemersbedrijf F. Stam;;;1;;;;;1
ABF Research B.V.;;2;3;;;;;3
Academy Pictures B.V.;;5;;;;;;5
Adeline Stichting;;;2;;;;;2
Adema Architecten;;;1;;;;;1
Adiutor Ventures B.V.;;;1;;;;;1
Adlib Gebruikersgroep;;;1;;;;;1
Adriana van Lelijveld;;;1;;;;;1
ADV Market Research B.V.;;;;2;;;;2
AIM Associates;;;1;;;;;1
Aiwos;;1;;;;;;1
AKD N.V.;;;2;;;;;2
Aleixandre painting conservation;;;2;;;;;2
Alice Overmeer Scheepsarcheologie;;;1;;;;;1
Alves Ventures B.V.;;;1;;;;;1
Amber Dujardin;;;1;;;;;1
Amgate B.V.;;;2;;;;;2
Amsterdam University Press AUP B.V.;;;2;;;;;2
Amsterdamse Film Stichting;;;2;;;;;2
Amsterdamse Meubelmakers;;;2;;;;;2
Andersson Elffers Felix;;;3;;;;;3
Anne Rupert;;;1;;;;;1
Annefloor Schlotter restauratie&kleuronderz.;;;1;;;;;1
Any Lamp;;;1;;;;;1
Aon Nederland C.V.;;;1;;;;;1
ARA Groep B.V.;;;1;;;;;1
ARBITRARCH;;;3;;;;;3
Archangel;;;2;;;;;2
ArcheoCare;;;2;;;;;2
ArcheoMetaal;;;1;;;;;1
Archeoplan Eco;;;3;;;;;3
Architectura & Natura;;;1;;;;;1
ArchiXL B.V.;;;1;;;;;1
Archol;;;3;;;;;3
ArchTime Bureau Architectuurhist. & Bouwhist.;;;1;;;;;1
Arenda Oomen Fotografie;;;1;;;;;1
Argeweb B.V.;;;;;;1;;1
Art Conservation Europe B.V.;;;1;;;;;1
Artéduc;;;2;;;;;2
Artitec Maquettebouw B.V.;;;1;;;;;1
Artprotech International;;;1;;;;;1
Atal B.V.;;;1;;;;;1
Atelier Blik;;;1;;;;;1
Atelier Elisabeth J. Kuiper;;;1;;;;;1
Atelier NL B.V.;;;1;;;;;1
Atelier Van Beemen;;;1;;;;;1
Aura Software B.V.;;;1;;;;;1
Automobielbedrijf Schouten Gorinchem B.V.;;;1;;;;;1
AV&R Onderwijs en ICT B.V.;;;1;;;;;1
Avalanche Projecten;;;5;;;;;5
B. Pouwels Holding B.V.;;;3;;;;;3
B. Smid;;;2;;;;;2
Baac Bur. Bouwh. Archeol. Archit.&Cult.hist.;;;6;;;;;6
Babbage Company B.V.;;;;4;;;;4
Baker Tilly (Netherlands) N.V.;;;;;;;2;2
Bamadi Holding B.V.;;;2;;;;;2
Barbara Schoonhoven Rest.&Onderz. van Schild.;;;3;;;;;3
Bart Hoogveld beeldredactie & fotografie;;;1;;;;;1
Bartling Advies;;;2;;;;;2
BATAC;;;1;;;;;1
BCL Archaeological Support;;;2;;;;;2
BC-opleidingen B.V.;;;2;;;;;2
Beheersmaatschappij Dirks B.V.;;;1;;;;;1
Benali;;;2;;;;;2
Benefit Inkoopadviesgroep B.V.;;1;;;;;;1
Benelux Scientific B.V.;;;1;;;;;1
Berengroep B.V.;;;1;;;;;1
Berenschot Groep B.V.;;;5;;;;;5
Beroepsvereniging MBO;;;1;;;;;1
Biersteker International B.V.;;;1;;;;;1
Big Baba;;;1;;;;;1
Bingh Advocaten;;;3;;;;;3
Binoq B.V.;;;1;;;;;1
Bist Pensioen B.V.;;;1;;;;;1
Bizway B.V.;;;1;;;;;1
Blauw Research B.V.;;;2;;;;;2
Blij Moment Tekst & Advies;;;2;;;;;2
Blikveld Bur. voor vormgeving en communicatie;;;2;;;;;2
Bloembinderij All Seasons;;;1;;;;;1
