Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
(H.) Earprotect Professional B.V.;;;;;1;1
A. Agterberg B.V.;;2;;;;2
Aann.bedr. P.A. van Miltenburg & Zn. B.V.;;3;;;;3
ABB Vastgoed II B.V.;;;;;1;1
Ahrend Office Products International B.V.;;1;;;;1
Ajax Chubb Varel Venlo;1;1;;;;2
Alfa Wassermann B.V.;;;;;1;1
ALLSAFE mini opslag Utrecht;;;;;1;1
Anticimex B.V.;;1;;;;1
ARCADIS Nederland B.V.;;;;;4;4
Arconell;;1;;;;1
ASR Vastgoed Vermogensbeheer B.V.;;;;;2;2
Azbil Telstar Benelux B.V.;;1;;;;1
B.&A. Services B.V.;;;2;;;2
B.V. Electro Centraal E.C.;;1;;;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;;;;1;1
Bakker Oilfield Supply Coevorden B.V.;;1;;;;1
BAM Techniek;;3;;;;3
BAM Techniek - Fire Protection;;5;;;;5
Beckman Coulter Nederland B.V.;;;;;1;1
Bedrijfs- en Kantineservice C. de Rooij B.V.;;1;;;;1
Bex Beveiliging Exclusief B.V.;1;;;;;1
Biesheuvel Groep B.V.;;;;;1;1
BIGA Groep B.V.;;;;1;;1
Bilthoven Biologicals B.V.;;7;7;7;8;9
Bio Services B.V.;;;;;1;1
Bio-Connect Services B.V.;;;;;1;1
Boag B.V.;;;;;2;2
bol.com B.V.;;;;;1;1
Boomtotaalzorg;;2;;;;2
Bouw- en Aannemingsbedrijf Wulverhorst B.V.;;4;;1;1;4
Bouwbedrijf Van den Engel B.V.;;4;;;;4
Buram Electro B.V.;;;;;1;1
C. Mulckhuyse Bouw- en Aannemingsbedrijf B.V.;;2;;;;2
C.J. Jas;;1;;;;1
Camfil B.V.;;;;;1;1
Capricorn Security Service B.V.;1;;;;;1
CarePack Holland B.V.;;;;;1;1
Catec B.V.;;;;;1;1
CBRE BV;;;;;1;1
Cegelec B.V.;;5;;;;5
Conrad Electronic Benelux B.V.;;;;;1;1
CWS Nederland B.V.;2;;;;;2
Daalhuizen;;1;;;;1
'De Reehorst' B.V.;1;;;;;1
'De Sleutelspecialist';;1;;;;1
De Vos Groep B.V.;;1;;;;1
De Vries Projekt Design B.V.;;;;1;;1
De Wilde Metaal B.V.;;1;;;1;1
