Nummer;Totaal van;Jaar;Maand;Aanleverende organisatie;Nationaliteit;Aantal instroom
1;Jaar;2016;;;;21560
2;Jaar, Maand;2016;1;;;1210
2;Jaar, Maand;2016;2;;;1590
2;Jaar, Maand;2016;3;;;1890
2;Jaar, Maand;2016;4;;;1930
2;Jaar, Maand;2016;5;;;1890
2;Jaar, Maand;2016;6;;;1800
2;Jaar, Maand;2016;7;;;1710
2;Jaar, Maand;2016;8;;;2080
2;Jaar, Maand;2016;9;;;1870
2;Jaar, Maand;2016;10;;;1600
2;Jaar, Maand;2016;11;;;2110
2;Jaar, Maand;2016;12;;;1880
3;Jaar, Maand, Aanleverende organisatie;2016;1;Immigratie- en Naturalisatiedienst;;710
3;Jaar, Maand, Aanleverende organisatie;2016;1;Koninklijke Marechaussee;;90
3;Jaar, Maand, Aanleverende organisatie;2016;1;Overige;;220
3;Jaar, Maand, Aanleverende organisatie;2016;1;Vreemdelingenpolitie;;180
3;Jaar, Maand, Aanleverende organisatie;2016;2;Immigratie- en Naturalisatiedienst;;1000
3;Jaar, Maand, Aanleverende organisatie;2016;2;Koninklijke Marechaussee;;120
3;Jaar, Maand, Aanleverende organisatie;2016;2;Overige;;280
3;Jaar, Maand, Aanleverende organisatie;2016;2;Vreemdelingenpolitie;;190
3;Jaar, Maand, Aanleverende organisatie;2016;3;Immigratie- en Naturalisatiedienst;;1210
3;Jaar, Maand, Aanleverende organisatie;2016;3;Koninklijke Marechaussee;;120
3;Jaar, Maand, Aanleverende organisatie;2016;3;Overige;;350
3;Jaar, Maand, Aanleverende organisatie;2016;3;Vreemdelingenpolitie;;220
3;Jaar, Maand, Aanleverende organisatie;2016;4;Immigratie- en Naturalisatiedienst;;1350
3;Jaar, Maand, Aanleverende organisatie;2016;4;Koninklijke Marechaussee;;120
3;Jaar, Maand, Aanleverende organisatie;2016;4;Overige;;280
3;Jaar, Maand, Aanleverende organisatie;2016;4;Vreemdelingenpolitie;;180
3;Jaar, Maand, Aanleverende organisatie;2016;5;Immigratie- en Naturalisatiedienst;;1320
3;Jaar, Maand, Aanleverende organisatie;2016;5;Koninklijke Marechaussee;;100
3;Jaar, Maand, Aanleverende organisatie;2016;5;Overige;;250
3;Jaar, Maand, Aanleverende organisatie;2016;5;Vreemdelingenpolitie;;220
3;Jaar, Maand, Aanleverende organisatie;2016;6;Immigratie- en Naturalisatiedienst;;1300
3;Jaar, Maand, Aanleverende organisatie;2016;6;Koninklijke Marechaussee;;100
3;Jaar, Maand, Aanleverende organisatie;2016;6;Overige;;240
3;Jaar, Maand, Aanleverende organisatie;2016;6;Vreemdelingenpolitie;;170
3;Jaar, Maand, Aanleverende organisatie;2016;7;Immigratie- en Naturalisatiedienst;;1300
3;Jaar, Maand, Aanleverende organisatie;2016;7;Koninklijke Marechaussee;;80
