Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
A. van der Vlist Schilderwerken;1;;;;1
Aad de Wit Verhuizingen B.V.;;;1;;1
Aannemersbedrijf G.B. van Hoek B.V.;2;;;;2
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;1;;;;1
Aannemingsmaatschappij ZVS Eemnes B.V.;1;;;;1
ABC International Trade B.V.;1;;;;1
Agradi B.V.;1;;;;1
Alarmcentrale Sleutels en Sloten;1;;;;1
Albe Technieken B.V.;2;;;;2
Alp Lift B.V.;1;;;;1
Altavilla B.V.;1;;;;1
Altrex B.V.;1;;;;1
Amsterdam Identity Apartments B.V.;;;;1;1
APC Verhuizen B.V.;;;2;;2
Aqua D en S B.V.;1;;;;1
Asecos B.V.;1;;;;1
ASSA ABLOY Nederland Holding B.V.;1;;;;1
Audion Elektro B.V.;1;;;;1
Aukes training en advies B.V.;1;;;;1
Autec Lift;1;;;;1
B.V. Timmer B.V.;1;;;;1
Baptist Arnhem;1;;;;1
Barendregt Vastgoed B.V.;1;;;;1
BBWC B.V.;1;;;;1
Berki Brandbeveiliging B.V.;2;;;;2
Biermans IJzerhandel Breda B.V.;1;;;;1
BJC Tools Made;1;;;;1
Blauwdruk Bouw B.V.;1;;;;1
Bouwbedrijf De Boer B.V.;1;;;;1
Bouwbedrijf Kreeft B.V.;2;;;;2
Bouwcombinatie DUO2 V.O.F.;6;;;;6
Bouwmaatschappij Kroon B.V.;1;;;;1
Bovenregionaal kantoor;;1;;;1
BPG Hout- en Bouwmaterialen B.V.;1;;;;1
Braassemerland V.O.F.;;2;;;2
Breijer Koeltechniek B.V.;1;;;;1
Breur IJzerhandel Den Haag;1;;;;1
Buko Infrasupport B.V.;1;;;;1
Careson B.V.;5;;;;5
CBizz B.V.;;1;;;1
Chubb Fire & Security B.V.;2;;;;2
Colors@Home Budding;1;;;;1
Conrad Electronic Benelux B.V.;1;;;;1
Constructie- en Lasbedrijf Besaris B.V.;1;;;;1
Cornelissen Aannemingsbedrijf B.V.;2;;;;2
Croonwolter&dros B.V.;5;;;;5
Dassen Bouw B.V.;1;;;;1
De Schulenburch;;;;2;2
De Weerd Bouw&Installatieservice;1;;;;1
Deba 2000 B.V.;1;;;;1
Destil B.V.;1;;;;1
Dirmar Seon B.V.;5;;;;5
Discountoffice.nl B.V.;1;;;;1
Djinny Logistiek B.V.;2;;;;2
Dokkumer Vlaggen Centrale B.V.;1;;;;1
Donkergroen B.V.;5;;;;5
DPVT B.V.;1;;;;1
Dunea N.V.;;1;;;1
DuoFort Groep B.V.;1;;;;1
Dura Vermeer Onderhoud en Renov. Hengelo B.V.;1;;;;1
Dutch Climate Projects;1;;;;1
Dutch Special Solutions B.V.;1;;;;1
Eijkelboom B.V.;5;;;;5
Eindhoven Airport N.V.;1;;;;1
Elis Nederland B.V.;1;;;;1
Emixion Services B.V.;;;;3;3
Enduris B.V.;;1;;;1
Eneco Services B.V.;;2;;;2
Eneco Warmte & Koude Leveringsbedrijf B.V.;;1;;;1
Eneco Zakelijk;;5;;;5
Enexis B.V.;;1;;;1
Engelsman Hoveniers B.V.;1;;;;1
ENGIE Energie Nederland N.V.;;3;;;3
ENGIE Services Noord B.V.;1;;;;1
Ese International B.V.;1;;;;1
Eur. Instit. voor Certified Public Controll.;1;;;;1
Euromate B.V.;1;;;;1
Eurosafe Solutions B.V.;1;;;;1
Facilicom Solutions B.V.;3;;;;3
Ferdjo Veldkamp Schilderwerken;1;;;;1
First Care Company;1;;;;1
Fudura B.V.;;1;;;1
Fugo Equipment B.V.;1;;;;1
G. Hulshoff & Zn. Verh.- en Transp.bedr. B.V.;;;1;;1
Gamma Gouda;1;;;;1
Gerritse IJzerwaren;1;;;;1
Glaspunt B.V.;1;;;;1
Golden Tulip Hotel De Reiskoffer;1;;;;1
Greenchoice;;5;;;5
Groentotaal A. de Boer Ruinerwold;1;;;;1
GTH B.V.;1;;;;1
Gullimex B.V.;1;;;;1
Gullni B.V.;1;;;;1
Gunnebo Nederland B.V.;1;;;;1
HBM Machines B.V.;1;;;;1
Heerkens Verlichting;1;;;;1
