FID,vwk_id,vwk_begdtm,vwj_id_beg,vwj_id_end,vaktype,vrt_code,vrt_naam,vwg_nr,vwg_naam,begkm,endkm,mut_code,gdb_geomattr_data,shape
vaarwegvakken_mutaties.1,7289,2023-01-01T00:00:00,5153,1310,D,227a,Hilversumsch Kanaal en Havens te Hilversum,1,Hilversumsch Kanaal,1.74899995,6.16900015,N,,"LINESTRING (132891.38599999994 471896.2489, 133408 471553, 133773 471325, 134059 471145, 134428 470900, 134531 470840, 134602 470799, 134701 470762, 135002 470683, 135796 470488, 136747 470254, 136805 470243, 136859 470238, 136919 470239)"
vaarwegvakken_mutaties.2,7290,2023-01-01T00:00:00,5153,5154,D,227l,Wijde Blik,1,Wijde Blik,0,0.25999999,N,,"LINESTRING (132891.38599999994 471896.2489, 132870.27650000155 471864.99159999937, 132749.499499999 471678.2377999984)"
vaarwegvakken_mutaties.3,2124,2023-01-01T00:00:00,1750,1993,D,130b1,Zijkanaal A naar Terneuzen,1,Zijkanaal A te Terneuzen,0,1,W,,"LINESTRING (46106 371712, 46128 371875, 46009 372540, 46122 372653)"
vaarwegvakken_mutaties.4,1327,2018-03-01T00:00:00,1309,1310,D,227a,Hilversumsch Kanaal en Havens te Hilversum,1,Hilversumsch Kanaal,0,6.16800022,V,,"LINESTRING (131686 473119, 131742 473013, 131798 472911, 131808 472892, 131834 472844, 131897 472731, 131968 472643, 132217 472399, 132352 472265, 132459 472175, 132666 472046, 133408 471553, 133773 471325, 134059 471145, 134428 470900, 134531 470840, 134602 470799, 134701 470762, 135002 470683, 135796 470488, 136747 470254, 136805 470243, 136859 470238, 136919 470239)"
vaarwegvakken_mutaties.5,1933,2022-12-01T00:00:00,859,973,D,094,Lemster- en Zwolsevaart,2,Zwolsevaart,27.29800034,29.2310009,W,,"LINESTRING (190238 520720, 190550.96299999952 520536.56599999964, 190785.26000000164 520400.30700000003, 191012 520279, 191132.21400000155 520213.93200000003, 191191.83999999985 520190.24500000104, 191256.7749999985 520174.31799999997, 191315.58399999887 520168.19200000167, 191385.4200000018 520167.375, 191462 520176, 191522.23200000077 520189.4279999994, 191590.9985000007 520209.9444000013, 191703.74819999933 520246.8071999997, 191789.65139999986 520272.42660000175, 191842.4250999987 520290.17440000176, 192001 520355)"
vaarwegvakken_mutaties.6,5373,2023-01-01T00:00:00,4130,4133,D,097,Veenvaart,4,Oosterdiep,8.4460001,14.4460001,W,,"LINESTRING (266724.76300000027 531284.175999999, 266749.66000000015 532182.4670000002, 266803.0020000003 534172.3000000007, 266807.4829999991 534415.3779999986, 266847.80900000036 536040.7459999993, 266876.29300000146 537100.7479999997, 266881.57400000095 537142.1950000003, 266885.7349999994 537273.0949999988, 266885.58100000024 537282.2219999991, 266885.5540000014 537282.2089999989)"
vaarwegvakken_mutaties.7,5550,2023-01-01T00:00:00,4223,2652,H,665,Overnachtingshaven Haaften,1,Overnachtingshaven Haaften,0.14399999,1.14400005,W,,"LINESTRING (144016.3040000014 425031.0320000015, 144012 425046, 143967 425204, 144001 425369, 143967 425403, 143403 425187)"
vaarwegvakken_mutaties.8,6881,2022-12-01T00:00:00,4887,1451,D,226,Merwedekanaal (benoorden de Lek),1,Merwedekanaal (benoorden de Lek),1.55999994,2.55999994,W,,"LINESTRING (134935.8299999982 455488.09800000116, 134961 455453, 135186 455270, 135662 454875, 135694 454839)"
vaarwegvakken_mutaties.9,769,2022-12-01T00:00:00,748,751,D,223,Kromme Mijdrecht en Grecht,2,Grecht,10.94699955,19.59000015,W,,"LINESTRING (119191 462995, 119173 462976, 119164.41259999946 462968.1101000011, 119153.9021999985 462960.44629999995, 119134 462950, 119124.56080000103 462945.1185999997, 119120.18149999902 462942.05310000107, 119117.77279999852 462938.2212000005, 119116.89699999988 462933.9514000006, 119117.3348999992 462927.6013999991, 119128.50219999999 462884.24610000104, 119131.67720000073 462878.11510000005, 119138.246199999 462870.77969999984, 119153.46429999918 462855.7804999985, 119164.08410000056 462841.9857000001, 119173.06179999933 462825.89169999957, 119179.46709999815 462809.67859999835, 119226 462706, 119270.92920000106 462604.16059999913, 119296.35330000147 462539.3792999983, 119307 462501, 119316.99080000073 462474.2917000018, 119336.0727000013 462443.6196000017, 119351.12209999934 462417.67069999874, 119359.05959999934 462399.4144000001, 119370.43679999933 462363.6955999993, 119384.1154000014 462314.44949999824, 119428.38060000166 462201.24109999835, 119449.01819999889 462150.44099999964, 119476.85909999907 462090.93239999935, 119607 461750, 119714.96599999815 461478.7842999995, 119771.28130000085 461327.84980000183, 119774.45630000159 461315.943500001, 119773.92709999904 461308.27059999853, 119770.97439999878 461301.8658000007, 119765 461298, 119736.62079999968 461295.83509999886, 119706 461294, 119692 461289, 119678 461273, 119673.32200000063 461260.1392999999, 119670.73939999938 461232.3350000009, 119667.0353000015 461165.3953000009, 119664.38940000162 461135.7619000003, 119661.47899999842 461114.59519999847, 119651.42480000108 461068.29300000146, 119639.51850000024 461021.46169999987, 119628.93129999936 460989.9770999998, 119623.64350000024 460950.2886000015, 119617.29349999875 460914.8343999982, 119614.11850000173 460901.0760000013, 119608.82679999992 460887.8467999995, 119603.13109999895 460881.0487000011, 119591.62889999896 460869.3260000013, 119541.97040000185 460835.5181000009, 119522.79850000143 460817.95600000024, 119512.2536999993 460797.62370000035, 119500.85570000112 460771.6004999988, 119497.7873999998 460762.126699999, 119490.02870000154 460730.15480000153, 119485.00160000101 460716.66110000014, 119472.03700000048 460699.99230000004, 119437.11190000176 460656.6004999988, 119424.14730000123 460641.25470000133, 119414.35770000145 460632.25879999995, 119401.39310000092 460623.52749999985, 119383.55469999835 460614.4508999996, 119350.15309999883 460593.53350000083, 119339 460583, 119332.29470000044 460572.07660000026, 119328.11290000007 460561.938099999, 119311.09059999883 460488.8808000013, 119305.58720000088 460470.88910000026, 119300.71889999881 460459.0357999988, 119265.27400000021 460406.96550000086, 119257.55169999972 460399.6264999993, 119245.38670000061 460393.65370000154, 119234.97260000184 460391.5335999988, 119218.17419999838 460391.04129999876, 119070 460396, 119055.18510000035 460394.9006000012, 119041.00340000167 460389.8205999993, 119029.78500000015 460383.04729999974, 119016.17440000176 460362.4527999982, 118998.24659999833 460336.9037999995, 118969.44000000134 460308.15900000185, 118944.4822999984 460270.7232000008, 118933.33570000157 460252.40480000153, 118912.22410000116 460208.069600001, 118901.74590000138 460180.32730000094, 118849.1801000014 459999.13610000163, 118827.85460000113 459922.45969999954, 118826.12739999965 459916.42159999907, 118818.32959999889 459870.60119999945, 118808.59290000051 459818.5311000012, 118806.74439999834 459809.82770000026, 118795.23310000077 459769.9270000011, 118790.72089999914 459756.4739000015, 118781.28790000081 459713.33260000125, 118773.6678000018 459669.9408, 118769.85779999942 459636.2857999988, 118765.83619999886 459596.49240000173, 118758.85119999945 459552.6772999987, 118753.55950000137 459521.1389000006, 118753.13610000163 459505.4754999988, 118753.8973999992 459486.05689999834, 118757.7399000004 459460.7608000003, 118764.19570000097 459440.54659999907, 118773.08579999954 459423.93079999834, 118781.12909999862 459402.02320000157, 118785.46829999983 459381.80900000036, 118787.5850000009 459358.8431000002, 118793.45870000124 459286.08260000125, 118797.09050000086 459257.01000000164, 118801 459238, 118808.6988000013 459210.9408, 118819.70540000126 459184.6939999983, 118838.31709999964 459153.4829999991, 118873.25719999894 459093.67720000073, 118886.80389999971 459064.8905000016, 118950.51570000127 458907.19849999994, 118952.55669999868 458902.57719999924, 118973.66829999909 458862.3306000009, 119016.1325000003 458797.34329999983, 119029.89090000093 458770.4615000002, 119044.28420000151 458732.99650000036, 119092.96770000085 458607.4778999984, 119099.10599999875 458595.20120000094, 119124.71770000085 458558.15949999914, 119136.35940000042 458539.1094000004, 119144.82609999925 458523.65769999847, 119160.06610000134 458475.1860000007, 119171.49610000104 458442.5892000012, 119177.42280000076 458420.5758000016, 119178.90450000018 458399.19750000164, 119178.90450000018 458379.0890999995, 119176.99949999899 458363.6374000013, 119166.83949999884 458311.77899999917, 119159.85449999943 458291.247299999, 119146.30779999867 458268.5989000015, 119134.6660999991 458248.70219999924, 119129.58610000089 458231.3454999998, 119119.63769999892 458202.558699999, 119114.69370000064 458176.67610000074, 119113.7109999992 458152.18200000003, 119115.61600000039 458136.30689999834, 119123.28240000084 458114.4598999992, 119159.64279999956 458062.22349999845, 119210.01960000023 457985.6000000015, 119222.50789999962 457963.16330000013, 119227.79960000142 457943.9015999995, 119229.28130000085 457924.004900001, 119227.61549999937 457904.8596000001, 119231.72349999845 457878.87150000036, 119239.66019999981 457860.0152999982, 119306.51419999823 457759.8753999993, 119338.28979999945 457717.4178000018, 119346.5447999984 457700.06109999865, 119349.2965000011 457686.5144000016, 119347.39149999991 457671.27430000156, 119337.65480000153 457650.7426000014, 119325.80150000006 457629.15260000154, 119323.8964000009 457618.1458999999, 119324.10810000077 457607.13919999823, 119327.07149999961 457594.86250000075, 119333.20980000123 457578.14079999924, 119351.4448999986 457529.47360000014, 119362.15260000154 457508.46990000084, 119372.57990000024 457496.8607000001, 119407.29329999909 457469.13230000064, 119435.4450000003 457446.27219999954, 119460.57629999891 457419.997299999, 119479.47179999948 457408.8071999997, 119505.08350000158 457401.39880000055, 119520.32349999994 457395.6838000007, 119531.75349999964 457387.6403999999, 119540.0084999986 457373.24709999934, 119541.91360000148 457358.6420999989, 119541.06689999998 457342.555399999, 119537.89189999923 457323.5053000003, 119532.38850000128 457298.9519000016, 119524.34519999847 457269.53020000085, 119515.87849999964 457232.48849999905, 119510.58680000156 457209.6284000017, 119502.75510000065 457186.13340000063, 119482.01179999858 457139.5665999986, 119406.02329999954 456977.4296000004, 119326.4365000017 456812.9642999992, 119279.65799999982 456718.560800001, 119272.67300000042 456705.22569999844, 119264.20630000159 456695.0656999983, 119251.50629999861 456685.3289999999, 119150.32939999923 456623.9455999993, 119045.55420000106 456557.27050000057, 119031.7958999984 456544.35880000144, 119022.05920000002 456530.38870000094, 119016.9792000018 456518.7470000014, 119014.86250000075 456506.68200000003, 119005.54910000041 456419.0518000014, 118998.14079999924 456343.91000000015, 118996.20859999955 456319.2208000012, 118993.83229999989 456246.9301000014, 118991.50400000066 456126.70320000127, 118991.80629999936 456091.2511, 118992.01550000161 456022.01410000026, 118990.34209999815 455925.1660999991, 118988.9824000001 455830.4098000005, 118987.72740000114 455730.00569999963, 118985.94940000027 455622.07140000165, 118985.74020000175 455569.6730000004, 118987.72740000114 455550.0106000006, 118988.87790000066 455539.86560000107, 118988.56410000101 455535.47289999947, 118972.45760000125 455493.95169999823, 118969 455489)"
vaarwegvakken_mutaties.10,1236,2022-12-01T00:00:00,1206,1207,H,253,Havens van Hoorn,3,Karperkuil,3.329,3.52399993,W,,"LINESTRING (133236 516902, 133244.2600999996 516894.6068999991, 133275.2512000017 516895.3134999983, 133281.30810000002 516897.02959999815, 133288.0716000013 516901.77419999987, 133293.52279999852 516909.44619999826, 133295.8445999995 516915.5031000003, 133299 516927, 133300 516968, 133300.6900999993 516993.7377999984, 133301.0938999988 517010.2932999991, 133301.19480000064 517023.0128000006, 133299.9835000001 517032.50189999864, 133298.58060000092 517037.41330000013)"
