Leverancier;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
&Maes B.V.;;;;1;;1
1848 B.V.;1;;;;;1
54Events B.V.;;;;1;;1
A. van Helden Relatiegeschenken B.V.;;;;;1;1
Abonnementenland;1;;;;;1
Achso;;;;;1;1
Adfo Groep B.V.;1;;;;;1
Aeroprint Digitaal B.V.;;;;;1;1
AG Connect B.V.;;;;2;;2
Algemene Onderwijsbond;1;;;;;1
Alice Overmeer Scheepsarcheologie;;;;;2;2
Amersfoortvergaderen.nl;;;;1;;1
Amgate B.V.;;;;;1;1
Amrit Consultancy;;;;1;;1
Amsterdam University Press AUP B.V.;;1;;;2;2
Anne Versloot;;;;;1;1
Annette Polderman;;;;;1;1
ANP Pers Support Benelux B.V.;1;;;;1;1
ANWB B.V.;;;;;1;1
Aon Risk Solutions;;;;;1;1
Ap-Art;;;;1;;1
ArchiXL B.V.;;;;;2;2
Arenda Oomen Fotografie;;;;;1;1
Ariënne Boelens office;;;;;1;1
Arnauld Geschenken B.V.;;;2;;;2
Arqua Archaeological Services;;;;1;;1
Art in Print;;;;;1;1
Arthur Licht en Geluid;;;;1;;1
Asiye Designs;;;;;1;1
Atelier Van Zijderveld;;;;;1;1
Auke Smits Publiciteit B.V.;;;;;3;3
Avalanche Projecten;;;;;1;1
Avex B.V.;;;;2;;2
B. Naaktgeboren B.V.;;;;;1;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;1;1
B.V. Weekbladpers;1;;;;;1
B+B Vakmedianet B.V.;1;;;;;1
BAEM creation;;;;;1;1
Barkhuis Publishing;;;;;1;1
Bart Breman Tekst & Communicatie;;;;;1;1
Bart Lubking Music;;;;1;;1
Bart Maat Fotografie;;;;;1;1
Bas Kuijpers B.V.;;;;;1;1
Basketballvereniging Pytheas;;;;;1;1
Bazelmans Audio Visual Rentals;;;;;1;1
BCL Archaeological Support;;;;;2;2
Beauriage;;;;;1;1
Beeld en Geluid Den Haag;;;;;2;2
Bekking & Blitz Uitgevers B.V.;;;;;1;1
Ben Houdijk Photography;;;;;1;1
Benali;;;;;1;1
bergo.nl B.V.;1;;;;;1
Big Baba;;;;;1;1
Bilderberg Grand Hotel Wientjes;;;;1;;1
Bind B.V.;;;;;1;1
Blikveld Bur. voor vormgeving en communicatie;;;;;1;1
Bobbe International B.V.;3;;;;;3
bol.com B.V.;1;;;;1;1
Bona Terra B.V.;;;;;1;1
Boom uitgevers Amsterdam B.V.;1;;;;;1
Bos Incasso B.V.;1;;;;;1
Brapewo;;;;1;;1
Broekhuizen Communicatie;;;;;1;1
Broekies Entertainment Group Bunnik;;;;1;;1
Budgetcam;;;;;1;1
Buitenkracht;;;;;1;1
Bureau Hak;;;;;1;1
Bureau Renée Steenbergen;;;;;1;1
Bureau Verwoord;;;;;2;2
buroBELÉN;;;;;1;1
Busser producties;;;;1;;1
Buyitdirect.com B.V.;;;;;1;1
C. Pels Rijcken Advies;;;;;2;2
C.R. Clark;;;;;1;1
Calendula B.V.;1;;;;;1
CanvasCompany.nl B.V.;;;;;1;1
CDA Langedijk;;;;;1;1
Cebook;1;;;;;1
Centraal Boekhuis B.V.;1;;;;1;1
Charity Service;;;;;1;1
Chris Booms Fotografie;;;;;1;1
Clairy Polak;;;;;1;1
Clipit News B.V.;1;;;;;1
CNV Connectief;1;;;;;1
Coastal & Marine Union;;;;;1;1
CollactiveBMK Incasso B.V.;1;;;;;1
Collections Care;;;;;1;1
College De Medicine Physique et Readaptation;1;;;;;1
Colourful People B.V.;;;;;1;1
Communique;;;;;1;1
COMPAREX Nederland B.V.;;;;;2;2
Compass Group Nederland B.V.;;;;1;;1
Consumentenbond;1;;;;;1
Contour Industrial Design Solutions;;;;1;;1
Coöperatie De Betekenaar U.A.;;;;;1;1
Coosto B.V.;1;;;;2;2
Cre8John;;;;;1;1
Cubord Reclameborden B.V.;;;;;1;1
Cultuurland Advies;;;;;1;1
Cultuurmarketing;1;;;;;1
Cultuurwerf;1;;;;;1
D.E. Duijster;;;;;1;1
Daphne Heemskerk;;;;;4;4
darch digitaliseert;;;;;3;3
DDAI;;;;;2;2
De Argumentenfabriek B.V.;;;;;2;2
De Feed Fabriek;;;1;;;1
De Groene Grachten B.V.;;;;;2;2
De Pudding;;;;1;;1
De Quiz B.V.;;;;1;;1
De Studio;;;;;2;2
De Volkskrant B.V.;1;;;;;1
De Wal Redactie en Tentoonstellingen;;;;1;1;2
Deborah van Dam Filmprodukties;;;;;2;2
Denkschets.nl;;;;;1;1
Departyshop.nl B.V.;;;;1;;1
DG Media;1;;;;;1
Didee B.V.;;;;;1;1
Dieter Schierenberg B.V.;1;;;;;1
Dinerspel.nl;;;;1;;1
Dingeman Deijs Architects;;;;;1;1
Discountoffice.nl B.V.;;;;1;;1
Don Lawrence Collection;;;;;1;1
DPG Media B.V.;;;;;1;1
DPI;;;;;1;1
Drs. H.M. Bakker Organisatie Adviseurs B.V.;;;;1;;1
Drukkerij Aeroprint;;;;;2;2
Drukkerij 'De bij' B.V.;;;;;1;1
Drukkerij Tesink B.V.;;;;;1;1
DTG B.V.;;;;;1;1
E.S.G.;1;;;;;1
East Side Productions B.V.;;;;2;;2
Edcor Sneltransport B.V.;;;;;1;1
Edwin Post Consultancy B.V.;;;;;1;1
Eelco Beukers Tekst en Productie;;;;;1;1
Eenvoudig Communiceren B.V.;1;;;;;1
Einion Media B.V.;;;;;1;1
EM-Cultuur B.V.;1;;;;1;1
Emerce B.V.;1;;;;;1
EmigratieBeurs B.V.;;;;;1;1
EMMA Communicatie B.V.;;;;;3;3
en publique;;;;;2;2
Entopic B.V.;;;;;2;2
Epidemic Sound, Netherlands Branch;1;;;;;1
Erfgoed Advies & Aanpak;;;;;1;1
Erik Jansen Fotografie;;;;;2;2
ESB B.V.;1;;;;;1
Etienne C.L. van Sloun fotograaf;;;;;1;1
European Media Partner Nederland B.V.;;;;;2;2
Event Associates;;;;1;;1
EVM;1;;;;;1
EZ Foto & Vorm;;;;;1;1
F.C. Klap B.V.;;;;;1;1
Fargeau;;;;1;;1
Fenicks Erfgoed;;;;;2;2
Fieke Krikhaar proces- en interimmanagement;;;;;1;1
Floris Douma;;;;;1;1
FLUOR;;;;1;;1
Fonk Media B.V.;1;;;;;1
Foppenreclame;;;;;1;1
Fotograf!e Ronald Tilleman;;;;;1;1
Fotografie : Paul Voorham;;;;;1;1
Fotografie-Norbert van Onna V.O.F./Archehov;;;;;1;1
Francissen Communicatie;;;;;2;2
Frankwatching B.V.;;;;;1;1
Frans Aben;;;;;1;1
Frans Beekwilder B.V.;;;;;1;1
