object_id;description;type;location_description;location;sources;location_latitude;location_longitude;geo_point
306;OudeStadsgracht-designhuis;SoundMeasurementPoint;Oude Stadsgracht 144, 5611 DJ Eindhoven, Netherlands;"{""description"": ""Oude Stadsgracht 144, 5611 DJ Eindhoven, Netherlands"", ""latitude"": 51.435679, ""longitude"": 5.481842}";"{""laeq"": {""start"": ""2018-04-18T22:00:00.000+00:00"", ""end"": null}, ""harmonica_index_composite"": {""start"": ""2018-04-18T22:00:00.000+00:00"", ""end"": null}, ""lceq"": {""start"": ""2018-04-18T22:00:00.000+00:00"", ""end"": null}}";51.435679;5.481842;51.435679, 5.481842
307;Stadhuisplein-wal/grootParadijs;SoundMeasurementPoint;Groot Paradijs 121, 5611 KA Eindhoven, Netherlands;"{""description"": ""Groot Paradijs 121, 5611 KA Eindhoven, Netherlands"", ""latitude"": 51.43455, ""longitude"": 5.480269}";"{""laeq"": {""start"": ""2018-04-18T22:00:00.000+00:00"", ""end"": null}, ""harmonica_index_composite"": {""start"": ""2018-04-18T22:00:00.000+00:00"", ""end"": null}, ""lceq"": {""start"": ""2018-04-18T22:00:00.000+00:00"", ""end"": null}}";51.43455;5.480269;51.43455, 5.480269
319;Kaeriuslaan spoor 30281;SoundMeasurementPoint;Kaeriuslaan 39, 5641 SH Eindhoven, Netherlands;"{""description"": ""Kaeriuslaan 39, 5641 SH Eindhoven, Netherlands"", ""latitude"": 51.442901, ""longitude"": 5.51859}";"{""laeq"": {""start"": ""2018-05-30T09:59:00.000+00:00"", ""end"": null}, ""harmonica_index_composite"": {""start"": ""2018-05-30T09:59:00.000+00:00"", ""end"": null}, ""lceq"": {""start"": ""2018-05-30T09:59:00.000+00:00"", ""end"": null}}";51.442901;5.51859;51.442901, 5.51859
332;Pieter Stockmanstraat thv. 75;SoundMeasurementPoint;Pieter Stockmanslaan 73, 5652 RB Eindhoven;"{""description"": ""Pieter Stockmanslaan 73, 5652 RB Eindhoven"", ""latitude"": 51.444104, ""longitude"": 5.431184}";"{""laeq"": {""start"": ""2018-06-05T15:06:00.000+00:00"", ""end"": null}, ""harmonica_index_composite"": {""start"": ""2018-06-05T15:06:00.000+00:00"", ""end"": null}, ""lceq"": {""start"": ""2018-06-05T15:06:00.000+00:00"", ""end"": null}}";51.444104;5.431184;51.444104, 5.431184
389;Maasstraat;SoundMeasurementPoint;Maasstraat 15, 5626 BB Eindhoven;"{""description"": ""Maasstraat 15, 5626 BB Eindhoven"", ""latitude"": 51.48391, ""longitude"": 5.428741}";"{""laeq"": {""start"": ""2018-08-21T19:21:00.000+00:00"", ""end"": null}, ""harmonica_index_composite"": {""start"": ""2018-08-21T19:21:00.000+00:00"", ""end"": null}, ""lceq"": {""start"": ""2018-08-21T19:21:00.000+00:00"", ""end"": null}}";51.48391;5.428741;51.48391, 5.428741
464;Rondweg Sumatralaan;SoundMeasurementPoint;Sumatralaan, 5612 AZ Eindhoven;"{""description"": ""Sumatralaan, 5612 AZ Eindhoven"", ""latitude"": 51.45237, ""longitude"": 5.495624}";"{""laeq"": {""start"": ""2018-10-15T14:08:00.000+00:00"", ""end"": null}, ""harmonica_index_composite"": {""start"": ""2018-10-15T14:08:00.000+00:00"", ""end"": null}, ""lceq"": {""start"": ""2018-10-15T14:08:00.000+00:00"", ""end"": null}}";51.45237;5.495624;51.45237, 5.495624
466;Rondweg Boutenslaan;SoundMeasurementPoint;Boutenslaan 159A, 5644 TV Eindhoven, Netherlands;"{""description"": ""Boutenslaan 159A, 5644 TV Eindhoven, Netherlands"", ""latitude"": 51.424255, ""longitude"": 5.47832}";"{""laeq"": {""start"": ""2018-10-28T10:14:00.000+00:00"", ""end"": null}, ""harmonica_index_composite"": {""start"": ""2018-10-28T10:14:00.000+00:00"", ""end"": null}, ""lceq"": {""start"": ""2018-10-28T10:14:00.000+00:00"", ""end"": null}}";51.424255;5.47832;51.424255, 5.47832
468;Rondweg oude torenstraat;SoundMeasurementPoint;Oude Torenstraat 17, 5623 PG Eindhoven;"{""description"": ""Oude Torenstraat 17, 5623 PG Eindhoven"", ""latitude"": 51.453267, ""longitude"": 5.481337}";"{""laeq"": {""start"": ""2018-10-30T17:45:00.000+00:00"", ""end"": null}, ""harmonica_index_composite"": {""start"": ""2018-10-30T17:45:00.000+00:00"", ""end"": null}, ""lceq"": {""start"": ""2018-10-30T17:45:00.000+00:00"", ""end"": null}}";51.453267;5.481337;51.453267, 5.481337
487;Rondweg Piuslaan;SoundMeasurementPoint;Piuslaan 55, 5643 PS Eindhoven, Netherlands;"{""description"": ""Piuslaan 55, 5643 PS Eindhoven, Netherlands"", ""latitude"": 51.429653, ""longitude"": 5.502588}";"{""laeq"": {""start"": ""2018-11-15T13:51:00.000+00:00"", ""end"": null}, ""harmonica_index_composite"": {""start"": ""2018-11-15T13:51:00.000+00:00"", ""end"": null}, ""lceq"": {""start"": ""2018-11-15T13:51:00.000+00:00"", ""end"": null}}";51.429653;5.502588;51.429653, 5.502588
668;Noord Brabantlaan 36, 5651 LZ Eindhoven, Netherlands;SoundMeasurementPoint;Noord Brabantlaan 36, 5651 LZ Eindhoven, Netherlands;"{""description"": ""Noord Brabantlaan 36, 5651 LZ Eindhoven, Netherlands"", ""latitude"": 51.444341, ""longitude"": 5.444838}";"{""laeq"": {""start"": ""2022-04-05T13:08:00.000+00:00"", ""end"": null}, ""harmonica_index_composite"": {""start"": ""2022-04-05T13:08:00.000+00:00"", ""end"": null}, ""lceq"": {""start"": ""2022-04-05T13:08:00.000+00:00"", ""end"": null}}";51.444341;5.444838;51.444341, 5.444838
