FID,dijkrnr1,dijkrnr2,dijkr1,dijkr2,norm,vb_wk_nu,vb_wk_na,kd_naam,naam_compl,kd_code1,kd_code2,id_beheer,vnk_code,kunstwerk,kd_type,kd_type_om,kd_opm,categorie,toetsobjec,x_pr_dr,y_pr_dr,beheerder,provnaam,rws,se_anno_cad_data,gdb_geomattr_data,shape
kunstwerken_0910.1,61+62,nvt,Wanssum,nvt,1:250,nvt,nvt,stuw MEE.D.2.S,nvt,KD.61+62.st.021,nvt,MEE.D.2.S,nvt,1358,st,stuw,nvt,a,waterkerend kunstwerk,203003.850067,394363.512208,Waterschap Peel en Maasvallei,Limburg,NEE,,,POINT (203003.8500000015 394363.51199999824)
kunstwerken_0910.2,61+62,nvt,Wanssum,nvt,1:250,nvt,nvt,coupure MEE.3.5.C,nvt,KD.61+62.co.022,nvt,MEE.3.5.C,nvt,1359,co,coupure,nvt,a,waterkerend kunstwerk,203040.814,394483.247,Waterschap Peel en Maasvallei,Limburg,NEE,,,POINT (203040.8139999993 394483.2470000014)
kunstwerken_0910.3,61+62,nvt,Wanssum,nvt,1:250,nvt,nvt,stuw MEE.3.7.S,nvt,KD.61+62.st.023,nvt,MEE.3.7.S,nvt,1360,st,stuw,nvt,a,waterkerend kunstwerk,203054.536,394558.453,Waterschap Peel en Maasvallei,Limburg,NEE,,,POINT (203054.53599999845 394558.4530000016)
kunstwerken_0910.4,61+62,nvt,Wanssum,nvt,1:250,nvt,nvt,stuw MEE.3.8.S,nvt,KD.61+62.st.024,nvt,MEE.3.8.S,nvt,1361,st,stuw,nvt,a,waterkerend kunstwerk,203056.358299,394575.183934,Waterschap Peel en Maasvallei,Limburg,NEE,,,POINT (203056.35799999908 394575.18400000036)
kunstwerken_0910.5,61+62,nvt,Wanssum,nvt,1:250,nvt,nvt,stuw MEE.3.9.S,nvt,KD.61+62.st.025,nvt,MEE.3.9.S,nvt,1362,st,stuw,nvt,a,waterkerend kunstwerk,203058.143587,394591.575059,Waterschap Peel en Maasvallei,Limburg,NEE,,,POINT (203058.14400000125 394591.57499999925)
kunstwerken_0910.6,61+62,nvt,Wanssum,nvt,1:250,nvt,nvt,stuw MEE.3.3.S,nvt,KD.61+62.st.026,nvt,MEE.3.3.S,nvt,1363,st,stuw,nvt,a,waterkerend kunstwerk,203087.649614,394887.7035,Waterschap Peel en Maasvallei,Limburg,NEE,,,POINT (203087.6499999985 394887.7030000016)
kunstwerken_0910.7,61+62,nvt,Wanssum,nvt,1:250,nvt,nvt,coupure MEE.3.6.C,nvt,KD.61+62.co.027,nvt,MEE.3.6.C,nvt,1364,co,coupure,nvt,a,waterkerend kunstwerk,203081.112,394904.422,Waterschap Peel en Maasvallei,Limburg,NEE,,,POINT (203081.11199999973 394904.4219999984)
kunstwerken_0910.8,61+62,nvt,Wanssum,nvt,1:250,nvt,nvt,stuw MEE.3.2.S,nvt,KD.61+62.st.028,nvt,MEE.3.2.S,nvt,1365,st,stuw,nvt,a,waterkerend kunstwerk,203074.756885,395013.824287,Waterschap Peel en Maasvallei,Limburg,NEE,,,POINT (203074.75699999928 395013.82400000095)
kunstwerken_0910.9,61+62,nvt,Wanssum,nvt,1:250,nvt,nvt,stuw MEE.3.1.S,nvt,KD.61+62.st.029,nvt,MEE.3.1.S,nvt,1366,st,stuw,nvt,a,waterkerend kunstwerk,203068.306181,395077.353382,Waterschap Peel en Maasvallei,Limburg,NEE,,,POINT (203068.30600000173 395077.3530000001)
kunstwerken_0910.10,61+62,nvt,Wanssum,nvt,1:250,nvt,nvt,stuw MEE.2.4.S,nvt,KD.61+62.st.030,nvt,MEE.2.4.S,nvt,1367,st,stuw,nvt,a,waterkerend kunstwerk,203972.425859,395065.702447,Waterschap Peel en Maasvallei,Limburg,NEE,,,POINT (203972.42599999905 395065.7019999996)
