Boomsoort Wet. Naam;Boomsoort Ned. Naam;Eigendom;Plantjaar;Stamdiameter;Boomhoogte;Standplaats;Boomvorm;X-coordinaat;Y-coordinaat;Elementnummer;Eindbeeld
Complex Amstelwijck;Complex Amstelwijck;Gemeente;;;;;;;;;
Complex Wantijpark;Complex Wantijpark;Gemeente;;;;;;;;;
Complex Binnenstad;Complex Binnenstad;Gemeente;;;;;;;;;
Complex Louter Bloemen;Complex Louter Bloemen;Gemeente;;;;;;;;;
Complex Dordwijk;Complex Dordwijk;Gemeente;;;;;;;;;
Complex Dubbelsteynpark;Complex Dubbelsteynpark;Gemeente;;;;;;;;;
Complex Weizigtpark;Complex Weizigtpark;Gemeente;;;;;;;;;
Complex Maasstraat;Complex Maasstraat;Gemeente;;;;;;;;;
Complex Jeugddorp;Complex Jeugddorp;Gemeente;;;;;;;;;
Complex Gravenstein;Complex Gravenstein;Gemeente;;;;;;;;;
Complex Elzenhagen;Complex Elzenhagen;Gemeente;;;;;;;;;
Complex Crabbehof;Complex Crabbehof;Gemeente;;;;;;;;;
Complex Elzenhagen;Complex Elzenhagen;Gemeente;;;;;;;;;
Complex Elzenhagen;Complex Elzenhagen;Gemeente;;;;;;;;;
Complex Elzenhagen;Complex Elzenhagen;Gemeente;;;;;;;;;
Juglans nigra;Zwarte noot;Gemeente;1955;65;17;GRAS INTENSIEF;;106604,506;425334,636;01-05-581-0110;
Salix x sepulcralis 'Chrysocoma';Treurwilg;Gemeente;1965;135;15;GRAS INTENSIEF;;104793,108;424390,687;02-09-006-0370;
Salix x sepulcralis 'Chrysocoma';Treurwilg;Gemeente;1965;75;16;GRAS INTENSIEF;;104762,989;424355,726;02-09-006-0630;
Malus;Appel;Gemeente;1965;90;9;GRAS INTENSIEF;;104890,499;424407,343;02-09-006-0900;
Aesculus hippocastanum;Witte paardenkastanje;Gemeente;1980;90;15;GRAS INTENSIEF;;105085,37;423545,678;02-09-056-0040;
Aesculus hippocastanum;Witte paardenkastanje;Gemeente;1980;80;15;GRAS INTENSIEF;;105092,204;423545,72;02-09-056-0090;
Aesculus hippocastanum;Witte paardenkastanje;Gemeente;1980;90;15;GRAS INTENSIEF;;105096,624;423555,427;02-09-056-0100;
Aesculus hippocastanum;Witte paardenkastanje;Gemeente;1980;90;15;GRAS INTENSIEF;;105094,1383;423574,348;02-09-056-0160;
Aesculus hippocastanum;Witte paardenkastanje;Gemeente;1980;80;15;GRAS INTENSIEF;;105075,4499;423582,709;02-09-056-0230;
Aesculus hippocastanum;Witte paardenkastanje;Gemeente;1980;75;15;GRAS INTENSIEF;;105065,1716;423579,974;02-09-056-0240;
Aesculus hippocastanum;Witte paardenkastanje;Gemeente;1980;80;15;GRAS INTENSIEF;;105062,868;423573,301;02-09-056-0280;
Aesculus hippocastanum;Witte paardenkastanje;Gemeente;1980;80;15;GRAS INTENSIEF;;105069,931;423564,452;02-09-056-0320;
Aesculus hippocastanum;Witte paardenkastanje;Gemeente;1980;75;14;GRAS INTENSIEF;;105077,6;423555,292;02-09-056-0350;
Platanus x hispanica;Plataan;Gemeente;1945;105;22;VERHARDING;;104782,687;424006,292;02-09-086-0010;
Platanus x hispanica;Plataan;Gemeente;1944;95;21;VERHARDING;;104824,403;424023,592;02-09-086-0030;
