OBJECTID,PUIC,PROCESCONTRACTGEBIED_TYPE,NUMMER,NUMMER_T,NAAM,PCA,PGO_GEBIED,PGO_GEBIED_NR
1,87496226-5827-4f9c-9352-cd2551a723a2,Baan,26,26,Maastricht,Strukton Rail,Limburg,340
13,2c0cf41d-744e-4e26-9881-95dd26bc39a9,Baan,25,25,Roermond,Strukton Rail,Limburg,340
21,6c583c07-1711-40ba-9086-0b9c4da0c23c,Baan,8,8,Haarlem,Strukton Rail,Kennemerland,240
23,467294e1-f7ac-4a80-a4d2-841c814c5488,Baan,70,70,HSL,Infraspeed,,
33,50b8d246-2b97-445d-80fa-fc5d73463664,Baan,5,5,Dordrecht,ASSET Rail,Dordrecht,140
41,74e55b85-e97a-45ef-a2a7-16b98447c1fb,Baan,4,4,Europoort,VolkerRail,Zee-Zevenaar,130
43,f060280c-d7bc-46fc-a43c-bff9fdcdc76d,Baan,99,99,Kijfhoek,VolkerRail,Zee-Zevenaar,130
51,bbd9cd3c-6354-4a14-8351-5c1c4ed3eb55,Baan,15,15,Driebergen,ASSET Rail,Neerlands Midden,250
63,b84c2b47-3457-4c07-be74-fe2a2d485f2b,Baan,13,13,Utrecht,ASSET Rail,Neerlands Midden,250
67,7628bd53-39bb-4ee2-87a9-36df5a12b00c,Baan,14,14,Woerden,ASSET Rail,Neerlands Midden,250
71,8a025482-dc5a-4491-904c-12ef810dd7b8,Baan,35,35,Drenthe,ASSET Rail,Drenthe,440
79,0ffc32fe-4414-4bff-a895-3982cff9ef65,Baan,37,37,Groningen,Strukton Rail,Wadden,420
91,81b53a98-5f5f-4538-9cde-0cf95050ffe5,Baan,71,71,A15trace,VolkerRail,Zee-Zevenaar,130
93,8deeed2c-5a1d-48e4-82bb-b74b2b3aec33,Baan,30,30,Achterhoek,ASSET Rail,Gelre,400
99,2f8d8df9-0311-48c5-9c6d-01035c544952,Baan,11,11,Weesp,Strukton Rail,Amstelsepoort,230
101,f98b572d-21e7-435f-82fd-65b79331986b,Baan,34,34,Overijssel,ASSET Rail,Drenthe,440
119,c30d2738-f8ca-44ef-bcc3-46e3f99c51c3,Baan,33,33,Gelderland,Strukton Rail,Veluwe,430
120,06cb73ec-e171-4eae-a22f-cc9ae439a7bb,Baan,20,20,Breda,ASSET Rail,Brabant,330
125,8d3f434b-57de-4691-a20c-f4df8763c95b,Baan,23,23,Boxtel,ASSET Rail,Brabant,330
137,8b0f0205-5c7f-447d-897d-463f4cabd331,Baan,22,22,Geldermalsen,Strukton Rail,Betuwe,320
143,637bfe3d-f374-4928-8235-c7c97c675eee,Baan,28,28,Maas en Waal,ASSET Rail,Gelre,400
147,5d314e5b-9cf8-4b80-96a6-3e899e2c5d29,Baan,18,18,Goes,Strukton Rail,Zeeland,310
156,e156958b-7557-477d-8d92-f8670446022c,Baan,19,19,Roosendaal,Strukton Rail,Zeeland,310
161,f3c280e7-1029-40db-9a65-fb21b618c389,Baan,16,16,Maarn,ASSET Rail,Eemland,200
162,0a8667f2-126e-42fb-8f9d-27cf03065f68,Baan,2,2,Den Haag,VolkerRail,Den Haag,110
164,6a330441-aac3-4260-a47b-6c51092c6850,Baan,6,6,Heerhugowaard,VolkerRail,Hollands Noorderkwartier,210
165,b4199c37-74c7-4b47-91f0-23dd12755a97,Baan,12,12,Amersfoort,ASSET Rail,Eemland,200
171,0594690d-0861-4c1f-8cee-fb794d82f245,Baan,27,27,Venlo,ASSET Rail,De Peel,300
174,88509d0b-b870-408e-80f5-4a832f9b18fa,Baan,10,10,Duivendrecht,Strukton Rail,Amstelsepoort,230
175,70e1284c-1d72-4179-ba6b-0356378f55ff,Baan,1,1,Leiden,BAM Rail,Rijn en Gouwe,100
183,df440ecc-2e71-4ede-8496-484994e9ea76,Baan,21,21,Den Bosch,Strukton Rail,Betuwe,320
187,e291b47f-5dd6-43e0-abc0-9bb696d163b7,Baan,81,81,Rijn en Gouwe,BAM Rail,Rijn en Gouwe,100
190,f7e00294-13be-4874-ba36-04f293338364,Baan,3,3,Rotterdam,VolkerRail,Rotterdam,120
195,708fed09-b1ef-428b-9c01-52a640f96ffd,Baan,9,9,Amsterdam,VolkerRail,Amsterdam,220
200,d3118951-eb36-43f3-99c8-6a1864fd1d86,Baan,31,31,IJsselstreek,Strukton Rail,Veluwe,430
202,e22235a4-bee0-4e3e-8aca-a3b3d7d56497,Baan,29,29,Gelderse Vallei,Strukton Rail,Veluwe,430
206,770b5ba8-ee29-4469-b291-65ee5d5dec1f,Baan,7,7,Alkmaar,VolkerRail,Hollands Noorderkwartier,210
260,c53ad2c6-940b-4428-8ce5-0cebbca2e5d5,Baan,32,32,Twente,VolkerRail,Twente,410
273,09066553-4c3f-496f-84ba-4f0ee0eeb45a,Baan,24,24,Eindhoven,ASSET Rail,De Peel,300
276,2e7c5807-30e3-4fc6-adaf-729c42bc7c0c,Baan,36,36,Friesland,Strukton Rail,Wadden,420
