OBJECTID,SPOORAFSTAND,SPOORTAK_A,SPOORTAK_B,TYPE,DEKKING,DATUM_SPOORTAK_A,DATUM_SPOORTAK_B,GEOCODE_SPOORTAK_A,GEOCODE_SPOORTAK_B,KM_GEOCODE_SPOORTAK_A,KM_GEOCODE_SPOORTAK_B,SPOORNAAM_SPOORTAK_A,SPOORNAAM_SPOORTAK_B,VERMENIGVULDIGINGSFACTOR,BOOGSTRAAL_A,BOOGSTRAAL_B,VERKANTINGSVERSCHIL_HOEK_A_B,HOOGTEVERSCHIL_A_B,Shape__Length
1,,,,Exact_naar_Exact,Volledig,,,,,,,,,0,,,,,1.41421356237309
2,3.264,001_1103R_1.0,001_1103L_1.0,Exact_naar_Exact,Volledig,2022/12/22 02:23:28+00,2022/02/16 23:44:01+00,001,001,1.00154,1.001527,w1103R-s612,w1103L-s611,4.5,,,,,3.26442743065304
3,4.224,001_1125R_9.4,001_1125L_9.4,Exact_naar_Exact,Volledig,2022/12/21 22:51:17+00,2022/12/19 17:34:46+00,001,001,9.417589,9.417795,622,w1125L-s621,4.5,,,,,4.22361039159627
4,4.052,001_1145R_15.3,001_1145L_15.3,Exact_naar_Exact,Volledig,2022/09/20 22:06:44+00,2022/02/16 23:44:01+00,001,001,15.788344,15.788228,s632-w1149L,631,4.5,,,,,4.05219605892904
5,3.998,002_305R_35.8,002_305L_35.8,Exact_naar_Exact,Volledig,2021/08/02 23:19:45+00,2021/08/02 23:19:45+00,002,002,35.846049,35.845957,w305R-s201,w305L-s202,4.5,,,,,3.9976921667382
6,4.348,002_325R_40.0,002_325L_40.0,Spoortakdeel_naar_Spoortak,Onjuist,,,002,002,50.458087,50.458081,sLH-w345BL,345A,4.5,,,,,4.34764880366388
7,3.926,002_325R_40.0,002_325L_40.0,Exact_naar_Exact,Onjuist,2021/08/02 23:19:45+00,2021/08/02 23:19:45+00,002,002,44.043748,44.043742,LH,LG,4.5,,,,,3.92556617572548
8,4.298,002_345AL_50.5,002_325R_40.0,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2022/09/20 22:12:16+00,002,002,50.461256,50.461261,345A,sLH-w345BL,4.5,,,,,4.29754607421491
9,3.971,002_345AR_50.5,002_325R_40.0,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2022/09/20 22:12:16+00,002,002,50.479103,50.478984,345A,sLH-w345BL,4.5,,,,,3.97108575832857
10,4.057,002_345AR_50.5,002_345AL_50.5,Exact_naar_Exact,Volledig,2021/08/02 23:19:45+00,2022/09/20 22:12:16+00,002,002,50.548022,50.548173,345B,w345AL-w347BR,4.5,,,,,4.05646646479421
11,4.415,002_345BV_50.6,002_345AL_50.5,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2022/09/20 22:12:16+00,002,002,50.570327,50.570335,w345BV-w347AV,w345AL-w347BR,4.5,,,,,4.41507480004586
12,4.05,002_347AL_50.6,002_345AL_50.5,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2022/09/20 22:12:16+00,002,002,50.612494,50.612348,347A,w345AL-w347BR,4.5,,,,,4.05019002023362
13,4.437,002_347AR_50.6,002_345AL_50.5,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2022/09/20 22:12:16+00,002,002,50.592187,50.592195,347A,w345AL-w347BR,4.5,,,,,4.43717500781747
14,4.104,002_347AR_50.6,002_347AL_50.6,Exact_naar_Exact,Volledig,2021/08/02 23:19:45+00,2022/09/20 22:12:16+00,002,002,50.678944,50.678792,w347AR-s221,347B,4.5,,,,,4.10399072611038
15,3.988,002_347BV_50.7,002_347AR_50.6,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2021/08/02 23:19:45+00,002,002,51.384316,51.384342,s222-w355BR,355A,4.5,,,,,3.98786632674667
16,3.792,002_355AL_51.4,002_347BV_50.7,Exact_naar_Exact,Volledig,2021/08/02 23:19:45+00,2022/09/20 22:12:16+00,002,002,51.401775,51.401679,355A,s222-w355BR,4.5,,,,,3.79214052086681
