FID,vrt_code,vrtnaam,haven_vaar,meetpunt,naam,soort,opmerking,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
aansluiting.1,060,Lemmer - Delfzijl,,42.3,Overstort rioolzuivering,NVW,,,1549,,,POINT (53.252700000999994 6.3832999989999735)
aansluiting.2,083,Oude IJssel,,10.731,Heinoorden,NVW,,,1619,,,POINT (51.973999999 6.255800001000011)
aansluiting.3,222,"Bullewijk, Waver, Winkel, Vinkeveensche Plassen, Geuzensloot, Angstel en Nieuwe Wetering",,17.509,"Nieuwersluis, gracht",NBV,,,1661,,,POINT (52.19660000099998 5.006399999999985)
aansluiting.4,027,Vaarweg van de Slenk (Lauwersmeer) naar Leeuwarden,,41.684,Oosterstadsgracht,NBV,,,1663,,,POINT (53.207100000000025 5.798099997999998)
aansluiting.5,206,Oude Rijn,,51.711,Voortzetting Oude Rijn,NBV,,,1701,,,POINT (52.16120000199999 4.500599998999974)
aansluiting.6,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,58.943,Voedingskanaal voor de Kromme Rijn (met woonschepen),NVW,,,1730,,,POINT (51.969599999000025 5.352899997999998)
aansluiting.7,022,Van Harinxmakanaal,,1,Sexbierumer vaart,NVW,,,1799,,,POINT (53.1807 5.4281999990000145)
aansluiting.8,130,Kanaal van Gent naar Terneuzen met de Zijkanalen en havens,,4.15,Ringvaart om Gent (B),NBV,,,1810,,,POINT (51.10990000100003 3.7430000009999844)
aansluiting.9,043,Kuinder of Tjonger,,22.773,Prinsenwijk naar Olberkoop (met passantenhaven De Uutwiek),NBV,,,1830,,,POINT (52.95059999799997 6.113400001000002)
aansluiting.10,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,40.901,Waalwaard (ontzanding),NVW,,,1874,,,POINT (51.89559999900001 5.669399999000007)
aansluiting.11,060,Lemmer - Delfzijl,,85,Haan's Krite,NVW,,,1886,,,POINT (53.09930000100002 5.848799999999983)
aansluiting.12,057,Vaarweg Sneek-IJlst,,0.046,Stadsgracht Noord,NBV,,,1908,,,POINT (53.03280000000001 5.667300001000001)
