Leverancier;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
&Samhoud Nederland B.V.;;1;1;1
2BEMOVED B.V.;;;1;1
7AM Den Haag B.V.;;1;;1
Abonnementenland;1;;;1
Academie voor de Rechtspraktijk B.V.;1;;;1
ACE Translations B.V.;;;1;1
Adwise;;;1;1
Affix International;;1;;1
Andries was hier;;;1;1
ANNE;;1;;1
Arabisch Vertaalbureau Abdellatif (Ava);;;1;1
Atrium Vastgoedmanagement B.V.;;2;;2
August Purple;1;;;1
Avex B.V.;;;1;1
B+B Vakmedianet B.V.;1;;;1
Bamberg Media Productions;;;1;1
Barbarossa Beach B.V.;;1;;1
BBK/Door Vriendschap Sterker B.V.;;;1;1
Beachclub Indigo B.V.;;1;;1
Beautiful Minds;;;3;3
Bixmile Performance B.V.;;;1;1
Blauvelt;;;1;1
Bobbe International B.V.;6;;;6
Bodhi by Becca;;1;;1
Boekmanstichting;;;2;2
Bord aan Tafel;;;1;1
Brink Management & Advies B.V.;;1;;1
Broekhuizen Communicatie;;;3;3
BSB Media;;1;;1
BTS;;;3;3
Bulgaars Vertaalbureau Ani;;;1;1
Bureau Boudewijn Boer;1;;;1
Bureau Daalder Tekst en Communicatie;;1;;1
Bureau G.I.T.;;1;;1
Bureau Integriteit B.V.;;;1;1
Bureau Opwelling;;1;;1
Buro BRAND Creative Factory B.V.;;;1;1
Buro Buchner;;;2;2
Buyitdirect.com B.V.;;1;;1
Carlton Hotel Collection;;;1;1
Circlefied;;1;;1
Citymar Consultancy;;;2;2
Clarice Gargard;;1;;1
Claudia Kamergorodski;;;1;1
Colorful Penguins;;;2;2
Communicatiebureau De Walvis;;1;;1
Constructief Tegendenken - Strategisch Advies;;1;;1
Coöperatief Congrestolkensecretariaat UA;;;1;1
Creator Meeting Support B.V.;;;1;1
Curltalk;;;1;1
Dag en Nacht Media B.V.;;;1;1
De Birkt Vergaderen;;1;;1
De Denksmederij;;1;;1
De Nieuwe Pelgrim;;1;;1
De V van Ver;;;1;1
De Veldkeuken Restaurant B.V.;;1;;1
Debra Barraud;;;1;1
Dekker & Van Velzen;;1;;1
Deloitte Consulting B.V.;;;2;2
DelRosso Studio;;;1;1
Diner Thuis;;1;;1
Disco Media;;;2;2
Dokkumer Vlaggen Centrale B.V.;;;1;1
DPI;;;1;1
Drukwerk-Centrum.nl;;;1;1
Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;;;1;1
EMMA Communicatie B.V.;;;1;1
Employee Performance Group B.V.;;;2;2
English Translation Service;;;1;1
Entopic Expert Services B.V.;;;2;2
Esther Meijer Fotografie;;;1;1
Esther van Rijswijk;;;1;1
every media;;;2;2
Evite Services B.V.;;;1;1
Evolve B.V.;;;1;1
Expl. Mij. De Nieuwe Poort Amsterdam B.V.;;1;;1
Expl.mij. Automobielmusea in Nederland B.V.;;1;;1
Exploitatie Hotel Zeestraat Den Haag B.V.;;1;;1
FaberExposize B.V.;;;1;1
Facilion B.V.;;;2;2
Fair Price;;1;;1
FEDDE VERTAALT;;;2;2
Ferro Explore B.V.;;;2;2
Fibre Concepts B.V.;;;1;1
Film Atelier Den Haag;;1;;1
Flexa Media;;;1;1
Flow Artist Label B.V.;;1;1;1
Fotografie : Paul Voorham;;;1;1
Fotografie Jurgen Huiskes;;;1;1
Frank van der Burg Fotografie;;;1;1
Frankwatching B.V.;;1;;1
Future Motions;;1;;1
Galerij De Hamer;;;1;1
Genootschap Onze Taal;1;;;1
GH+O;;2;4;4
Grijspaardt Web- en Multimediadesign;;;1;1
GW Cross Media B.V.;1;;1;1
Hafo B.V.;;;1;1
Hajar Yagkoubi;;;1;1
Hampshire Exploitatie I B.V.;;1;;1
Happy Parents Coaching;;1;;1
Healthplus.ai B.V.;;1;;1
HERMAN KUIJPER ZAND & STRAND B.V.;;1;;1
Het Nutshuis;;1;;1
Hollandse Hoogte B.V.;;;1;1
Hooghiemstra & Partners B.V.;;;1;1
Hotel 96 B.V.;;1;;1
Hotel Indigo The Haque - Palace Noordeinde;;1;;1
House of Lords B.V.;;1;;1
IBFD;;;1;1
Ibis Den Haag City Centre;;1;;1
IKAN Consultancy;;;1;1
Ilse van Marrewijk Vormcommunicatie;;;1;1
Image Building B.V.;;;1;1
Imagine People;;1;1;1
in60seconds B.V.;;;2;2
ING Bank;1;;1;1
ING Bank N.V.;;;1;1
Innovero Software Solutions B.V.;1;;;1
Int. Air Trans. Association (Netherl.) B.V.;1;;;1
Intact;;;1;1
inVision Ondertiteling;;;1;1
Jollof Rice Productions;;1;1;2
Kick Smeets Fotografie;;;1;1
Knyfe Ealdormann B.V.;;1;;1
Koninklijk Instituut van Ingenieurs;;1;;1
Kramer Fotografie;;;1;1
Le Montrachet B.V.;;1;;1
Lewis Communications B.V.;;;2;2
LexisNexis Benelux;4;;2;4
Lexyca;;;1;1
Linguist Link Europe;;;2;2
Little Bigfoot by MKS;;;1;1
Locatie Marketing en Management Company B.V.;;;1;1
Logeion;1;;;1
Made by Thijmen;;;1;1
Mainpress B.V.;3;;;3
Maison de France Den Haag B.V.;;;1;1
MaMa Aad B.V.;;1;;1
Marianne Zuur;;;1;1
Marketresponse International Group B.V.;;1;1;2
MarktOnderzoekAssociatie.nl;1;;;1
Marlink B.V.;1;;;1
Martijn Beekman Fotografie;;;1;1
Martijn Schroevers Produkties;;;1;1
Maters & Hermsen Journalistiek B.V.;;;2;2
Mauritshuis;;1;;1
Max Douw;;;1;1
Meetingselect B.V.;;4;;4
Melodi Tamarzians;;;1;1
Mensen met een Missie;;;1;1
MichielB.com;;;1;1
MMS Communications;;;2;2
Moduli Print B.V.;;;2;2
Molen De Ster;;1;;1
Momice B.V.;;;1;1
MP Management;;2;;2
Multigift Relatiegeschenken B.V.;;;1;1
Munckhof Taxi B.V.;;1;;1
Museum Meermanno - Huis van het Boek;;1;;1
MWM2 B.V.;;2;;2
Nalta Software B.V.;1;;1;1
