FID,ID,NAAM,X,Y,LINK,DD_BIJGEWERKT,DD_BRONBESTAND,GEOMETRIE
MOB_P_GEHANDICAPTEN.214,214,Prof. Bellefroidstr 407,51.827893,5.868696,,2023-02-02,2022-03-24,POINT (188191.875404952 426697.735575065)
MOB_P_GEHANDICAPTEN.215,215,Verlengde Groenestraat 10 (NS Heijendaal),51.826438,5.868222,,2023-02-02,2022-03-24,POINT (188160.272047444 426535.645477464)
MOB_P_GEHANDICAPTEN.216,216,Stationsstraat 24a Oosterhout,51.884241,5.840028,,2023-02-02,2022-03-24,POINT (186176.582158921 432953.961073728)
MOB_P_GEHANDICAPTEN.217,217,Keizer Augustusplein 3 Ressen,51.882748,5.860303,,2023-02-02,2022-03-24,POINT (187573.563248984 432796.755653298)
MOB_P_GEHANDICAPTEN.218,218,Marialaan 110,51.843523,5.84827,,2023-02-02,2022-03-24,POINT (186772.784152871 428427.493829995)
MOB_P_GEHANDICAPTEN.219,219,Weezenhof 5502,51.801551,5.816273,,2023-02-02,2022-03-24,POINT (184595.420386082 423744.442492959)
MOB_P_GEHANDICAPTEN.220,220,van Diemerbroekstraat 2,51.842009,5.852934,,2023-02-02,2022-03-24,POINT (187095.263103139 428261.106370466)
MOB_P_GEHANDICAPTEN.221,221,Daalsehof 2,51.841267,5.872178,,2023-02-02,2022-03-24,POINT (188421.973869207 428187.235295679)
MOB_P_GEHANDICAPTEN.48,48,Arksteestraat 12,51.8427,5.862259,,2023-02-02,2022-03-24,POINT (187737.373404639 428342.144343624)
MOB_P_GEHANDICAPTEN.49,49,Bisschop Hamerstraat 6,51.843154,5.860585,,2023-02-02,2022-03-24,POINT (187621.685887933 428391.900322331)
MOB_P_GEHANDICAPTEN.50,50,Bloemerstraat 52,51.844994,5.860522,,2023-02-02,2022-03-24,POINT (187616.010850679 428596.578667291)
MOB_P_GEHANDICAPTEN.51,51,Bloemerstraat 54,51.845049,5.860597,,2023-02-02,2022-03-24,POINT (187621.139104651 428602.731296778)
MOB_P_GEHANDICAPTEN.52,52,Bijleveldsingel,51.841206,5.863792,,2023-02-02,2022-03-24,POINT (187844.105558497 428176.623587869)
MOB_P_GEHANDICAPTEN.53,53,Bijleveldsingel,51.841528,5.865944,,2023-02-02,2022-03-24,POINT (187992.172667981 428213.422490263)
MOB_P_GEHANDICAPTEN.54,54,Oude Stad,51.84848,5.853974,,2023-02-02,2022-03-24,POINT (187162.307201256 428981.489027568)
MOB_P_GEHANDICAPTEN.55,55,St. Stevenskerkhof,51.847744,5.862521,,2023-02-02,2022-03-24,POINT (187751.756937898 428903.425640074)
MOB_P_GEHANDICAPTEN.56,56,Eiermarkt ,51.847197,5.866872,,2023-02-02,2022-03-24,POINT (188051.96047121 428844.540786905)
MOB_P_GEHANDICAPTEN.57,57,In de Betouwstraat 36,51.843915,5.859747,,2023-02-02,2022-03-24,POINT (187563.387677318 428476.188292908)
MOB_P_GEHANDICAPTEN.58,58,Tweede Walstraat 9,51.844144,5.866186,,2023-02-02,2022-03-24,POINT (188006.931010314 428504.571689315)
MOB_P_GEHANDICAPTEN.59,59,Stieltjesstraat,51.844606,5.854772,,2023-02-02,2022-03-24,POINT (187220.065644926 428550.845884577)
MOB_P_GEHANDICAPTEN.60,60,Stationsplein 7,51.842608,5.852822,,2023-02-02,2022-03-24,POINT (187087.117763737 428327.697823663)
