Kenteken,Referentiecode RDW,Code Status,Status
00BBL8,MGP130086,P,Producent heeft herstel gemeld
00BBL8,MGP140311,P,Producent heeft herstel gemeld
00BBN6,MGP220252,O,Openstaande terugroepactie
00BBR5,MGP130086,P,Producent heeft herstel gemeld
00BBR5,MGP140311,P,Producent heeft herstel gemeld
00BBT7,MGP130086,P,Producent heeft herstel gemeld
00BBT7,MGP140311,P,Producent heeft herstel gemeld
00BBT7,MGP160185,P,Producent heeft herstel gemeld
00BBT7,MGP210563,O,Openstaande terugroepactie
00BBX8,MGP140311,P,Producent heeft herstel gemeld
00BBX8,MGP170505,P,Producent heeft herstel gemeld
00BDF5,MGP170505,P,Producent heeft herstel gemeld
00BDF8,MGP150302,P,Producent heeft herstel gemeld
00BDF8,MGP170057,P,Producent heeft herstel gemeld
00BDK2,MGP150302,P,Producent heeft herstel gemeld
00BDK2,MGP170057,P,Producent heeft herstel gemeld
00BDL2,MGP170505,P,Producent heeft herstel gemeld
00BDL4,MGP170505,P,Producent heeft herstel gemeld
00BDL6,MGP160185,P,Producent heeft herstel gemeld
00BDR1,MGP140212,P,Producent heeft herstel gemeld
00BDS9,MGP160185,P,Producent heeft herstel gemeld
00BDS9,MGP170505,P,Producent heeft herstel gemeld
00BFD4,MGP160185,P,Producent heeft herstel gemeld
00BFD4,MGP170505,P,Producent heeft herstel gemeld
00BFD6,MGP170505,P,Producent heeft herstel gemeld
00BFD6,MGP210563,P,Producent heeft herstel gemeld
00BFD9,MGP150302,P,Producent heeft herstel gemeld
00BFD9,MGP170057,P,Producent heeft herstel gemeld
00BFD9,MGP170504,P,Producent heeft herstel gemeld
00BFL4,MGP170505,P,Producent heeft herstel gemeld
00BFL6,MGP170505,P,Producent heeft herstel gemeld
00BFL8,MGP170505,P,Producent heeft herstel gemeld
00BFT1,MGP160024,P,Producent heeft herstel gemeld
00BFT8,MGP170505,P,Producent heeft herstel gemeld
00BGD8,MGP170505,P,Producent heeft herstel gemeld
00BGF4,MGP160185,P,Producent heeft herstel gemeld
00BGF4,MGP170505,P,Producent heeft herstel gemeld
00BGK8,MGP160185,P,Producent heeft herstel gemeld
00BGK8,MGP170505,P,Producent heeft herstel gemeld
00BGN4,MGP160185,P,Producent heeft herstel gemeld
00BGN4,MGP170505,P,Producent heeft herstel gemeld
00BGN7,MGP170505,P,Producent heeft herstel gemeld
00BGN8,MGP220415,O,Openstaande terugroepactie
00BGR5,MGP170505,P,Producent heeft herstel gemeld
00BGS5,MGP170505,P,Producent heeft herstel gemeld
00BGS5,MGP210563,P,Producent heeft herstel gemeld
00BGV5,MGP170505,P,Producent heeft herstel gemeld
00BGV5,MGP210563,O,Openstaande terugroepactie
00BGZ3,MGP160185,P,Producent heeft herstel gemeld
00BGZ3,MGP170505,P,Producent heeft herstel gemeld
