Kenteken,Bijzonderheid volgnummer,Bijzonderheid code,Bijzonderheid code omschrijving,Bijzonderheid variabele tekst,Bijzonderheid eenheid
0073ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0073ZZ,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
0073ZZ,3,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,voorste stempelpoten,
0073ZZ,4,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
0074ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,194,
0075PH,1,55,Kentekenplaat model 18.2. toegestaan.,,
0075ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,194,
0076ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,194,
0077ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,194,
0083ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0084ZZ,4,103,Max-last-as .. t/m .. : ..... per as,10 12 06000,kg
0085ZZ,1,104,Het rijden met dit voertuig is alleen toegestaan indien een ontheffing aanwezig is.,,
0087BU,1,55,Kentekenplaat model 18.2. toegestaan.,,
0087ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0087ZZ,4,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0087ZZ,7,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
0088ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0088ZZ,2,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0088ZZ,5,982,Wielbasis:,1617-2092,cm
0088ZZ,6,983,Lengte (L):,1798-2273,cm
0088ZZ,7,985,afstand hart koppeling tot achterzijde voertuig (b):,1683-2158,cm
0089ZZ,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,Zwanenhals,
0089ZZ,2,993,Dit voertuig is samengesteld uit afneembare voertuigdelen met de volgende identificatienummers:,,
0090ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0090ZZ,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
0091ZZ,1,982,Wielbasis:,1620-5300,cm
0091ZZ,2,983,Lengte (L):,1915-5595,cm
0091ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1740-5420,cm
0092ZZ,1,982,Wielbasis:,1620-5300,cm
0092ZZ,2,983,Lengte (L):,1915-5595,cm
0092ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1740-5420,cm
0093ZZ,1,982,Wielbasis:,1620-5300,cm
0093ZZ,2,983,Lengte (L):,1915-5595,cm
0093ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1740-5420,cm
0094ZZ,1,103,Max-last-as .. t/m .. : ..... per as,10 12 06000,kg
0097XM,3,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
0098ZZ,1,982,Wielbasis:,1429-1929,cm
0098ZZ,2,983,Lengte (L):,1616-2116,cm
0098ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1491-1991,cm
0099ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
00BA10,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00BA26,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00BA28,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00BA35,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00BBB7,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BBB7,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0958,cm
00BBB7,3,978,- max. massa ongeremd:,00750,kg
00BBB7,4,980,- max. massa autonoom geremd:,03200,kg
00BBB7,5,981,- max. massa middenas geremd:,03200,kg
00BBG6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BBG7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BBG8,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0477-0542,cm
00BBH5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,087,
00BBH7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,074,
00BBJ1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BBJ2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,074,
00BBJ5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BBJ8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BBK5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0450-0516,cm
00BBK6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BBL2,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,hefinstallatie aan de rechterzijde,
00BBP4,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BBS2,1,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
00BBV5,1,134,In lange en zware voertuigcombinaties,,
00BBV5,2,136,- max. massa samenstel:,050000,kg
00BBV5,3,137,- max. massa oplegger geremd:,43205,kg
00BDB3,1,134,In lange en zware voertuigcombinaties,,
00BDB3,2,136,- max. massa samenstel:,050000,kg
00BDB3,3,137,- max. massa oplegger geremd:,42500,kg
00BDB5,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BDB5,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0673,cm
00BDB5,3,980,- max. massa autonoom geremd:,42750,kg
00BDB5,4,981,- max. massa middenas geremd:,24000,kg
00BDB5,5,978,- max. massa ongeremd:,00750,kg
00BDB5,6,134,In lange en zware voertuigcombinaties,,
00BDB5,7,136,- max. massa samenstel:,060000,kg
00BDB5,8,138,- max. massa autonoom geremd:,42750,kg
00BDB5,9,139,- max. massa middenas geremd:,24000,kg
00BDD5,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,opstappen aan rechterzijde,
00BDD5,2,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,opstappen aan linkerzijde,
00BDD6,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,laadinstallatie rechts,
00BDD7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0456-0459,cm
00BDH7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BDK1,1,134,In lange en zware voertuigcombinaties,,
00BDK1,2,136,- max. massa samenstel:,057500,kg
00BDK1,3,138,- max. massa autonoom geremd:,42495,kg
00BDK1,4,139,- max. massa middenas geremd:,24000,kg
00BDK5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0420-0475,cm
00BDK6,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de opstap linker en rechterzijde,
00BDL3,1,55,Kentekenplaat model 18.2. toegestaan.,,
00BDL5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0440-0506,cm
00BDL5,2,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BDL5,3,976,- afstand voorzijde voertuig tot hart   koppeling (a),0640,cm
00BDL5,4,978,- max. massa ongeremd:,00750,kg
00BDL5,5,980,- max. massa autonoom geremd:,30080,kg
00BDL5,6,981,- max. massa middenas geremd:,15008,kg
00BDL9,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BDL9,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0845,cm
00BDL9,3,978,- max. massa ongeremd:,00750,kg
00BDL9,4,980,- max. massa autonoom geremd:,39205,kg
00BDL9,5,981,- max. massa middenas geremd:,17286,kg
00BDP9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,146,
00BDR1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,063,
00BDR6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,120,
00BDT6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,054,
00BDV1,1,134,In lange en zware voertuigcombinaties,,
00BDV1,2,136,- max. massa samenstel:,060000,kg
00BDV1,3,137,- max. massa oplegger geremd:,50844,kg
00BDX2,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BDX2,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),1145,cm
00BDX2,3,978,- max. massa ongeremd:,00750,kg
00BDX2,4,980,- max. massa autonoom geremd:,03500,kg
00BDX2,5,981,- max. massa middenas geremd:,03500,kg
00BDX6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,019,
00BFH5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
00BFH7,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BFH7,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),610,cm
00BFH8,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,laadinstallatie rechts,
00BFK1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,050,
00BFK3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,047,
00BFK5,1,134,In lange en zware voertuigcombinaties,,
00BFK5,2,136,- max. massa samenstel:,057500,kg
00BFK5,3,137,- max. massa oplegger geremd:,49788,kg
00BFK7,1,132,Dit voertuig behoeft niet te zijn voorzien van een bescherminrichting tegen klemrijden aan de voorzijde.,,
00BFK7,2,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
00BFL9,1,134,In lange en zware voertuigcombinaties,,
00BFL9,2,136,- max. massa samenstel:,50000,kg
00BFL9,3,137,- max. massa oplegger geremd:,42029,kg
00BFN1,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de hefinstallatie rechterzijde,
00BFP2,1,65,Dit voertuig behoeft niet te zijn voorzien van een snelheidsbegrenzer.,,
00BFP2,2,132,Dit voertuig behoeft niet te zijn voorzien van een bescherminrichting tegen klemrijden aan de voorzijde.,,
00BFS1,1,907,Dit voertuig is een rijdend werktuig.,,
00BFS1,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BFS1,3,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,voorste stempelpoten,
00BFS1,11,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BFS1,12,976,- afstand voorzijde voertuig tot hart   koppeling (a),1443,cm
00BFS1,13,978,- max. massa ongeremd:,00750,kg
00BFS1,14,981,- max. massa middenas geremd:,03325,kg
00BFS1,15,980,- max. massa autonoom geremd:,03325,kg
00BFV1,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0426-0492,cm
00BFV6,1,65,Dit voertuig behoeft niet te zijn voorzien van een snelheidsbegrenzer.,,
00BFX8,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0495-0675,cm
00BFZ3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,092,
00BFZ4,1,134,In lange en zware voertuigcombinaties,,
00BFZ4,2,136,- max. massa samenstel:,060000,kg
00BFZ4,3,137,- max. massa oplegger geremd:,51775,kg
00BGG4,1,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
00BGH1,1,134,In lange en zware voertuigcombinaties,,
00BGH1,2,136,- max. massa samenstel:,060000,kg
00BGH1,3,138,- max. massa autonoom geremd:,46635,kg
00BGH8,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0425-0485,cm
00BGK8,1,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
00BGL1,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0443-0492,cm
00BGL1,2,134,In lange en zware voertuigcombinaties,,
00BGL1,3,136,- max. massa samenstel:,060000,kg
00BGL1,4,137,- max. massa oplegger geremd:,50758,kg
00BGL4,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BGL4,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0838,cm
00BGL4,3,978,- max. massa ongeremd:,00750,kg
00BGL4,4,980,- max. massa autonoom geremd:,03500,kg
00BGL4,5,981,- max. massa middenas geremd:,03500,kg
00BGR8,1,134,In lange en zware voertuigcombinaties,,
00BGR8,2,136,- max. massa samenstel:,057500,kg
00BGR8,3,138,- max. massa autonoom geremd:,47945,kg
00BGR8,4,139,- max. massa middenas geremd:,24000,kg
00BGT1,1,907,Dit voertuig is een rijdend werktuig.,,
00BGT1,2,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
00BGT1,3,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BGT1,11,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,voorste stempelpoten,
00BGT1,12,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BGT1,13,976,- afstand voorzijde voertuig tot hart   koppeling (a),1457,cm
00BGT1,14,978,- max. massa ongeremd:,00750,kg
00BGT1,15,980,- max. massa autonoom geremd:,03336,kg
00BGT1,16,981,- max. massa middenas geremd:,03336,kg
00BGT8,1,134,In lange en zware voertuigcombinaties,,
00BGT8,2,136,- max. massa samenstel:,050000,kg
00BGT8,3,138,- max. massa autonoom geremd:,37585,kg
00BGT8,4,139,- max. massa middenas geremd:,24000,kg
00BGX8,1,134,In lange en zware voertuigcombinaties,,
00BGX8,2,136,- max. massa samenstel:,050000,kg
00BGX8,3,138,- max. massa autonoom geremd:,37605,kg
00BGX8,4,139,- max. massa middenas geremd:,24000,kg
00BGZ3,1,134,In lange en zware voertuigcombinaties,,
00BGZ3,2,136,- max. massa samenstel:,044000,kg
00BGZ3,3,137,- max. massa oplegger geremd:,37015,kg
00BHB2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,056,
00BHD3,1,134,In lange en zware voertuigcombinaties,,
00BHD3,2,136,- max. massa samenstel:,50000,kg
00BHD3,3,137,- max. massa oplegger geremd:,41308,kg
00BHF3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,022,
00BHF8,1,907,Dit voertuig is een rijdend werktuig.,,
00BHF8,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BHF8,8,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,voorste stempelpoten,
00BHG9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
00BHH5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0441-0501,cm
00BHJ4,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0470-0537,cm
00BHJ6,1,134,In lange en zware voertuigcombinaties,,
00BHJ6,2,136,- max. massa samenstel:,060000,kg
00BHJ6,3,138,- max. massa autonoom geremd:,38000,kg
00BHJ6,4,139,- max. massa middenas geremd:,24000,kg
00BHL9,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de laadinstallatie rechts,
00BHP6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BHP7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BHP9,1,65,Dit voertuig behoeft niet te zijn voorzien van een snelheidsbegrenzer.,,
00BHP9,2,132,Dit voertuig behoeft niet te zijn voorzien van een bescherminrichting tegen klemrijden aan de voorzijde.,,
00BHR4,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BHT6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,100,
00BHT8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,084,
00BHV2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0411-0472,cm
00BHV7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0595-0661,cm
00BHV9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,085,
00BHX6,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de laadinstallatie rechts,
00BHX7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,443-509,cm
00BJB7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0450-0510,cm
00BJD1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,050,
00BJD6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0423-0488,cm
00BJG4,1,55,Kentekenplaat model 18.2. toegestaan.,,
00BJG4,2,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,050,
