MAST_NUMMER,ARMATUURTYPE_1,ARMATUURTYPE_2,ARMPLAATSINGSDATUM,LAMPPLAATSINGSDATUM,LAMPTYPENAAM
001 000019,RMB 1xPLL 18W C,,19891201000000,20190613000000,310018 PL-L 18W/830 4P MASTER
001 000024,BGP623 60LED ... NW CLO 8800 Luma 1,BGP623 60LED ... NW CLO 8800 Luma 1,20141215000000,20141215000000,LED 75W 4000K 8800lm
001 000027,KFK LED2WELL 1050lm overeenkomst,,20191220000000,20191220000000,LED 09W 3000K 1050lm
001 000035,RMB 1xPLL 24W E,,19991001000000,20201207000000,310024 PL-L 24W/830 4P MASTER
001 000043,LIBRA 1xPLL24 E RAL9007,,20120509000000,20170317000000,310024 PL-L 24W/830 4P MASTER
001 000051,2500 1xPLL24 E,,20030501000000,20201124000000,310024 PL-L 24W/830 4P MASTER
001 000078,LIBRA 1xPLL24 E RAL9007,,20140508000000,20170323000000,310024 PL-L 24W/830 4P MASTER
001 000086,Furyo 1 CPO-TW 90W Dimbaar,,20101012000000,20180412000000,260090 CPO-TW 090W/728 MASTER
001 000094,2500 1xPLL36 E,,20010101000000,20170323000000,310036 PL-L 36W/830 4P MASTER
001 000108,2500 1xPLL24 E,,20090707000000,20201214000000,310024 PL-L 24W/830 4P MASTER
001 000116,2500 1xPLL24 E,,20001101000000,20170323000000,310024 PL-L 24W/830 4P MASTER
001 000124,KFK LED2WELL 1050lm overeenkomst,,20191015000000,20191015000000,LED 09W 3000K 1050lm
001 000132,ALBANY Midi 5068 sym 16led 350mA WW RAL5004,,20210115000000,20210115000000,LED 19W 3000K 2200m
001 000140,KFK LED2WELL 1050lm overeenkomst,,20191212000000,20191212000000,LED 09W 3000K 1050lm
001 000159,ALTRA-3 1xPLL 55 E,,20041101000000,20190502000000,310055 PL-L 55W/830 4P MASTER
001 000167,2500 1xPLL24 E,,20100223000000,20170323000000,310024 PL-L 24W/830 4P MASTER
001 000175,2500 1xPLL24 E,,20090615000000,20170323000000,310024 PL-L 24W/830 4P MASTER
001 000183,2500 1xPLL24 E,,20060531000000,20201210000000,310024 PL-L 24W/830 4P MASTER
001 000191,2500 1xPLL24 E,,19990901000000,20201111000000,310024 PL-L 24W/830 4P MASTER
001 000205,Axia 2.1 WW 5187 8 led 480mA 1400lm,,20210322000000,20210322000000,LED 13W 3000K 1400lm
001 000213,KFK LED2WELL 1800lm overeenkomst,,20190613000000,20190613000000,LED 16W 3000K 1800lm
001 000221,LIBRA 24LED WW RAL9007,,20161201000000,20161201000000,LED 24W 3000K 2650lm
001 000248,LIBRA 1xPLL24 E RAL9007,,20140401000000,20201119000000,310024 PL-L 24W/830 4P MASTER
001 000256,2500 1xPLL24 E,,20041201000000,20191011000000,310024 PL-L 24W/830 4P MASTER
001 000264,KFK 1xPLL18/24 E,,20160819000000,20160819000000,310024 PL-L 24W/830 4P MASTER
001 000269,LIBRA 1xPLL24 E RAL9007,,20110415000000,20201211000000,310036 PL-L 36W/830 4P MASTER
001 000272,KFK 1xPLL18/24 E,,20101212000000,20160208000000,310024 PL-L 24W/830 4P MASTER
001 000299,LIBRA 1xPLL24 E RAL9007,,20150924000000,20201110000000,310024 PL-L 24W/830 4P MASTER
001 000302,2500 1xPLL24 E,,20020101000000,20170329000000,310024 PL-L 24W/830 4P MASTER
001 000310,KFK 1xPLL18/24 E,,20160801000000,20201109000000,310024 PL-L 24W/830 4P MASTER
001 000329,LWB 145 1xPLL18/24W E,,20010301000000,20201208000000,310018 PL-L 18W/830 4P MASTER
001 000345,KFK 1xPLL18/24 E,,20140206000000,20170331000000,310024 PL-L 24W/830 4P MASTER
001 000353,FGS 105 1xPLL55 E,,20000501000000,20160205000000,310055 PL-L 55W/830 4P MASTER
001 000361,2500 1xPLL24 E,,20090615000000,20170327000000,310024 PL-L 24W/830 4P MASTER
001 000388,2500 1xPLL24 E,,20011101000000,20170401000000,310024 PL-L 24W/830 4P MASTER
001 000396,2550 1xPLL18/24 Iris,,20140401000000,20201119000000,310024 PL-L 24W/830 4P MASTER
001 000426,KFK 1xPLL18/24 E,,20150901000000,20170330000000,310024 PL-L 24W/830 4P MASTER
001 000434,KFK 1xPLL18/24 E,,20140401000000,20201120000000,310024 PL-L 24W/830 4P MASTER
001 000442,KFK 1xPLL18/24 E,,20101212000000,20160201000000,310024 PL-L 24W/830 4P MASTER
001 000450,RMB 1xPLL 36W E,,20080204000000,20151214000000,320036 PL-L 36W/840 4P MASTER
001 000469,2500 1xPLL24 E,,20041201000000,20160114000000,310024 PL-L 24W/830 4P MASTER
001 000477,KFK 1xPLL18/24 E,,20160721000000,20160721000000,310024 PL-L 24W/830 4P MASTER
001 000485,KFK 1xPLL18/24 E,,20161220000000,20161220000000,310024 PL-L 24W/830 4P MASTER
001 000493,Pro-Vision mini 12 led 3000k,,20161220000000,20161220000000,LED 12W 3000K 1250lm
001 000507,2500 1xPLL24 E,,20041201000000,20170329000000,310024 PL-L 24W/830 4P MASTER
001 000515,Ampera Midi 32LED WW 350mA 003A0,Ampera Midi 32LED WW 350mA 003A0,20180308000000,20180308000000,LED 36W 3000K 4800lm
001 000523,2500 1xPLL24 E,,20041201000000,20170329000000,310024 PL-L 24W/830 4P MASTER
001 000531,Axia 2.1 WW 5187 8 led 480mA 1400lm,,20200608000000,20200608000000,LED 13W 3000K 1400lm
001 000558,LIBRA 1xPLL24 E RAL9007,,20120815000000,20201116000000,310024 PL-L 24W/830 4P MASTER
001 000566,2500 1xPLL24 E,,20041201000000,20170328000000,310024 PL-L 24W/830 4P MASTER
001 000574,KFK 1xPLL18/24 E,,20120222000000,20201217000000,310024 PL-L 24W/830 4P MASTER
001 000582,KFK LED2WELL 1600lm overeenkomst,,20200615000000,20200615000000,LED 13W 3000K 1600lm
001 000590,2500 1xPLL24 E,,20090815000000,20151214000000,320024 PL-L 24W/840 4P MASTER
001 000604,KFK 1xPLL18/24 E,,20101212000000,20160211000000,310024 PL-L 24W/830 4P MASTER
001 000612,KFK LED2WELL 1600lm,,20141201000000,20141201000000,LED 15W 3000K 1600lm
001 000620,LIBRA 1xPLL24 E RAL9007,,20120620000000,20201106000000,310024 PL-L 24W/830 4P MASTER
001 000639,KFK 1xPLL18/24 E,,20101212000000,20160201000000,310024 PL-L 24W/830 4P MASTER
001 000647,SGS253 CR GB SONT70,SGS253 CR GB SONT70,20120815000000,20191106000000,220070 CDO-TT 070W/828 MASTER
001 000655,LIBRA 1xPLL24 E RAL9007,,20140401000000,20201202000000,310024 PL-L 24W/830 4P MASTER
001 000663,ALURA 1696 1xPLL 24 E,,20101001000000,20201110000000,310024 PL-L 24W/830 4P MASTER
001 000671,LIBRA 1xPLL36 E RAL9007,,20120509000000,20170317000000,310036 PL-L 36W/830 4P MASTER
001 000698,Pro-Vision mini 12 led 3000k,,20160907000000,20160907000000,LED 15W 3000K 1600lm
001 000701,ALBANY Maxi 5068 sym 24led 500mA WW RAL5004,ALBANY Maxi 5068 sym 24led 500mA WW RAL5004,20170801000000,20170801000000,LED 38W 3000K 4500lm - 3600lm
001 000728,2500 1xPLL24 E,,20090707000000,20201214000000,310024 PL-L 24W/830 4P MASTER
001 000736,KFK 1xPLL18/24 E,,20090615000000,20201214000000,310024 PL-L 24W/830 4P MASTER
001 000744,Furyo 1 CPO-TW 60W Dimbaar,,20170905000000,20170905000000,260060 CPO-TW 060W/728 MASTER
001 000760,2500 1xPLL55 E,,20080313000000,20170325000000,310055 PL-L 55W/830 4P MASTER
001 000779,2500 1xPLL24 E,,20090615000000,20170327000000,310024 PL-L 24W/830 4P MASTER
001 000795,Axia 2.1 WW 5167 8 led 690mA 2000lm,,20190716000000,20190716000000,LED 18W 3000K 2000lm
001 000809,2500 1xPLL24 E,,20090707000000,20201214000000,310024 PL-L 24W/830 4P MASTER
001 000817,LIBRA 24LED WW RAL9007,,20161201000000,20161201000000,LED 24W 3000K 2650lm
001 000825,2500 1xPLL24 E,,20091119000000,20170327000000,310024 PL-L 24W/830 4P MASTER
001 000833,KFK 1xPLL18/24 E,,20140301000000,20170330000000,310024 PL-L 24W/830 4P MASTER
001 000841,2500 1xPLL24 E,,20001201000000,20170323000000,310024 PL-L 24W/830 4P MASTER
001 000868,RMB 1xPLL 24W E,,20070730000000,20201204000000,310024 PL-L 24W/830 4P MASTER
001 000876,2500 1xPLL24 E,,20090615000000,20170327000000,310024 PL-L 24W/830 4P MASTER
001 000884,2500 1xPLL36 E,,20020101000000,20191216000000,310036 PL-L 36W/830 4P MASTER
001 000892,LIBRA 1xPLL24 E RAL9007,,20150924000000,20150924000000,310024 PL-L 24W/830 4P MASTER
001 000906,2500 1xPLL24 E,,20090615000000,20170324000000,310024 PL-L 24W/830 4P MASTER
001 000914,KFK 1xPLL18/24 E,,20090707000000,20201214000000,310024 PL-L 24W/830 4P MASTER
001 000922,KFK LED2WELL 1600lm,,20140414000000,20140414000000,LED 15W 4000K 1600lm
001 000930,KFK 1xPLL18/24 E,,20101129000000,20201111000000,310024 PL-L 24W/830 4P MASTER
001 000949,KFK LED2WELL 1600lm,,20181015000000,20181015000000,LED 15W 3000K 1600lm
001 000957,KFK 1xPLL18/24 E,,20140711000000,20170322000000,310024 PL-L 24W/830 4P MASTER
001 000965,2500 1xPLL24 E,,20041201000000,20170329000000,310024 PL-L 24W/830 4P MASTER
001 000973,KFK 1xPLL18/24 E,,20160701000000,20201112000000,310024 PL-L 24W/830 4P MASTER
001 000981,RMB 1xPLL 24W E,,19991001000000,20201204000000,310024 PL-L 24W/830 4P MASTER
001 001007,KFK 1xPLL18/24 E,,20130401000000,20201117000000,310024 PL-L 24W/830 4P MASTER
001 001015,RMB 1xPLL 24W E,,20030701000000,20201116000000,310024 PL-L 24W/830 4P MASTER
001 001023,KFK 1xPLL18/24 E,,20101212000000,20160208000000,310024 PL-L 24W/830 4P MASTER
001 001031,KFK 1xPLL18/24 E,,20090707000000,20201214000000,310024 PL-L 24W/830 4P MASTER
001 001058,BRISA LC-N 2750lm 3000k CLO * Ral 9007,,20181203000000,20181203000000,LED 26W 3000K 2750lm
001 001066,KFK 1xPLL18/24 E,,20160701000000,20201208000000,310024 PL-L 24W/830 4P MASTER
001 001090,KFK LED2WELL 1600lm,,20160715000000,20160715000000,LED 15W 3000K 1600lm
001 001112,Furyo 2 24 led 5098 WW 500mA,,20201013000000,20201013000000,LED 40W 3000K 5000lm
001 001120,KFK LED2WELL 1600lm,,20180214000000,20180214000000,LED 15W 3000K 1600lm
001 001147,2500 1xPLL36 E,,20000701000000,20180619000000,310036 PL-L 36W/830 4P MASTER
001 001155,LIBRA 24LED WW RAL9007,,20161201000000,20161201000000,LED 24W 3000K 2650lm
001 001171,LIBRA 1xPLL24 E RAL9007,,20140401000000,20201117000000,310024 PL-L 24W/830 4P MASTER
001 001198,KFK LED2WELL 2500lm,,20180827000000,20180827000000,LED 25W 3000K 2500lm
001 001201,KFK LED2WELL 1800lm overeenkomst,,20190521000000,20190521000000,LED 16W 3000K 1800lm
001 001228,LIBRA 1xPLL24 E RAL9007,,20120815000000,20201117000000,310024 PL-L 24W/830 4P MASTER
001 001236,KFK 1xPLL18/24 E,,20101212000000,20160208000000,310024 PL-L 24W/830 4P MASTER
001 001252,KFK 1xPLL18/24 E,,20100301000000,20170329000000,310024 PL-L 24W/830 4P MASTER
001 001260,2500 1xPLL24 E,,20000501000000,20160115000000,310024 PL-L 24W/830 4P MASTER
001 001279,2550 1xPLL18/24 Iris,,20141201000000,20201204000000,310024 PL-L 24W/830 4P MASTER
001 001287,2500 1xPLL24 E,,19990901000000,20201111000000,310024 PL-L 24W/830 4P MASTER
001 001295,Pro-Vision mini 12 led 3000k,,20160914000000,20160914000000,LED 12W 3000K 1250lm
001 001317,2500 1xPLL24 E,,20020601000000,20180717000000,310024 PL-L 24W/830 4P MASTER
001 001325,Pro-Vision mini 12 led 3000k,,20181213000000,20181213000000,LED 16W 3000K 2000lm
001 001333,ALTRA-3 1xPLL 55 E,,20041101000000,20201201000000,310055 PL-L 55W/830 4P MASTER
001 001341,BGP630 GRN 2800/NW PSD IP65 .... D9 SRG10 350mA,,20120509000000,20120509000000,LED 27W 4000K 2800lm
001 001368,KFK 1xPLL18/24 E,,20150901000000,20150901000000,310024 PL-L 24W/830 4P MASTER
001 001376,2550 1xPLL18/24 Iris,,20140901000000,20201120000000,310024 PL-L 24W/830 4P MASTER
001 001384,Pro-Vision mini 12 led 3000k,,20160808000000,20110706000000,LED 12W 3000K 1250lm
001 001392,KFK 1xPLL18/24 E,,20090615000000,20170406000000,310024 PL-L 24W/830 4P MASTER
001 001406,KFK LED2WELL 1800lm,,20110916000000,20110916000000,LED 25W 4000K 1800lm
001 001414,KFK LED2WELL 1600lm overeenkomst,,20210302000000,20210302000000,LED 15W 3000K 1600lm
001 001422,KFK 1xPLL18/24 E,,20101212000000,20160208000000,310024 PL-L 24W/830 4P MASTER
001 001430,KFK LED2WELL 1600lm,,20141201000000,20141201000000,LED 15W 3000K 1600lm
001 001449,PRT 1xPLL24W E D60 RAL6009,,20090615000000,20201117000000,310024 PL-L 24W/830 4P MASTER
001 001465,BGP630 GRN 2800/NW PSD IP65 .... D9 SRG10 350mA,,20120509000000,20120509000000,LED 27W 4000K 2800lm
001 001473,KFK LED2WELL 1050lm,,20200424000000,20200424000000,LED 09W 3000K 1050lm
001 001481,LIBRA 1xPLL24 E RAL9007,,20141201000000,20201208000000,310024 PL-L 24W/830 4P MASTER
001 001503,2500 1xPLL24 E,,20090707000000,20201210000000,310024 PL-L 24W/830 4P MASTER
001 001511,KFK 1xPLL18/24 E,,20160826000000,20160816000000,310024 PL-L 24W/830 4P MASTER
001 001538,2550 1xPLL18/24 Iris,,20140401000000,20201119000000,310024 PL-L 24W/830 4P MASTER
001 001546,2000 1xPLL24 C,,20100301000000,20170406000000,310024 PL-L 24W/830 4P MASTER
001 001554,LIBRA 1xPLL24 E RAL9007,,20140401000000,20201120000000,310024 PL-L 24W/830 4P MASTER
001 001562,KFK 1xPLL18/24 E,,20160913000000,20160913000000,310024 PL-L 24W/830 4P MASTER
001 001570,KFK LED2WELL 1500lm,,20171109000000,20171109000000,LED 13W 3000K 1500lm
001 001589,KFK LED2WELL 1600lm,,20160701000000,20160701000000,LED 15W 3000K 1600lm
001 001597,KFK 1xPLL18/24 E,,20150901000000,20170330000000,310024 PL-L 24W/830 4P MASTER
001 001600,NRB 305 SOX 90W,,19880601000000,20151208000000,SOX 055W
001 001619,KFK LED2WELL 1800lm overeenkomst,,20190808000000,20190808000000,LED 16W 3000K 1800lm
