cluster;gemcode;gemnaam;jaar;lbm9802;lbm9806;lbm9808;lbm9812;lbm0206;lbm0208;lbm0212;lbm0608;lbm0612;lbm0812;lbm1012
398020001;3;Appingedam;2002;3; ; ; ; ; ; ; ; ; ; 
398020002;3;Appingedam;2002;3; ; ; ; ; ; ; ; ; ; 
398020003;3;Appingedam;2002;3; ; ; ; ; ; ; ; ; ; 
398020004;3;Appingedam;2002;3; ; ; ; ; ; ; ; ; ; 
398020005;3;Appingedam;2002;3; ; ; ; ; ; ; ; ; ; 
398020006;3;Appingedam;2002;4; ; ; ; ; ; ; ; ; ; 
398020007;3;Appingedam;2002;4; ; ; ; ; ; ; ; ; ; 
398020008;3;Appingedam;2002;4; ; ; ; ; ; ; ; ; ; 
398020009;3;Appingedam;2002;4; ; ; ; ; ; ; ; ; ; 
398020010;3;Appingedam;2002;4; ; ; ; ; ; ; ; ; ; 
398020011;3;Appingedam;2002;4; ; ; ; ; ; ; ; ; ; 
398020012;3;Appingedam;2002;4; ; ; ; ; ; ; ; ; ; 
398020013;3;Appingedam;2002;4; ; ; ; ; ; ; ; ; ; 
398020014;3;Appingedam;2002;5; ; ; ; ; ; ; ; ; ; 
398020015;3;Appingedam;2002;5; ; ; ; ; ; ; ; ; ; 
398020016;3;Appingedam;2002;5; ; ; ; ; ; ; ; ; ; 
598020001;5;Bedum;2002;3; ; ; ; ; ; ; ; ; ; 
598020002;5;Bedum;2002;3; ; ; ; ; ; ; ; ; ; 
598020003;5;Bedum;2002;3; ; ; ; ; ; ; ; ; ; 
598020004;5;Bedum;2002;3; ; ; ; ; ; ; ; ; ; 
598020005;5;Bedum;2002;3; ; ; ; ; ; ; ; ; ; 
598020006;5;Bedum;2002;4; ; ; ; ; ; ; ; ; ; 
598020007;5;Bedum;2002;4; ; ; ; ; ; ; ; ; ; 
598020008;5;Bedum;2002;4; ; ; ; ; ; ; ; ; ; 
598020009;5;Bedum;2002;4; ; ; ; ; ; ; ; ; ; 
598020010;5;Bedum;2002;4; ; ; ; ; ; ; ; ; ; 
598020011;5;Bedum;2002;4; ; ; ; ; ; ; ; ; ; 
598020012;5;Bedum;2002;4; ; ; ; ; ; ; ; ; ; 
598020013;5;Bedum;2002;4; ; ; ; ; ; ; ; ; ; 
598020014;5;Bedum;2002;4; ; ; ; ; ; ; ; ; ; 
598020015;5;Bedum;2002;4; ; ; ; ; ; ; ; ; ; 
598020016;5;Bedum;2002;4; ; ; ; ; ; ; ; ; ; 
598020017;5;Bedum;2002;5; ; ; ; ; ; ; ; ; ; 
798020001;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020002;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020003;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020004;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020005;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020006;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020007;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020008;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020009;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020010;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020011;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020012;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020013;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020014;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020015;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020016;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020017;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020018;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020019;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
798020020;7;Bellingwedde;2002;3; ; ; ; ; ; ; ; ; ; 
