FID,soort_gebied,gebied_oms,uitleg_apv,geometrie
O10002_Hondenuitlaatkaart.1,Losloopgebied,Honden mogen loslopen. Uitwerpselen mogen blijven liggen m.u.v. op verhardingen.,Uitwerking van artikel 2:57 APV Loslopende honden en verboden plaatsen en artikel 2:58 APV Verontreiniging door honden.,"MULTIPOLYGON (((171859.899 509362.109, 171877.143 509365.623, 171875.582 509373.016, 171874.909 509375.54, 171873.647 509377.643, 171871.713 509379.325, 171869.105 509380.334, 171867.17 509380.334, 171865.411 509380.17, 171845.466 509375.59, 171825.616 509370.929, 171806.658 509366.551, 171801.138 509365.109, 171794.325 509362.67, 171787.46 509359.567, 171782.801 509357.202, 171778.366 509354.561, 171770.689 509349.693, 171753.865 509338.78, 171752.603 509337.266, 171751.593 509335.752, 171751.173 509333.313, 171751.173 509331.294, 171751.93 509329.107, 171753.043 509327.427, 171754.243 509325.522, 171758.436 509318.864, 171759.753 509316.994, 171761.661 509318.196, 171772.58 509325.09, 171775.989 509330.734, 171780.514 509340.892, 171781.108 509344.212, 171824.24 509354, 171859.899 509362.109)))"
O10002_Hondenuitlaatkaart.2,Kinderspeelplaats,"Honden, m.u.v. geleidehonden, zijn verboden op kinderspeelplaats / schoolplein / speelveld en in aangewezen gebied.",Uitwerking van artikel 2:57 APV Loslopende honden en verboden plaatsen en artikel 2:58 APV Verontreiniging door honden.,"MULTIPOLYGON (((172127.859 509235.663, 172127.177 509236.294, 172122.265 509228.623, 172132.686 509221.837, 172136.565 509221.476, 172140.79 509226.839, 172134.294 509231.528, 172127.859 509235.663)))"
O10002_Hondenuitlaatkaart.3,Kinderspeelplaats,"Honden, m.u.v. geleidehonden, zijn verboden op kinderspeelplaats / schoolplein / speelveld en in aangewezen gebied.",Uitwerking van artikel 2:57 APV Loslopende honden en verboden plaatsen en artikel 2:58 APV Verontreiniging door honden.,"MULTIPOLYGON (((171705.692 509207.248, 171704.436 509208.727, 171691.957 509200.852, 171695.165 509195.775, 171703.622 509182.474, 171714.029 509188.999, 171716.102 509190.714, 171705.692 509207.248)))"
O10002_Hondenuitlaatkaart.4,Kinderspeelplaats,"Honden, m.u.v. geleidehonden, zijn verboden op kinderspeelplaats / schoolplein / speelveld en in aangewezen gebied.",Uitwerking van artikel 2:57 APV Loslopende honden en verboden plaatsen en artikel 2:58 APV Verontreiniging door honden.,"MULTIPOLYGON (((171894.295 508765.696, 171896.27 508758.605, 171898.984 508751.484, 171901.942 508745.399, 171906.137 508738.466, 171907.711 508735.954, 171908.372 508736.709, 171932.687 508722.691, 171929.679 508734.283, 171926.681 508741.72, 171924.882 508745.341, 171923.349 508748.098, 171921.377 508751.299, 171894.295 508765.696)))"
O10002_Hondenuitlaatkaart.5,Kinderspeelplaats,"Honden, m.u.v. geleidehonden, zijn verboden op kinderspeelplaats / schoolplein / speelveld en in aangewezen gebied.",Uitwerking van artikel 2:57 APV Loslopende honden en verboden plaatsen en artikel 2:58 APV Verontreiniging door honden.,"MULTIPOLYGON (((171975.376 508845.979, 171970.838 508849.471, 171959.292 508847.139, 171947.051 508844.472, 171936.662 508840.39, 171932.01 508838.075, 171923.606 508832.808, 171939.093 508822.482, 171949.858 508813.658, 171960.709 508802.658, 171967.421 508794.438, 171975.558 508782.452, 171983.019 508768.754, 171987.407 508758.464, 171991.25 508746.85, 171993.528 508737.614, 171995.535 508734.27, 172000.181 508730.68, 172002.979 508727.571, 172003.417 508725.179, 172002.821 508722.806, 172001.444 508719.426, 172008.548 508708.406, 172009.883 508708.099, 172042.61 508729.094, 172044.896 508732.003, 172041.137 508738.828, 172026.884 508760.949, 172027.894 508762.209, 172012.976 508786.517, 171998.427 508816.336, 171994.553 508825.85, 171989.778 508832.669, 171984.347 508838.657, 171981.91 508841.38, 171979.904 508843.078, 171975.376 508845.979)))"
O10002_Hondenuitlaatkaart.6,Kinderspeelplaats,"Honden, m.u.v. geleidehonden, zijn verboden op kinderspeelplaats / schoolplein / speelveld en in aangewezen gebied.",Uitwerking van artikel 2:57 APV Loslopende honden en verboden plaatsen en artikel 2:58 APV Verontreiniging door honden.,"MULTIPOLYGON (((172171.69 508256.954, 172127.739 508281.413, 172122.312 508284.762, 172118.135 508287.791, 172082.359 508311.892, 172077.969 508314.671, 172072.494 508318.615, 172033.81 508349.927, 172025.477 508337.508, 172069.319 508313.225, 172074.746 508309.87, 172079.037 508306.807, 172119.083 508279.951, 172125.053 508275.714, 172163.415 508244.625, 172171.69 508256.954)))"
O10002_Hondenuitlaatkaart.7,Losloopgebied,Honden mogen loslopen. Uitwerpselen mogen blijven liggen m.u.v. op verhardingen.,Uitwerking van artikel 2:57 APV Loslopende honden en verboden plaatsen en artikel 2:58 APV Verontreiniging door honden.,"MULTIPOLYGON (((175980.662 505380.377, 175990.282 505390.67, 175993.125 505394.217, 176000.227 505404.09, 176002.854 505408.962, 176004.91 505413.222, 176007.114 505418.704, 176008.58 505422.71, 176009.55 505426.148, 176010.099 505428.285, 176010.364 505429.506, 176010.873 505432.069, 176011.104 505433.709, 176012.221 505442.783, 176012.875 505448.952, 176013.791 505457.488, 176013.873 505458.258, 176013.884 505458.356, 176014.002 505458.754, 176014.175 505459.24, 176014.417 505459.827, 176014.652 505460.326, 176014.752 505460.519, 176015.116 505461.166, 176015.448 505461.672, 176015.75 505462.104, 176016.045 505462.471, 176016.215 505462.703, 176016.457 505463.095, 176016.689 505463.568, 176016.849 505464.007, 176016.935 505464.343, 176017.024 505464.842, 176017.047 505465.123, 176017.051 505465.431, 176017.047 505465.689, 176017.01 505466.066, 176016.941 505466.434, 176016.848 505466.797, 176016.691 505467.245, 176016.533 505467.579, 176016.333 505467.935, 176015.964 505468.702, 176015.82 505469.067, 176015.647 505469.567, 176015.502 505470.173, 176015.387 505470.769, 176015.31 505471.474, 176015.316 505472.545, 176010.402 505472.964, 176004.656 505473.576, 176001.693 505453.544, 176001.312 505448.005, 176001.115 505445, 176000.523 505439.641, 175999.488 505434.06, 175998.564 505430.438, 175997.234 505426.04, 175995.201 505420.57, 175992.725 505415.137, 175989.509 505409.482, 175987.213 505405.955, 175972.131 505386.712, 175965.852 505380.019, 175966.364 505379.723, 175970.391 505376.039, 175973.869 505372.991, 175974.19 505373.24, 175974.954 505374.099, 175980.662 505380.377)))"
O10002_Hondenuitlaatkaart.8,Losloopgebied,Honden mogen loslopen. Uitwerpselen mogen blijven liggen m.u.v. op verhardingen.,Uitwerking van artikel 2:57 APV Loslopende honden en verboden plaatsen en artikel 2:58 APV Verontreiniging door honden.,"MULTIPOLYGON (((175368.917 505887.324, 175367.122 505885.606, 175366.275 505883.904, 175364.821 505884.608, 175328.845 505813.151, 175336.215 505809.385, 175374.594 505885.571, 175371.299 505887.202, 175368.917 505887.324)))"
O10002_Hondenuitlaatkaart.9,Losloopgebied,Honden mogen loslopen. Uitwerpselen mogen blijven liggen m.u.v. op verhardingen.,Uitwerking van artikel 2:57 APV Loslopende honden en verboden plaatsen en artikel 2:58 APV Verontreiniging door honden.,"MULTIPOLYGON (((176074.868 505656.534, 176034.037 505675.411, 176001.092 505691.5, 175977.633 505703.651, 175966.013 505707.873, 175962.007 505701.665, 176012.46 505677.468, 176059.213 505654.987, 176098.186 505637.253, 176135.243 505620.39, 176177.358 505601.701, 176212.197 505586.836, 176266.309 505564.283, 176340.499 505534.92, 176385.614 505518.112, 176423.764 505504.135, 176446.298 505495.156, 176459.321 505487.2, 176470.866 505478.047, 176486.238 505466.561, 176502.164 505458.929, 176517.258 505454.823, 176539.588 505449.302, 176550.573 505446.765, 176556.246 505448.303, 176566.387 505453.28, 176569.123 505456.557, 176564.563 505463.285, 176476.054 505493.442, 176410.256 505516.923, 176294.898 505560.51, 176250.467 505579.355, 176190.649 505603.894, 176126.866 505632.66, 176074.868 505656.534)))"
O10002_Hondenuitlaatkaart.10,Losloopgebied,Honden mogen loslopen. Uitwerpselen mogen blijven liggen m.u.v. op verhardingen.,Uitwerking van artikel 2:57 APV Loslopende honden en verboden plaatsen en artikel 2:58 APV Verontreiniging door honden.,"MULTIPOLYGON (((177098.909 504084.5, 177111.027 504084.443, 177114.879 504084.303, 177124.79 504083.777, 177131.437 504083.207, 177136.758 504082.717, 177138.729 504082.47, 177138.799 504082.91, 177147.699 504081.95, 177149.456 504081.934, 177150.598 504082.237, 177151.297 504082.47, 177152.369 504083.053, 177153.115 504083.612, 177154.249 504084.79, 177163.134 504091.373, 177164.272 504092.215, 177165.198 504093.19, 177165.898 504093.9, 177166.55 504094.814, 177167.045 504095.755, 177167.338 504096.67, 177167.639 504097.88, 177168.12 504100.013, 177169.779 504106.897, 177172.079 504116.63, 177152.969 504117.94, 177119.439 504121.25, 177108.589 504122.19, 177006.435 504130.452, 177001.449 504129.06, 176905.879 504099.28, 176855.199 504083.59, 176848.449 504081.66, 176842.699 504078.88, 176712.749 504038.31, 176703.829 504035.19, 176684.059 504029.13, 176693.864 503997.473, 176694.659 503994.91, 176706.669 503987.75, 176708.079 503983.44, 176710.699 503984.13, 176717.799 503985.34, 176727.059 503986.97, 176729.846 503987.533, 176732.718 503988.339, 176736.129 503989.38, 176908.308 504043.439, 176917.719 504046.31, 176994.159 504070.159, 177007.3 504073.549, 177019.738 504076.334, 177023.147 504077.054, 177034.864 504079.167, 177046.199 504080.88, 177057.079 504082.23, 177066.864 504083.135, 177072.677 504083.604, 177079.824 504084.038, 177088.581 504084.373, 177098.909 504084.5)))"
