FID,dtb_id,objecttekst,datummutatie,datumopname,muteerder,status,objectcode,datuminwin,inwinner,oudedbwaarde,soort,type,aantal,datumaanleg,faunavoorziening,niveau,hyperlink,onderhouder,beheerder,eigenaar,tekening,doelsoort,photo,gisobjid,systeemdeel,beheerobject,element,bouwdeel,datum_vervallen,se_anno_cad_data,lengte,st_length_shape_,gdb_geomattr_data,shape
groen_lijnen.1,,,,,,,,,,,,Talud(bovenkant),,,,,,RWS,RWS,RWS,,,,41163905,,,ov,,,,,,,"LINESTRING (252536.25699999928 473870.8539999984, 252505.48699999973 473880.875, 252483.68499999866 473887.4140000008, 252449.686999999 473896.1799999997, 252421.19900000095 473903.6810000017, 252391.63899999857 473910.93400000036, 252360.0080000013 473918.3509999998, 252345.54899999872 473921.8680000007, 252315.16699999943 473928.43200000003, 252298.59899999946 473931.9699999988, 252282.72199999914 473935.0529999994, 252268.1490000002 473938.1220000014, 252253.58399999887 473941.6550000012, 252252.88500000164 473941.8530000001, 252232.83300000057 473944.1889999993, 252215.19700000063 473946.93400000036, 252201.09699999914 473949.2569999993, 252189.02100000158 473950.4439999983, 252179.09899999946 473951.8029999994, 252164.1009999998 473954.6719999984, 252143.13500000164 473959.5210000016, 252114.61899999902 473964.5540000014, 252087.0080000013 473969.30000000075, 252060.0859999992 473973.5460000001, 252045.8200000003 473976.1000000015, 252040.07349999994 473977.5491000004, 252011.99670000002 473981.42720000073, 251992.99269999936 473983.37049999833, 251983.23220000044 473983.4919000007, 251973.61230000108 473983.27219999954, 251965.66299999878 473982.1099999994, 251965.02800000086 473981.87000000104)"
groen_lijnen.2,,,,,,,,,,,,Talud(bovenkant),,,,,,RWS,RWS,RWS,,,,41163502,,,ov,,,,,,,"LINESTRING (254917.07770000026 471994.60920000076, 254916.77369999886 471994.62110000104, 254916.3751000017 471994.741799999, 254912.92500000075 471998.3669999987, 254898.89600000158 472012.22199999914, 254884.70800000057 472026.36100000143, 254866.80099999905 472043.59899999946, 254857.36800000072 472052.9279999994, 254857.03799999878 472053.3500000015, 254856.82499999925 472053.98000000045, 254857.09299999848 472054.34699999914, 254857.74599999934 472054.4299999997, 254859.4149999991 472052.87099999934, 254868.96400000155 472043.46499999985, 254892.83100000024 472020.68200000003, 254905.65100000054 472007.86400000006, 254915.11899999902 471998.381000001, 254917.61450000107 471995.66259999946, 254917.6570999995 471995.3579000011, 254917.47940000147 471994.9001000002, 254917.27320000157 471994.6534000002, 254917.07770000026 471994.60920000076)"
groen_lijnen.3,,,,,,,,,,,,Talud(bovenkant),,,,,,RWS,RWS,RWS,,,,41159923,,,ov,,,,,,,"LINESTRING (250161.26799999923 474284.3029999994, 250160.65399999917 474284.6330000013, 250158.16099999845 474285.2729999982, 250152.80799999833 474286.20600000024, 250127.4149999991 474290.59899999946, 250085.17799999937 474297.3779999986, 250038.90199999884 474305.0020000003, 250000 474311.1499999985)"
groen_lijnen.4,,,,,,,,,,,,Talud(bovenkant),,,,,,RWS,RWS,RWS,,,,41163394,,,ov,,,,,,,"LINESTRING (250838.14539999887 474163.69299999997, 250838.46840000153 474169.5810999982, 250838.6057999991 474174.11620000005, 250838.55209999904 474174.5995000005, 250838.45329999924 474174.8933000006, 250838.19110000134 474175.17350000143, 250837.8638000004 474175.3751000017, 250836.8110000007 474175.685800001, 250823.54080000147 474177.7584999986, 250809.1004000008 474180.06969999894, 250794.3914999999 474182.5956999995, 250788.17440000176 474183.72150000185, 250786.48059999943 474184.2329000011, 250785.08060000092 474184.7195999995, 250783.74010000005 474185.18560000136, 250779.48099999875 474187.05530000106, 250777.86400000006 474187.88599999994, 250777.0656999983 474188.47370000184, 250778.41070000082 474192.0502000004)"
groen_lijnen.5,,,,,,,,,,,,Talud(bovenkant),,,,,,RWS,RWS,RWS,,,,41163205,,,ov,,,,,,,"LINESTRING (251569.08199999854 474143.7980000004, 251567.76000000164 474143.1429999992, 251566.23299999908 474142.59099999815, 251562.39299999923 474140.9600000009, 251559.5460000001 474139.4070000015, 251556.26099999994 474139.2509999983, 251549.30999999866 474140.1079999991, 251524.40100000054 474144.02699999884, 251498.62200000137 474148.41899999976, 251472.84299999848 474152.8110000007, 251453.7340000011 474156.3029999994)"
groen_lijnen.6,,,,,,,,,,,,Talud(bovenkant),,,,,,RWS,RWS,RWS,,,,41161482,,,ov,,,,,,,"LINESTRING (251502.3449999988 474076.1889999993, 251505.14330000058 474075.4241000004, 251511.27120000124 474073.14460000023, 251519.04459999874 474070.5775000006, 251530.2512000017 474067.0480999984, 251539.69449999928 474063.93510000035, 251548.05710000172 474060.82990000024, 251558.05559999868 474056.873300001, 251566.95160000026 474052.40790000185, 251578.73059999943 474046.72569999844, 251585.76999999955 474043.45899999887, 251586.81280000135 474043.0078999996, 251593.09899999946 474040.2886000015, 251594.4990000017 474039.68299999833, 251600.20540000126 474037.03069999814, 251607.34409999847 474034.12889999896, 251613.11789999902 474032.0742000006, 251619.0720999986 474029.59589999914, 251626.46180000156 474026.8038999997, 251633.7259999998 474024.4433999993, 251640.22140000015 474022.7338999994, 251652.66310000047 474019.43239999935, 251668.28959999979 474015.9822999984, 251693.3392000012 474009.77529999986, 251697.61549999937 474008.6154999994, 251700.0865000002 474008.3999999985, 251701.0212999992 474008.50459999964, 251702.09329999983 474008.7074000016, 251702.88430000097 474008.9166000001, 251703.79949999973 474009.3546999991, 251704.60350000113 474009.80579999834, 251705.4924999997 474010.64919999987, 251706.440200001 474011.86520000175, 251707.85200000182 474014.368999999)"
groen_lijnen.7,,,,,,,,,,,,Talud(bovenkant),,,,,,RWS,RWS,RWS,,,,41160696,,,ov,,,,,,,"LINESTRING (251708.08940000087 474098.7903999984, 251705.0780000016 474102.9360000007, 251701.65480000153 474107.2644999996, 251698.05779999867 474110.9433000013, 251693.8751000017 474113.44139999896, 251689.95800000057 474115.2804999985, 251682.53550000116 474118.30000000075, 251678.0326000005 474119.45270000026, 251670.9763999991 474120.8797999993, 251654.8962999992 474123.53240000084, 251643.9459999986 474125.63599999994, 251635.4070999995 474127.09420000017, 251611.24049999937 474130.5304999985, 251593.48820000142 474133.22740000114, 251581.1330000013 474135.14820000157, 251578.48149999976 474135.38329999894, 251577.10090000182 474135.65769999847, 251575.59470000118 474136.253800001, 251574.44150000066 474136.95969999954, 251573.35880000144 474137.85390000045, 251572.4802000001 474139.0069000013, 251572.11919999868 474139.9560999982, 251572.10350000113 474140.45809999853, 251572.12099999934 474143.15900000185)"
groen_lijnen.8,,,,,,,,,,,,Talud(bovenkant),,,,,,RWS,RWS,RWS,,,,41160883,,,ov,,,,,,,"LINESTRING (251714.38599999994 474087.5450000018, 251714.89799999818 474084.74599999934)"
groen_lijnen.9,,,,,,,,,,,,Talud(bovenkant),,,,,,RWS,RWS,RWS,,,,41163601,,,ov,,,,,,,"LINESTRING (251764.0709999986 473994.3979999982, 251763.80999999866 473993.04300000146, 251764.14799999818 473991.91800000146, 251765.56599999964 473990.7719999999, 251769.94000000134 473989.38800000027, 251801.89499999955 473984.35350000113, 251833.8500000015 473979.3189999983)"
groen_lijnen.10,,,,,,,,,,,,Talud(bovenkant),,,,,,RWS,RWS,RWS,,,,41160407,,,ov,,,,,,,"LINESTRING (251862.00299999863 474108.00499999896, 251904.58799999952 474098.1779999994, 251916.2190000005 474095.2809999995, 251965.16200000048 474086.6620000005, 251983.92300000042 474083.6281000003, 252004.63069999963 474079.35599999875, 252017.83680000156 474076.18250000104, 252028.39620000124 474073.7243000008, 252037.26370000094 474071.72839999944, 252075.01000000164 474065.8000999987, 252112.75620000064 474059.8718000017, 252157.24709999934 474052.26480000094, 252167.79789999872 474050.12139999866, 252186.65359999985 474047.1398999989, 252199.6248999983 474045.2842000015, 252206.06670000032 474043.90769999847, 252222.8968999982 474041.3865999989, 252239.46770000085 474040.054299999, 252239.54659999907 474040.0480000004, 252247.95289999992 474039.75250000134, 252260.20930000022 474040.45600000024, 252266.72320000082 474041.48209999874, 252276.69000000134 474044.5029999986)"
