Leverancier;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
TranQ;;;2;;;;;;;2
TRConsult B.V.;;;;;;1;;;;1
Tridata Holding B.V.;;;;;;1;;;;1
Triple I Human Capital;;;;;;1;;;;1
Tshukudu Technology College B.V.;;;;;;1;;;;1
UITGESPROKEN;;;;;;1;;;;1
Uitgeverij Kerckebosch B.V.;;;;;;1;;;;1
Uitjes & Eten B.V.;;;;1;;;;;;1
Uitjesbazen B.V.;;;;1;;;;;;1
Umami Restaurant Den Haag B.V.;;;;1;;;;;;1
Unieke Uitjes.nl;;;;1;;;;;;1
UP Events B.V.;;;;1;;;;;;1
UTS Abbink B.V.;;1;;;;;;;;1
V.O.F. CIR 'De Chinese Muur';;;;1;;;;;;1
V.O.F. de Palatijn;;;;1;;;;;;1
Van der Valk Hotel Den Haag B.V.;;;;1;;;;;;1
Van der Valk Verswinkel B.V.;;;;1;;;;;;1
Van der Velde IT support;;;;;;2;;;;2
Van Dokkum Belastingadvies B.V.;;;;;;;;1;;1
Van Eybergen Management Advies;;;;;;1;;;;1
Van Harte & Lingsma Management en Organisatie;;;;;;4;;;;4
Van Oosterhout B.V.;;;;;;2;;;;2
Van Oss & Partners B.V.;;;;;;1;;;;1
Van Zomeren CMC;;;1;;;;;;;1
VCA Nederland B.V.;;;;;;1;;;;1
VCK Travel B.V.;;;;;;;;;4;4
Veldhuis Opleidingsadvies;;;;;;1;;;;1
Ver. voor Klachtrecht in de publieke sector;;;;;;;;1;;1
Vereniging voor Arbeidsrecht;;;;;;;;1;;1
Vereniging voor Overheidsmanagement;;;;;;;;1;;1
Vijverberg Juristen I B.V.;;;;;;1;;;;1
Vincent Marchau;;;;;;1;;;;1
Vino & Cucina;;;;1;;;;;;1
VistaNova B.V.;;;;;;1;;;;1
VisuHil;;;;;;1;;;;1
VNSG Diensten B.V.;;;;;;1;;1;;1
Vranken Organisatie Training en Teamcoaching;;;;;;1;;;;1
VVV Business B.V.;;;;1;;;;;;1
Webo Promotion B.V.;;;;1;;;;;;1
Wereldbeeld B.V.;;;;;;1;;;;1
Werkleer.nl;;;;;;2;;;;2
Wesselink Van Zijst B.V.;;;;;;2;;;;2
Wijnkoperij de Gouden Ton V.O.F.;;;;1;;;;;;1
Wine Solutions;;;;1;;;;;;1
Winnock B.V.;;;1;;;;;;;1
Woordvoerders Etc. B.V.;;;;;;1;;;;1
Work21 B.V.;;;;;;1;;;;1
Worldmeetings.com B.V.;;;;;;1;1;;3;3
www.basboernoten.nl;;;;1;;;;;;1
YEARTH B.V.;;;;;;1;;;;1
Yellowbrick B.V.;;;;;;;;;1;1
Yilmaz Ticaret;;;;1;;;;;;1
Ym Interim, Advies & Coaching;;;;;;2;;;;2
Ynnovate;;;;;;1;;;;1
Yolk B.V.;;;;;;2;;;;2
YourGift Cards B.V.;;;;4;;;;;;4
YourSurprise.com;;;;1;;;;;;1
Zaakado B.V.;;;;1;;;;;;1
Zandhof B.V.;;;;1;;;;;;1
Zeno Organisatieontwikkeling B.V.;;;;;;1;;;;1
Zin in de Zaak;;;;2;;;;;;2
Zorg Innovaties Nederland B.V.;;;1;;;;;;;1
ZZIIN Den Haag;;;;1;;;;;;1
Eindtotaal;2;1;4;7;3;7;2;3;7;8
