;9304 - Aankoop onderzoeksmateriaal;9520 - BZK specifiek;9540 - EZ specifiek;9560 - I&M specifiek;Eindtotaal;
A B M HOFF;;;;2;2;
AutomotiveNL B.V.;;;1;;1;
Bizerba Nederland B.V.;;;2;;2;
Business Trading Leerdam B.V.;;;1;;1;
Cannock Factoring B.V.;;1;;;1;
Catom Petroleum Distribution Management;;;;1;1;
Chubb Fire & Security B.V.;;;1;;1;
Conrad Electronic Benelux B.V.;;;1;;1;
DEKRA Certification B.V.;;;1;;1;
DNV GL Netherlands B.V.;;;1;;1;
DuretTrip Notarissen N.V.;;;1;;1;
Eco-movement B.V.;1;;;;1;
Eegema B.V.;;;2;;2;
Effectory Holding B.V.;;;1;;1;
Exela Netherlands;;;7;;7;
Gerechtsdeurw.kant. de Best & Partners B.V.;;1;;;1;
GGN van Mastrigt & Partners;;1;;;1;
Grand Cafe Groningen;;;1;;1;
Heuvelman Sound & Vision B.V.;;;1;;1;
Holland Inbouw;;;1;;1;
Kalibra International B.V.;;;1;;1;
kommago.nl;;;1;;1;
Kwink Groep B.V.;;;3;;3;
LS Telcom AG;;;1;;1;
Lutel;;;3;;3;
Mitari Hijstechniek B.V.;;;1;;1;
Mooi Werk;;;1;;1;
Ned.Org.voor toegepast-nat.wetensch. o.z. TNO;;;6;;6;
Neo, Netherl. Geomat. & Earth Observat. B.V.;;;7;;7;
NMi Certin B.V.;;;1;;1;
Notariskantoor Adegeest B.V.;;;1;;1;
Notariskantoor Roerdalen;;;2;;2;
Protinus IT B.V.;;;1;;1;
Rogier Elshout;;;1;;1;
Rohde & Schwarz Benelux B.V.;;;4;;4;
Screenhouse B.V.;;;1;;1;
SHELL Nederland Raffinaderij B.V.;;;;1;1;
Stg. Bur. Commissie v.d. Mil.-Effectrapport.;;;4;;4;
Stg. Pens.fonds Benelux-Bur. Intell. Eigendom;;;1;;1;
Stichting Platform Bèta en Techniek;;;3;;3;
Stichting SEO Economisch Onderzoek;;;4;;4;
Stichting Videma;;;1;;1;
Technisch Ingenieursbureau E. Meurs B.V.;;;1;;1;
Teksam company NV;;;1;;1;
Telefonia Bonairia (Telbo) N.V.;;;2;;2;
Telepage B.V.;;;1;;1;
TMC Test & Integration B.V.;;;1;;1;
Top Systems B.V.;;;1;;1;
Transposafe Systems;;;1;;1;
TWS Technologies B.V.;;;1;;1;
Van Bergeijk Beheer B.V.;;;1;;1;
Van Swinden Laboratorium;;;1;;1;
VAT Business B.V.;;;5;;5;
Vee Technologies;;;1;;1;
Vereniging tot Behoud van Natuurmonumenten;;;1;;1;
Volker Wessels Telecom Infratechniek B.V.;;;1;;1;
Webfleet Solutions Sales B.V.;;;1;;1;
Eindtotaal;1;2;7;2;7;
