OBJECTID,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,GELDIG_VANAF,PUBLICATIEDATUM,Shape__Length,HECTOMETER
1,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,81.1226586965689,"34,3"
2,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,101.214720767288,"30,8"
3,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,63.1208622406253,"36,5"
4,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,137.257891379694,"31,7"
5,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,96.8621916848881,"30,7"
6,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,74.9599839714497,"23,5"
7,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,109.83273614911,"33,9"
8,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,55.7442673734259,"41,6"
9,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,96.1492802521163,"22,1"
10,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,87.8070969910747,"32,2"
11,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,60.083673872359,"40,8"
12,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,61.177650665909,"25,4"
13,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,69.351364081754,"26,8"
14,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,60.6296639113231,24
15,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,49.0288101120148,"24,4"
16,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,77.1390590103353,"21,6"
17,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,87.4497582443771,"21,9"
18,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.7063304925035,"39,8"
19,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,96.4684224604093,"26,9"
20,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,61.7241340562992,"24,9"
21,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,43.2456479660093,"40,1"
22,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,59.0238966012919,"24,6"
23,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,79.1926930467704,"28,2"
24,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,44.5016083417218,"41,3"
25,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,57.7677332946343,"38,5"
