FID,id,jaar,soortnaam_opname,soortnaam_uniform,datum,x,y,tijd,substraat,lengte__m_,breedte__m_,oppervlak__m2__1,naam_waterlichaam,deelwaterlichaam,waterlochaam_code,gdb_geomattr_data,shape
biezen_2012.601,"39,1",2012,Bolboschoenus maritimus,Bolboschoenus maritimus/laticarpus,2012-08-22T00:00:00,134468.394,415462.324,16:11:00,zetsteen,,,15,Bergsche Maas,,NL94_6,,POINT (134468.39400000125 415462.32400000095)
biezen_2012.426,"45,7",2012,Schoenoplectus lacustris,Schoenoplectus lacustris,2012-08-23T00:00:00,96294.675,412930.489,10:12:00,stortsteen,,,1,Haringvliet Oost,,NL94_1,,POINT (96294.67500000075 412930.48900000006)
biezen_2012.570,"24,1",2012,Bolboschoenus maritimus,Bolboschoenus maritimus/laticarpus,2012-08-22T00:00:00,112224.01,422114.016,,stortsteen,,,100,Dordtse Biesbosch,,NL94_2,,POINT (112224.01000000164 422114.0159999989)
biezen_2012.571,"24,1",2012,Bolboschoenus maritimus,Bolboschoenus maritimus/laticarpus,2012-08-22T00:00:00,112224.01,422114.016,,stortsteen,,,200,Dordtse Biesbosch,,NL94_2,,POINT (112224.01000000164 422114.0159999989)
biezen_2012.572,"24,2",2012,Bolboschoenus maritimus,Bolboschoenus maritimus/laticarpus,2012-08-22T00:00:00,112224.01,422114.016,,stortsteen,,,30,Dordtse Biesbosch,,NL94_2,,POINT (112224.01000000164 422114.0159999989)
biezen_2012.573,"24,2",2012,Bolboschoenus maritimus,Bolboschoenus maritimus/laticarpus,2012-08-22T00:00:00,112224.01,422114.016,,stortsteen,,,60,Dordtse Biesbosch,,NL94_2,,POINT (112224.01000000164 422114.0159999989)
biezen_2012.574,"25,1",2012,Bolboschoenus maritimus,Bolboschoenus maritimus/laticarpus,2012-08-22T00:00:00,113008.263,422494.023,,zand,,,60,Dordtse Biesbosch,,NL94_2,,POINT (113008.26300000027 422494.0229999982)
biezen_2012.575,"25,2",2012,Schoenoplectus lacustris,Schoenoplectus lacustris,2012-08-22T00:00:00,113008.263,422494.023,,zand,,,2,Dordtse Biesbosch,,NL94_2,,POINT (113008.26300000027 422494.0229999982)
biezen_2012.576,"26,1",2012,Schoenoplectus lacustris,Schoenoplectus lacustris,2012-08-22T00:00:00,118627.501,423634.143,12:37:00,stortsteen,,,10,Dordtse Biesbosch,,NL94_2,,POINT (118627.5009999983 423634.1429999992)
biezen_2012.577,"26,2",2012,Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,2012-08-22T00:00:00,118676.469,423622.353,12:37:00,slik,,,4,Dordtse Biesbosch,,NL94_2,,POINT (118676.4690000005 423622.3530000001)
