X,Y,OBJECTID,BEHEERCODE,SOORT_SPEELLOCATIE,EIGENAAR,BEHEERDER,LOCATIE_TYPE,LEEFTIJDSCATEGORIE,AFBEELDING,BUURTNAAM,WIJKNAAM,LAT,LON
5.84923418905061,51.9464139792794,1,06.24.S.4907.TV,Trapveld,Gem.Arnhem/Cluster Openbare Ruimte,Stadsdeel 6,Sportlocatie,alle leeftijden,06.24.S.4907.TV.jpg,Schuytgraaf-Zuid,Schuytgraaf,51.9464143,5.8492343
5.92494959941999,51.9534429607597,2,05.18.S.1503.PV,Pannaveld,Gem.Arnhem/Cluster Openbare Ruimte,Stadsdeel 5,Sportlocatie,alle leeftijden,05.18.S.1503.PV.jpg,'t Duifje,Malburgen-Oost (Zuid),51.9534432,5.9249496
5.94447484967117,52.0079205770218,3,03.11.S.5501.TV,Trapveld,Gem.Arnhem/Cluster Openbare Ruimte,Stadsdeel 3,Sportlocatie,alle leeftijden,03.11.S.5501.TV.jpg,Arnhemse Allee,Monnikenhuizen,52.0079206,5.9444749
5.8497115314568,51.9491863440833,4,06.24.S.4904.SP,Speelplek,Gem.Arnhem/Cluster Openbare Ruimte,Stadsdeel 6,Speellocatie,7-12 jaar,06.24.S.4904.SP.jpg,Schuytgraaf-Centrum,Schuytgraaf,51.9491867,5.8497116
5.92119094071238,51.9626763178861,5,05.17.S.8304.SP,Speelplek,Gem.Arnhem/Cluster Openbare Ruimte,Stadsdeel 5,Speellocatie,0-6 jaar,05.17.S.8304.SP.jpg,Kamillehof,Malburgen-Oost (Noord),51.9626765,5.9211909
5.87110716274751,51.9430547614574,6,06.22.S.9628.SP,Speelplek,Gem.Arnhem/Cluster Openbare Ruimte,Stadsdeel 6,Speellocatie,0-6 jaar,06.22.S.9628.SP.jpg,De Laar-Oost,De Laar,51.9430551,5.8711073
5.95189150325649,51.9760962580525,7,04.04.S.2504.TV,Trapveld,Gem.Arnhem/Cluster Openbare Ruimte,Stadsdeel 4,Sportlocatie,alle leeftijden,04.04.S.2504.TV.jpg,Presikhaaf III,Presikhaaf-West,51.9760964,5.9518915
5.86588321962716,51.9577164058432,8,06.21.S.9108.SP,Speelplek,Gem.Arnhem/Cluster Openbare Ruimte,Stadsdeel 6,Speellocatie,0-12 jaar,06.21.S.9108.SP.jpg,Elderveld-Zuid,Elderveld,51.9577167,5.8658833
5.95014950622676,51.9780633611405,9,04.04.S.2502.SP,Speelplek,Gem.Arnhem/Cluster Openbare Ruimte,Stadsdeel 4,Speellocatie,0-6 jaar,04.04.S.2502.SP.jpg,Presikhaaf III,Presikhaaf-West,51.9780635,5.9501495
5.95229333678611,51.9859517923701,10,04.05.S.2802.SK,Skateboardbaan,Gem.Arnhem/Cluster Openbare Ruimte,Stadsdeel 4,Grote Ontmoetingsruimte,alle leeftijden,04.05.S.2802.SK.jpg,Winkelcentrum,Presikhaaf-Oost,51.9859519,5.9522933
