OBJECTID,PUIC,POSITIONELE_NAUWKEURIGHEID_MM,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,SUBTYPE,LENGTE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE_VAN,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT,KM_GEOCODE_TOT_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,X_BEGIN,Y_BEGIN,X_EIND,Y_EIND,LATITUDE_BEGIN,LONGITUDE_BEGIN,LATITUDE_EIND,LONGITUDE_EIND,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,STATUS,Shape__Length
1,aa685ce670075021e05332a1e90aa57e,283,1,2021/02/01 16:27:29+00,spijlen / staaf hekwerk,15.798,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,79.37499,"79,374990",79.359195,"79,359195",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,120684.893,488800.753,120671.242,488808.705,52.38599047,4.88316021,52.38606108,4.88295889,Prorail,L0004,bestaand,Actueel,15.798419311661
2,aa685ce66ea15021e05332a1e90aa57e,283,0,2021/02/01 16:27:27+00,spijlen / staaf hekwerk,3.698,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.529588,"81,529588",81.53212,"81,532120",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122530.939,487750.828,122533.622,487749.96,52.37666678,4.91037676,52.37665914,4.91041625,Prorail,L0004,bestaand,Actueel,3.69780755624454
3,aa685ce6700e5021e05332a1e90aa57e,283,0,2021/02/01 16:53:09+00,spijlen / staaf hekwerk,2.664,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.119427,"81,119427",81.121939,"81,121939",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122138.955,487849.796,122141.078,487848.187,52.37753292,4.90461076,52.37751858,4.90464209,Prorail,L0004,bestaand,Actueel,2.6638337035183
4,aa685ce66fb85021e05332a1e90aa57e,283,0,2021/02/01 16:38:48+00,spijlen / staaf hekwerk,1.621,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.299918,"81,299918",81.3,"81,300000",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122298.891,487755.232,122300.464,487754.842,52.37669259,4.90696869,52.37668918,4.90699182,Prorail,L0004,bestaand,Actueel,1.62062611357463
5,aa685ce670ae5021e05332a1e90aa57e,283,0,2021/02/01 16:27:20+00,spijlen / staaf hekwerk,0.592,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,79.374762,"79,374762",79.375353,"79,375353",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,120679.91,488792.22,120680.422,488791.923,52.38591347,4.88308789,52.38591083,4.88309544,Prorail,L0004,bestaand,Actueel,0.59190624257563
6,aa685ce671935021e05332a1e90aa57e,283,0,2021/02/01 16:37:46+00,spijlen / staaf hekwerk,11.443,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,78.540316,"78,540316",78.539548,"78,539548",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,119919.122,489133.094,119922.546,489144.013,52.38892889,4.87187775,52.38902724,4.87192691,Prorail,L0004,bestaand,Actueel,11.4434890621475
7,d8ad4a8935613767e0530b29a8c07381,283,1,2022/05/25 11:53:25+00,spijlen / staaf hekwerk,60.106,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.117837,"81,117837",81.063049,"81,063049",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122118.778,487810.043,122067.34,487841.138,52.37717444,4.90431834,52.37745081,4.90355991,Prorail,L0004,bestaand,Actueel,60.106477191715
8,aa685ce6723f5021e05332a1e90aa57e,283,0,2021/02/01 16:41:40+00,,68.848,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,78.323335,"78,323335",78.382861,"78,382861",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,119670.164,489172.264,119737.937,489169.373,52.38926495,4.86821666,52.38924333,4.8692125,Prorail,L0004,bestaand,Actueel,68.847906663526
9,aa685ce671f05021e05332a1e90aa57e,283,1,2021/02/01 16:45:41+00,spijlen / staaf hekwerk,4.577,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.540573,"81,540573",81.545072,"81,545072",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122541.966,487752.776,122546.511,487753.313,52.37668494,4.91053851,52.37669003,4.9106052,Prorail,L0004,bestaand,Actueel,4.57661381372735
10,aa685ce673955021e05332a1e90aa57e,283,0,2021/02/01 16:43:40+00,spijlen / staaf hekwerk,3.638,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.110344,"81,110344",81.113846,"81,113846",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122118.754,487828.506,122121.934,487826.738,52.37734037,4.90431618,52.37732467,4.90436306,Prorail,L0004,bestaand,Actueel,3.63843702707632
