objectid;id;stadsdeel;buurt_code;straat;eigenaar;beheerder;onderhouder;soort;voet;zitobject;afwerking;kleur;aanleg_jaar;standplaats;locatie;leverancier;geo_shape;geo_point_2d
7570;16099;Centrum;1113;;BOR;BOR Stedelijk;BOR Stedelijk;Pure;Staal;Hout;Onbehandeld;Licht bruin;2020;Beplanting;Plein;Grijsen;"{""coordinates"": [5.474002873525516, 51.43865759603917], ""type"": ""Point""}";51.43865759603917, 5.474002873525516
7572;16020;Tongelre;1335;;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Staal;Hout;Beits;Donker bruin;2018;Gazon;Overig;Ergon;"{""coordinates"": [5.523236627848653, 51.44873421723447], ""type"": ""Point""}";51.44873421723447, 5.523236627848653
7578;16089;Park Meerland;1640;;BOR;BOR Stedelijk;BOR Stedelijk;Flyer Eagle;Staal;Hout;Onbehandeld;Licht bruin;2018;Gazon;Winkel;Velopa;"{""coordinates"": [5.410571799408878, 51.44276130498424], ""type"": ""Point""}";51.44276130498424, 5.410571799408878
7579;16107;Strijp 2;1639;;BOR;BOR Stedelijk;BOR Stedelijk;Toledo;Staal;Hout;Lak;Licht bruin;2018;Gazon;Park;Samson;"{""coordinates"": [5.416088308143362, 51.444769402675895], ""type"": ""Point""}";51.444769402675895, 5.416088308143362
7580;16108;Woensel noord 2;1541;;BOR;BOR Stedelijk;BOR Stedelijk;Camino;Staal;Hout;Onbehandeld;Licht bruin;2020;Verharding;Overig;Velopa;"{""coordinates"": [5.489689406568894, 51.474477255503345], ""type"": ""Point""}";51.474477255503345, 5.489689406568894
7581;16130;Strijp 1;1627;;BOR;Particulier;Particulier;;;;;;;;;;"{""coordinates"": [5.438667502890472, 51.462544686197106], ""type"": ""Point""}";51.462544686197106, 5.438667502890472
7582;16131;Strijp 1;1627;;BOR;Particulier;Particulier;;;;;;;;;;"{""coordinates"": [5.4386033611395534, 51.46248794225437], ""type"": ""Point""}";51.46248794225437, 5.4386033611395534
7591;16147;Strijp 1;1627;;BOR;Particulier;Contract;;;;;;;;;;"{""coordinates"": [5.440413465382824, 51.46085739386114], ""type"": ""Point""}";51.46085739386114, 5.440413465382824
7594;16150;Strijp 1;1627;;BOR;Particulier;Contract;;;;;;;;;;"{""coordinates"": [5.440496754781991, 51.46093495474834], ""type"": ""Point""}";51.46093495474834, 5.440496754781991
7595;16151;Strijp 1;1627;;BOR;Particulier;Contract;;;;;;;;;;"{""coordinates"": [5.440525823052926, 51.460961188284735], ""type"": ""Point""}";51.460961188284735, 5.440525823052926
7597;15953;Woensel zuid;1425;;BOR;BOR Stedelijk;BOR Stedelijk;Anders;Beton;Hout;Lak;Licht bruin;;Verharding;Abri;;"{""coordinates"": [5.474983152762893, 51.466947562715724], ""type"": ""Point""}";51.466947562715724, 5.474983152762893
7602;15930;Stratum;1225;;BOR;BOR Stedelijk;BOR Stedelijk;;;Staal;Lak;Grijs;2015;Verharding;Park;;"{""coordinates"": [5.490883844528748, 51.413563776122686], ""type"": ""Point""}";51.413563776122686, 5.490883844528748
7605;16235;Strijp 2;1635;;BOR;BOR Stedelijk;;Watterijk;Staal;Hout;Onbehandeld;Donker bruin;2021;Anders;Park;Giverbo;"{""coordinates"": [5.399529425362464, 51.440925915285995], ""type"": ""Point""}";51.440925915285995, 5.399529425362464
7609;16127;Strijp 1;1627;;BOR;Particulier;Particulier;;;;;;;;;;"{""coordinates"": [5.4385036521997705, 51.46353558717657], ""type"": ""Point""}";51.46353558717657, 5.4385036521997705
7612;16233;Strijp 2;1635;;BOR;BOR Stedelijk;;Watterijk;Staal;Hout;Onbehandeld;Donker bruin;2021;Anders;Park;Giverbo;"{""coordinates"": [5.401700623723837, 51.439944016313426], ""type"": ""Point""}";51.439944016313426, 5.401700623723837
7614;16019;Park Meerland;1640;;BOR;BOR Stedelijk;BOR Stedelijk;Flyer Eagle;Staal;Hout;Onbehandeld;Licht bruin;2018;Gazon;Winkel;Velopa;"{""coordinates"": [5.41037796158904, 51.442751034075336], ""type"": ""Point""}";51.442751034075336, 5.41037796158904
7617;16041;Woensel noord 2;1514;;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2019;Gazon;Park;Ergon;"{""coordinates"": [5.478569963706268, 51.475011067737675], ""type"": ""Point""}";51.475011067737675, 5.478569963706268
7619;15926;Tongelre;1311;;BOR;BOR Stedelijk;BOR Stedelijk;Vivanti (Ouderen bank);Staal;Hout;Onbehandeld;Licht bruin;2015;Verharding;Park;Velopa;"{""coordinates"": [5.496482434516608, 51.441758472675055], ""type"": ""Point""}";51.441758472675055, 5.496482434516608
7623;15994;Strijp 2;1634;;BOR;BOR Stedelijk;BOR Stedelijk;;;Hout;;;;;;;"{""coordinates"": [5.41131304297866, 51.44772945984327], ""type"": ""Point""}";51.44772945984327, 5.41131304297866
7624;15995;Strijp 2;1635;;BOR;BOR Stedelijk;BOR Stedelijk;Picknickset;Beton;Hout;Beits;Licht bruin;2019;Beplanting;Park;Ergon;"{""coordinates"": [5.398909057588561, 51.43681178223293], ""type"": ""Point""}";51.43681178223293, 5.398909057588561
7629;16187;Tongelre;1311;;BOR;;;Pure;Staal;Hout;Onbehandeld;Donker bruin;;Verharding;Overig;Grijsen;"{""coordinates"": [5.487536073466281, 51.43839074831922], ""type"": ""Point""}";51.43839074831922, 5.487536073466281
7632;16190;Tongelre;1311;;BOR;;;Pure;Staal;Hout;Onbehandeld;Donker bruin;;Verharding;Overig;Grijsen;"{""coordinates"": [5.488322491950804, 51.43798155073914], ""type"": ""Point""}";51.43798155073914, 5.488322491950804
7634;16192;Stratum;1211;;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2020;Gazon;Park;Ergon;"{""coordinates"": [5.4902691950907725, 51.434233588754594], ""type"": ""Point""}";51.434233588754594, 5.4902691950907725
7636;16194;Begraafplaatsen;1432;;Begraafplaats;BOR Stedelijk;Begraafplaats;Model Eindhoven;Beton;Hout;Beits;Donker bruin;;Gazon;Park;Ergon;"{""coordinates"": [5.479954540142812, 51.455875021486314], ""type"": ""Point""}";51.455875021486314, 5.479954540142812
7640;16169;Woensel zuid;1421;;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Lak;Donker bruin;;Gazon;Park;Ergon;"{""coordinates"": [5.456893427696099, 51.45165955851966], ""type"": ""Point""}";51.45165955851966, 5.456893427696099
7642;16171;Woensel zuid;1434;;BOR;;;Model Eindhoven;Beton;Hout;Beits;Licht bruin;;Verharding;Overig;Ergon;"{""coordinates"": [5.494768836278443, 51.45903317397096], ""type"": ""Point""}";51.45903317397096, 5.494768836278443
7645;15934;Strijp 1;1625;;BOR;BOR Stedelijk;;Pure;Staal;Kunststof;Onbehandeld;Licht bruin;;Verharding;Overig;Grijsen;"{""coordinates"": [5.449511148434777, 51.450392714652935], ""type"": ""Point""}";51.450392714652935, 5.449511148434777
7646;15943;Stratum;1226;;BOR;BOR Stedelijk;;Model Eindhoven;Beton;Hout;Lak;Donker bruin;;Anders;Park;Ergon;"{""coordinates"": [5.4779399805005555, 51.40873137671826], ""type"": ""Point""}";51.40873137671826, 5.4779399805005555
7655;16140;Strijp 1;1627;;BOR;Particulier;Contract;;;;;;;;;;"{""coordinates"": [5.441550528044103, 51.460694415463045], ""type"": ""Point""}";51.460694415463045, 5.441550528044103
7662;16039;Gestel;1732;;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2019;Verharding;Plein;Ergon;"{""coordinates"": [5.4390118924656035, 51.41682802008787], ""type"": ""Point""}";51.41682802008787, 5.4390118924656035
7665;15923;Tongelre;1328;;BOR;BOR Stedelijk;BOR Stedelijk;Vivanti (Ouderen bank);Staal;Hout;Onbehandeld;Licht bruin;2014;Anders;Overig;Velopa;"{""coordinates"": [5.52089272554678, 51.43659610677642], ""type"": ""Point""}";51.43659610677642, 5.52089272554678
7669;16003;Strijp 1;1612;;Particulier;Onbekend;Onbekend;Laths;Staal;Hout;Onbehandeld;Licht bruin;;Verharding;Overig;Grijsen;"{""coordinates"": [5.461042941412683, 51.44230921810043], ""type"": ""Point""}";51.44230921810043, 5.461042941412683
7670;16004;Strijp 1;1612;;BOR;BOR Stedelijk;BOR Stedelijk;Laths;Staal;Hout;Onbehandeld;Licht bruin;2019;Gazon;Plein;Grijsen;"{""coordinates"": [5.464380209878609, 51.44079957142858], ""type"": ""Point""}";51.44079957142858, 5.464380209878609
7673;15949;Woensel noord 2;1543;;BOR;BOR Stedelijk;BOR Stedelijk;Camino;Staal;Hout;Onbehandeld;Licht bruin;2017;Verharding;Winkel;Velopa;"{""coordinates"": [5.493839653697588, 51.47684461116741], ""type"": ""Point""}";51.47684461116741, 5.493839653697588
7678;15910;Strijp 1;1613;;BOR;BOR Stedelijk;BOR Stedelijk;Vivanti (Ouderen bank);Staal;Hout;Onbehandeld;Licht bruin;2017;Gazon;Park;Velopa;"{""coordinates"": [5.45638616128078, 51.43488346402089], ""type"": ""Point""}";51.43488346402089, 5.45638616128078
7679;15911;Strijp 1;1613;;BOR;BOR Stedelijk;BOR Stedelijk;Vivanti (Ouderen bank);Staal;Hout;Onbehandeld;Licht bruin;2017;Gazon;Park;Velopa;"{""coordinates"": [5.456387445810163, 51.43478216088699], ""type"": ""Point""}";51.43478216088699, 5.456387445810163
7680;15924;Tongelre;1311;;BOR;BOR Stedelijk;BOR Stedelijk;Vivanti (stoel);Staal;Hout;Onbehandeld;Licht bruin;2014;Verharding;Overig;Velopa;"{""coordinates"": [5.491823549075054, 51.44160998924584], ""type"": ""Point""}";51.44160998924584, 5.491823549075054
7681;16205;Gestel;1711;;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Licht bruin;2013;Verharding;Park;Ergon;"{""coordinates"": [5.473365327622359, 51.43300365429088], ""type"": ""Point""}";51.43300365429088, 5.473365327622359
7683;16217;Strijp 1;1614;;BOR;;;Picknickset;Kunststof;Kunststof;Onbehandeld;Donker bruin;;Verharding;Park;Ergon;"{""coordinates"": [5.45369472315045, 51.43917577694872], ""type"": ""Point""}";51.43917577694872, 5.45369472315045
7686;15939;Begraafplaatsen;1432;;Begraafplaats;BOR Stedelijk;Begraafplaats;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;;Gazon;Begraafplaatsen;Ergon;"{""coordinates"": [5.480602871567894, 51.45499259866333], ""type"": ""Point""}";51.45499259866333, 5.480602871567894
7689;16231;Woensel noord 1;1512;;BOR;BOR Stedelijk;BOR Stedelijk;Anders;Staal;Hout;Beits;Licht bruin;2008;Verharding;Park;;"{""coordinates"": [5.463648929839355, 51.466353218474865], ""type"": ""Point""}";51.466353218474865, 5.463648929839355
7690;15907;Woensel noord 2;1516;;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Licht bruin;2014;;Park;Ergon;"{""coordinates"": [5.482039659426, 51.46995084712736], ""type"": ""Point""}";51.46995084712736, 5.482039659426
7695;16155;Strijp 1;1627;;BOR;Particulier;Contract;;;;;;;;;;"{""coordinates"": [5.440635490008626, 51.4610646242903], ""type"": ""Point""}";51.4610646242903, 5.440635490008626
7696;16156;Strijp 1;1627;;BOR;Particulier;Contract;;;;;;;;;;"{""coordinates"": [5.440664916743476, 51.46108963516948], ""type"": ""Point""}";51.46108963516948, 5.440664916743476
7700;16160;Strijp 1;1627;;BOR;Particulier;Contract;;;;;;;;;;"{""coordinates"": [5.440782395285892, 51.461190964094406], ""type"": ""Point""}";51.461190964094406, 5.440782395285892
7703;16163;Strijp 1;1627;;BOR;Particulier;Contract;;;;;;;;;;"{""coordinates"": [5.440869339213923, 51.46126714776246], ""type"": ""Point""}";51.46126714776246, 5.440869339213923
7704;16164;Strijp 1;1627;;BOR;Particulier;Contract;;;;;;;;;;"{""coordinates"": [5.44089807627834, 51.46129280608409], ""type"": ""Point""}";51.46129280608409, 5.44089807627834
7708;16168;Strijp 1;1627;;BOR;Particulier;Contract;;;;;;;;;;"{""coordinates"": [5.441016850086684, 51.46139343305651], ""type"": ""Point""}";51.46139343305651, 5.441016850086684
7713;16006;Stratum;1225;;BOR;BOR Stedelijk;BOR Stedelijk;;;Staal;Lak;Grijs;2015;Verharding;Park;;"{""coordinates"": [5.490914156863204, 51.41356235587061], ""type"": ""Point""}";51.41356235587061, 5.490914156863204
7719;16180;Gestel;1724;;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2014;Verharding;Plein;Ergon;"{""coordinates"": [5.458199173118327, 51.42060956830411], ""type"": ""Point""}";51.42060956830411, 5.458199173118327
7722;16010;Gestel;1724;;BOR;BOR Stedelijk;BOR Stedelijk;;;Hout;;;;;;;"{""coordinates"": [5.46157003879214, 51.418837338178555], ""type"": ""Point""}";51.418837338178555, 5.46157003879214
7724;16012;Stratum;1224;;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Licht bruin;2019;Gazon;Park;Ergon;"{""coordinates"": [5.492009463192572, 51.41289092563839], ""type"": ""Point""}";51.41289092563839, 5.492009463192572
7730;16646;Strijp 2;1637;;;;;;;;;;;;;;"{""coordinates"": [5.400869860204865, 51.455528475614756], ""type"": ""Point""}";51.455528475614756, 5.400869860204865
7735;16651;Strijp 2;1637;;;;;;;;;;;;;;"{""coordinates"": [5.400968178050027, 51.45502788503012], ""type"": ""Point""}";51.45502788503012, 5.400968178050027
7748;16248;Strijp 2;1639;;BOR;BOR Stedelijk;BOR Stedelijk;Pure;Staal;Hout;Onbehandeld;Licht bruin;2020;Verharding;;Grijsen;"{""coordinates"": [5.4131911068226115, 51.446847066323116], ""type"": ""Point""}";51.446847066323116, 5.4131911068226115
7752;16344;Centrum;1115;;;;;;;;;;;;;;"{""coordinates"": [5.489388334626604, 51.45143752920165], ""type"": ""Point""}";51.45143752920165, 5.489388334626604
7753;16345;Centrum;1115;;;;;;;;;;;;;;"{""coordinates"": [5.48760883853181, 51.449781657266655], ""type"": ""Point""}";51.449781657266655, 5.48760883853181
