BEGINDATUM;EINDDATUM;ID;NWB_ID;CAPACITEIT;ORIENTATIE;TYPE_PARKEERPLEK;MAANDAG;DINSDAG;WOENSDAG;DONDERDAG;VRIJDAG;ZATERDAG;ZONDAG;VAN;TOT;GEBRUIKSDOEL;WEGDEEL_ID;GUID;DOSSIERNUMMER;COUNTER;TYPE_GERESERVEERD_AS400;STRAATCODE_AS400;STRAATNAAM_AS400;PLAATSAANDUIDING_AS400;DOSSIERNNUMMER_AS400
20130219;;1128624;;;;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;180545;{13B46A0C-7822-4054-9316-AEEB6;107132;2319;Gehandicaptenparkeerpl.;21549;BEKERSTR;NABIJ PERC;107132
20130219;;1128625;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;3681166;{88AD3F39-BB86-4EB5-92A7-23B6C;109140;2320;Gehandicaptenparkeerpl.;1370;BEETSSTR;NABIJ PERC;109140
20130304;;1128627;;1;Haaks;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;4766952;{EB5CC95B-F6E9-47C2-BB64-D9ED5;100494;2321;Gehandicaptenparkeerpl.;6710;HEELSUMSTR;NABIJ PERC;100494
20130304;;1128628;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;703151;{3F96395C-F2C5-459D-814F-7BB1C;85296;2322;;;;;
20130304;;1128629;;;;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;184574;{1685913D-794D-4CC1-A438-E7571;83379;2323;;;;;
20130304;;1128631;;;;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;677540;{1E9983EC-EE3A-4D16-BF20-3EDC7;112076;2324;Gehandicaptenparkeerpl.;21085;ATHENESINGEL;NABIJ PERC;112076
20130304;20170721;1128632;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;168738;{B3C39B97-334B-4653-9395-5B262;100801;2325;;;;;
20130314;;1128634;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;251676;{A904B68A-F434-440C-85CC-C0B4D;86345;2326;Gehandicaptenparkeerpl.;16360;SEGHERSSTR;NABIJ PERC;86345
20190503;;1128636;;1;Haaks;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;673044;{A0DB8AA4-33D8-4263-AF4B-45355;84456;2327;Gehandicaptenparkeerpl.;4160;DORPERSDREEF;NABIJ PERC;84456
20180905;;1128637;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;175736;{B151A3AA-C466-4A84-9B3F-AB191;466089;2328;Gehandicaptenparkeerpl.;9900;KIJKDUINSESTR;NABIJ PERC;466089
20130410;;1128638;;1;;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;698660;{C9971343-DA10-4F68-A159-50A51;99922;2329;Gehandicaptenparkeerpl.;21187;N YORKSINGEL;NABIJ PERC;99922
20130411;;1128639;;1;File;Autodate;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Autodate;242058;{916D6CA4-1F4E-4351-8851-AD723;Autodate P;2330;;;;;
20130411;;1128641;;1;File;Gehandicapte algemeen;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte algemeen;242500;{E12ED139-ACB3-4A80-9C45-D0701;;2331;;;;;
20130411;;1128642;;1;File;Arts;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Arts;260833;{3EEA5D30-2FF3-4672-B5B2-D5119;71037;2332;Arts;14560;PR HENDRIKSTR;NABIJ PERC;71037
20130411;;1128643;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;263636;{8575D4B1-5A95-4C67-B93F-FDF76;;2333;;;;;
20130411;20171130;1128645;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;260389;{5DC53136-D909-4766-B8A5-F9E7E;87953;2334;;;;;
20130411;;1128647;;1;File;Internationale organisatie;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Internationale organisatie;254838;{899BD957-CFC1-4601-A773-338F3;71291;2335;Ambassade;10040;LN V MEERDERVOORT;NABIJ PERC;71291
20180323;;1128669;;1;File;Elektrische auto;Ja;Ja;Ja;Ja;Ja;Ja;Ja;10:00;22:00;Elektrische auto, Parkeergelegenheid;262802;{CAD987BE-95B9-4DC4-BABC-21A28;Autodate V;2354;;;;;
20180323;;1128669;;1;File;Parkeergelegenheid;Ja;Ja;Ja;Ja;Ja;Ja;Ja;22:00;24:00;Elektrische auto, Parkeergelegenheid;262802;{CAD987BE-95B9-4DC4-BABC-21A28;;2355;;;;;
20180323;;1128669;;1;File;Parkeergelegenheid;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;10:00;Elektrische auto, Parkeergelegenheid;262802;{CAD987BE-95B9-4DC4-BABC-21A28;;2356;;;;;
20130411;;1128672;;1;File;Arts;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Arts;695747;{78720B44-3D88-4347-9F06-55D3E;71051;2357;Arts;10040;LN V MEERDERVOORT;NABIJ PERC;71051
20130411;;1128673;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;2974605;{B30ED399-0FC5-4E16-B93D-2ED75;90449;2358;Gehandicaptenparkeerpl.;10040;LN V MEERDERVOORT;NABIJ PERC;90449
20130411;;1128674;;1;File;Arts;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Arts;695746;{11495F98-45AF-406E-A3DB-AB6C7;71073;2359;Arts;10040;LN V MEERDERVOORT;NABIJ PERC;71073
20130411;;1128675;;1;File;Arts;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Arts;2493365;{2438E9B6-4F1B-4920-892C-C27BD;71106;2360;Arts;10040;LN V MEERDERVOORT;NABIJ PERC;71106
20130411;;1128676;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;2493610;{63230668-9CA3-48D1-A74F-13679;89659;2361;Gehandicaptenparkeerpl.;10040;LN V MEERDERVOORT;NABIJ PERC;89659
20130411;;1128677;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;2493612;{A058671D-E282-4622-8F81-EBBAD;85278;2362;Gehandicaptenparkeerpl.;10040;LN V MEERDERVOORT;NABIJ PERC;85278
20130411;;1128678;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;2975473;{DED6C50B-0366-4118-A12E-BE68B;85282;2363;Gehandicaptenparkeerpl.;10040;LN V MEERDERVOORT;NABIJ PERC;85282
20130411;;1128679;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;2975477;{C440720D-71F6-41C1-83D2-B1A5A;86984;2364;;;;;
20130411;;1128680;;1;File;Arts;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Arts;669402;{D8CC04E7-E45D-4240-AD9F-BFAC0;73423;2365;;;;;
20130411;;1128681;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;680314;{177D26F3-8584-4A4E-8EA9-F2630;85720;2366;;;;;
20130411;;1128682;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;680315;{152AC1F6-2339-469A-8E7A-4AA94;;2367;;;;;
20130411;;1128683;;1;Haaks;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;683443;{8D244475-EBEB-4942-8D49-AC3D0;86333;2368;Gehandicaptenparkeerpl.;19490;WEIGELIAPLEIN;T/O;86333
20130411;;1128684;;1;Haaks;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;683443;{426763AF-03D6-4AA3-9372-246B2;84613;2369;Gehandicaptenparkeerpl.;16747;SONATINESTR;NABIJ PERC;84613
20130411;20180514;1128685;;1;Haaks;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;697659;{03B6C808-F68B-4B33-821C-BA837;85292;2370;;;;;
20130411;;1128686;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;705862;{F680E72A-F2F2-4832-88FA-79EC7;81106;2371;;;;;
20130411;;1128687;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;705989;{4478B34F-A82A-4D4E-B78A-C3501;;2372;;;;;
20130411;20170330;1128688;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;689333;{5EB7B9C9-B943-4159-95B5-1A2ED;88839;2373;;;;;
20130411;;1128689;;1;File;Verloskundige;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Verloskundige;689335;{2C0EEF0C-86AD-48D1-920B-73F9C;71325;2374;Verloskundige;580;ANANASSTR;NABIJ PERC;71325
20130411;;1128690;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;669227;{91CEC8A5-3004-4C0B-89A4-3552C;84201;2375;Gehandicaptenparkeerpl.;4340;DRUIVENSTR;NABIJ PERC;84201
20130411;20171106;1128691;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;688968;{B6AB7723-F961-4448-BBC4-693DE;81110;2376;;;;;
20130411;;1128692;;1;File;Verloskundige;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Verloskundige;2400234;{AED5F02C-524B-4762-B268-BF77B;71317;2377;Verloskundige;13960;PERZIKLAAN;NABIJ PERC;71317
20130411;;1128693;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;669378;{2C608212-4F9F-41FC-9363-74F73;92610;2378;;;;;
20130411;;1128694;;1;File;Autodate;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Autodate;669378;{879824F3-921A-4845-B4A9-3A85D;Autodate P;2379;;;;;
20130411;;1128695;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;705795;{BCA83009-7BFF-4EC8-A29F-CC0C9;82876;2380;Gehandicaptenparkeerpl.;11730;MELOENSTR;NABIJ PERC;82876
20130411;;1128696;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;705796;{51C67C57-3BB2-43F6-9AB5-F3115;89894;2381;;;;;
20130411;;1128697;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;696818;{6346C439-8629-482A-8018-6540E;89665;2382;Gehandicaptenparkeerpl.;10630;LIGUSTERSTR;NABIJ PERC;89665
20130411;;1128698;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;696817;{1FAEB8FB-F82F-4B3F-987C-38B00;87444;2383;Gehandicaptenparkeerpl.;10630;LIGUSTERSTR;NABIJ PERC;87444
20130411;;1128699;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;696816;{3D57703C-F669-4CD6-AEA1-B2371;81398;2384;;;;;
20130411;;1128701;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;683487;{76F1AF7B-22CA-4D27-87F7-F3388;;2385;;;;;
20130411;;1128702;;1;File;Gehandicapte op kenteken;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00;24:00;Gehandicapte op kenteken;683487;{A61E1021-48DB-4D04-9A42-E4CF3;81573;2386;Gehandicaptenparkeerpl.;18410;VALKENBOSKADE;NABIJ PERC;81573
