UNIEKNUMMER;REGISTRATIENR;DOSSIERNR;TYPEKODE;TYPE_OMSCHRIJVING;AARDAANVRKODE;AARDAANVRAAG_OMSCHRIJVING;OMSCHRIJVING;STADSDEELKANTOOR;STATUS;DATUM_INDIENING;DATUM_INGETROKKEN;DATUM_BESCHIKKING;DATUM_EINDE;ADRESNR;ID;STRAATNAAM;STRAATCODE;HUISNUMMER;HUISLETTER;TOEVOEGING;POSTCODE;GELDIG_VANAF;GELDIG_TM;X;Y;LONG;LAT
695636055;4144721;00430APV13;APV;APV vergunning art. 2.28;AP1;Apv cat. 1 daghoreca (tussen 7.00-19.00 uur);sportkantine Fresh & Funky;Bestuurszaken;Verleend;2013-12-18;;2014-03-10;;1007463;960175;Mr. P. Droogleever Fortuynweg;11670;16;;;2533 SR;2012-09-18;;79909.306;452693.004;4.292302284603425;52.05744567524802
8455489;4144747;00307DHV13;DHV;Drank- en horeca vergunning;DHA;Drank- en horeca vergunning a (horecabedrijf);sportkantine Fresh & Funky;Bestuurszaken;Verleend;2013-12-18;;2014-03-10;;1007463;960175;Mr. P. Droogleever Fortuynweg;11670;16;;;2533 SR;2012-09-18;;79909.306;452693.004;4.292302284603425;52.05744567524802
931841526;4096835;00229APV12;APV;APV vergunning art. 2.28;AP2;Apv cat. 2 a dag/avondhoreca (open karakter);grillroom Shoarma Isis;Bestuurszaken;Verleend;2012-07-26;;2012-12-14;;89372;944482;Badhuisstraat;01060;138;;;2584 HL;2010-10-26;;79098.027;457983.126;4.2792979492039285;52.104875805552425
733018124;4096847;00222DHV12;DHV;Drank- en horeca vergunning;DHA;Drank- en horeca vergunning a (horecabedrijf);grillroom Shoarma Isis;Bestuurszaken;Verleend;2012-07-26;;2013-02-19;;89372;944482;Badhuisstraat;01060;138;;;2584 HL;2010-10-26;;79098.027;457983.126;4.2792979492039285;52.104875805552425
710529273;4251189;00313DHV16;DHV;Drank- en horeca vergunning;DHA;Drank- en horeca vergunning a (horecabedrijf);restaurant Yagura I;Openbare Orde en Veiligheid;Verleend;2016-11-30;;2017-03-07;;308565;941940;Stadhouderslaan;17030;76;R;;2517 JA;2010-10-26;;79068.6;456187.423;4.2792685614085855;52.08873439583312
11575097;4251188;00499APV16;APV;APV vergunning art. 2.28;AP1;Apv cat. 1 daghoreca (tussen 7.00-19.00 uur);restaurant Yagura I;Bestuurszaken;Verleend;2016-11-30;;2017-03-07;;308565;941940;Stadhouderslaan;17030;76;R;;2517 JA;2010-10-26;;79068.6;456187.423;4.2792685614085855;52.08873439583312
285566209;4359487;00163DHV19;DHV;Drank- en horeca vergunning;DHA;Drank- en horeca vergunning a (horecabedrijf);café Gemeentemuseum;Bestuurszaken;Verleend;2019-05-06;;2019-07-16;;185707;964730;Stadhouderslaan;17030;41;;;2517 HV;2012-03-26;;79108.204;456238.542;4.279834952332811;52.0891992176468
598379057;4188683;00125NOS15;NOS;Nachtontheffing Sluitingstijden;NOE;Nachtontheffing Eenmalig;in de nacht van 31 oktober op 1 november 2015 tot 04:00 uur;Openbare Orde en Veiligheid;Verleend;2015-03-26;;2015-10-13;;185679;964731;Stadhouderslaan;17030;43;;;2517 HV;2012-03-26;;79160.559;456352.639;4.280573369657861;52.09023174660878
558849553;268502;V1023298;DHV;Drank- en horeca vergunning;DHA;Drank- en horeca vergunning a (horecabedrijf);restaurant Gember;Openbare Orde en Veiligheid;Verleend;2005-09-02;;2017-06-08;;185679;964731;Stadhouderslaan;17030;43;;;2517 HV;2012-03-26;;79160.559;456352.639;4.280573369657861;52.09023174660878
666381611;268110;V1022972;APV;APV vergunning art. 2.28;AP2;Apv cat. 2 a dag/avondhoreca (open karakter);restaurant Gember;Bestuurszaken;Verleend;2005-08-15;;2017-06-08;;185679;964731;Stadhouderslaan;17030;43;;;2517 HV;2012-03-26;;79160.559;456352.639;4.280573369657861;52.09023174660878
245323823;4367093;00200DHV19;DHV;Drank- en horeca vergunning;DHB;Drank- en horeca vergunning b (slijtersbedrijf);slijterij Hobbema;Bestuurszaken;Verleend;2019-07-08;;2019-09-03;;1003355;969854;Hobbemastraat;07200;194;;;2526 JT;2013-07-03;;80489.088;453846.415;4.300502952991238;52.06788940286881
633837572;4250107;00302DHV16;DHV;Drank- en horeca vergunning;DHB;Drank- en horeca vergunning b (slijtersbedrijf);slijterij De Hoek;Openbare Orde en Veiligheid;Verleend;2016-11-14;;2017-09-28;;1016148;972255;Oudemansstraat;13430;98;;;;2013-10-08;;82233.226;453174.076;4.326079284878863;52.062079088668625
