nummer;hotel naam in 2012;sterklasse NHC 2012;aantal kamers in 2012;aantal bedden in 2012;aantal campeerplekken;gemeente;plaats;postcode;straat;huisnummer;buurtindeling 2005;wijk;buurtindeling 2010;stadsdeel
1;EDEN AMSTERDAM AMERICAN HOTEL;4;175;354; ;AMSTERDAM;AMSTERDAM;1017PN;LEIDSEKADE;97;A07b;A;A07b;A
2;AMSTEL INTERCONTINENTAL AMSTERDAM;5;79;165; ;AMSTERDAM;AMSTERDAM;1018GX;PROFESSOR TULPPLEIN;1;A08b;A;A08b;A
3;AMSTERDAM CENTRE,NH;4;232;424; ;AMSTERDAM;AMSTERDAM;1054ES;STADHOUDERSKADE;7;D22a;D;E22a;E
4;BARBIZON PALACE,NH;5;274;548; ;AMSTERDAM;AMSTERDAM;1012AD;PRINS HENDRIKKADE;59-72;A00a;A;A00a;A
5;DOELEN HOTEL,NH;4;85;162; ;AMSTERDAM;AMSTERDAM;1012CP;NIEUWE DOELENSTRAAT;24;A00e;A;A00e;A
6;EUROPE HOTEL,DE L';5;100;179; ;AMSTERDAM;AMSTERDAM;1012CP;NIEUWE DOELENSTRAAT;2-8;A00e;A;A00e;A
7;GRAND HOTEL KRASNAPOLSKY NH;5;468;937; ;AMSTERDAM;AMSTERDAM;1012JS;DAM;9;A00d;A;A00d;A
8;PARK HOTEL;4;189;378; ;AMSTERDAM;AMSTERDAM;1071ZD;STADHOUDERSKADE;25;V47b;V;K47b;K
9;WYNDHAM APOLLO AMSTERDAM;4;446;669; ;AMSTERDAM;AMSTERDAM;1077BA;APOLLOLAAN;2;V49b;V;K49b;K
10;PIET HEIN HOTEL;3;81;141; ;AMSTERDAM;AMSTERDAM;1071AK;VOSSIUSSTRAAT;51-53;V47c;V;K47c;K
11;NOVA HOTEL;3;61;157; ;AMSTERDAM;AMSTERDAM;1012RS;NIEUWEZIJDS VOORBURGWAL;276-278;A01f;A;A01f;A
12;BRIDGE HOTEL,THE;3;52;113; ;AMSTERDAM;AMSTERDAM;1018EM;AMSTEL;107-111;A08a;A;A08a;A
