FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
B17.292,EHAM,Norra,281,,14.38524447,B17,,,"LINESTRING (620215.5433 5796865.454600001, 593778.3837000001 5800303.251)"
B17.293,Norra,NL2,349,,8.55266841,B17,,,"LINESTRING (593778.3837000001 5800303.251, 590539.4556999998 5815819.199100001)"
B17.294,NL2,NL3,0,,36.41722092,B17,,,"LINESTRING (590539.4556999998 5815819.199100001, 589288.6248000003 5883298.5502)"
B17.295,NL3,NL4,29,,24.80595298,B17,,,"LINESTRING (589288.6248000003 5883298.5502, 610671.0179000003 5923995.354499999)"
B17.296,NL4,NL5,71,,64.00104618,B17,,,"LINESTRING (610671.0179000003 5923995.354499999, 721745.3496000003 5965602.013800001)"
B17.297,NL5,G1,79,,63.93877301,B17,,,"LINESTRING (721745.3496000003 5965602.013800001, 836348.3547 5995725.2315)"
B17.298,G1,G4,321,,12.97694553,B17,,,"LINESTRING (836348.3547 5995725.2315, 819785.6200000001 6013162.775)"
B17.299,G4,NL15,273,,73.07648997,B17,,,"LINESTRING (819785.6200000001 6013162.775, 684356.2418999998 6012619.7535999995)"
B17.300,NL15,NL16,290,,26.05307824,B17,,,"LINESTRING (684356.2418999998 6012619.7535999995, 638370.4919999996 6027336.967599999)"
B17.301,NL16,NL19,251,,24.84160047,B17,,,"LINESTRING (638370.4919999996 6027336.967599999, 595237.6188000003 6011241.3015)"
B17.302,NL19,NL22,251,,24.78792434,B17,,,"LINESTRING (595237.6188000003 6011241.3015, 552183.0581999999 5995220.362500001)"
B17.303,NL22,NL25,215,,34.825452,B17,,,"LINESTRING (552183.0581999999 5995220.362500001, 515430.8965999996 5942165.5337000005)"
B17.304,NL25,NL13,171,,22.30700417,B17,,,"LINESTRING (515430.8965999996 5942165.5337000005, 521920.0449000001 5901337.0989)"
B17.305,NL13,NL12,172,,36.42005342,B17,,,"LINESTRING (521920.0449000001 5901337.0989, 532126.7723000003 5834617.0964)"
B17.306,NL12,NL11,213,,59.02175324,B17,,,"LINESTRING (532126.7723000003 5834617.0964, 473222.06319999974 5742449.1545)"
B17.307,NL11,NL6,133,,13.79710524,B17,,,"LINESTRING (473222.06319999974 5742449.1545, 491875.3781000003 5724960.114)"
B17.308,NL6,NL1,133,,13.76573643,B17,,,"LINESTRING (491875.3781000003 5724960.114, 510427.06740000006 5707447.8927)"
B17.309,NL1,NL2,37,,72.71887353,B17,,,"LINESTRING (510427.06740000006 5707447.8927, 590539.4556999998 5815819.199100001)"
B17.310,NL2,Norra,169,,8.55266841,B17,,,"LINESTRING (590539.4556999998 5815819.199100001, 593778.3837000001 5800303.251)"
B17.311,Norra,EHAM,101,,14.38524447,B17,,,"LINESTRING (593778.3837000001 5800303.251, 620215.5433 5796865.454600001)"
