Kenteken,Carrosserie volgnummer,Carrosserietype,Type Carrosserie Europese omschrijving
0001WL,1,DC,Middenasaanhangwagen
0001WZ,1,DB,Autonome aanhangwagen
0002VK,1,AA,Sedan
0002WL,1,DB,Autonome aanhangwagen
0003WT,1,DC,Middenasaanhangwagen
0003ZB,1,BA,Vrachtwagen
0003ZZ,1,DA,Oplegger
0004ZZ,1,DA,Oplegger
0005EB,1,BA,Vrachtwagen
0005WR,1,DB,Autonome aanhangwagen
0005ZZ,1,DA,Oplegger
0006NA,1,AE,Cabriolet
0006WH,1,DC,Middenasaanhangwagen
0006ZZ,1,DA,Oplegger
0007WT,1,DC,Middenasaanhangwagen
0007WV,1,DC,Middenasaanhangwagen
0007ZZ,1,DA,Oplegger
0008WR,1,DC,Middenasaanhangwagen
0008WT,1,DC,Middenasaanhangwagen
0008ZZ,1,DA,Oplegger
0009WR,1,DC,Middenasaanhangwagen
0010WR,1,DC,Middenasaanhangwagen
0011WX,1,DC,Middenasaanhangwagen
0011ZZ,1,DA,Oplegger
0012ZZ,1,DA,Oplegger
0013ZB,1,BA,Vrachtwagen
0013ZZ,1,DA,Oplegger
0014UB,1,BA,Vrachtwagen
0014WR,1,DB,Autonome aanhangwagen
0014ZZ,1,DA,Oplegger
0015PT,1,AA,Sedan
0015WU,1,DC,Middenasaanhangwagen
0016WT,1,DC,Middenasaanhangwagen
0017WG,1,DC,Middenasaanhangwagen
0017ZZ,1,DB,Autonome aanhangwagen
0018ZZ,1,DA,Oplegger
0019SL,1,AA,Sedan
0019WT,1,DC,Middenasaanhangwagen
0020WG,1,DC,Middenasaanhangwagen
0020WP,1,DB,Autonome aanhangwagen
0021XZ,1,AA,Sedan
0022WG,1,DC,Middenasaanhangwagen
0022ZZ,1,DC,Middenasaanhangwagen
0023HJ,1,AA,Sedan
0023JB,1,BB,Bestelwagen
0023JK,1,AD,Coupe
0023WG,1,DC,Middenasaanhangwagen
0023WJ,1,DB,Autonome aanhangwagen
0023WV,1,DC,Middenasaanhangwagen
0023ZZ,1,DA,Oplegger
0024WT,1,DC,Middenasaanhangwagen
0025WD,1,DC,Middenasaanhangwagen
0025WG,1,DC,Middenasaanhangwagen
0025WL,1,DC,Middenasaanhangwagen
0025WP,1,DB,Autonome aanhangwagen
0026JB,1,BB,Bestelwagen
0026SM,1,AA,Sedan
0026WL,1,DC,Middenasaanhangwagen
0026WN,1,DC,Middenasaanhangwagen
0026WR,1,DC,Middenasaanhangwagen
0026ZZ,1,DA,Oplegger
0027ZZ,1,DA,Oplegger
0028WJ,1,DC,Middenasaanhangwagen
0028WP,1,DC,Middenasaanhangwagen
0028WR,1,DC,Middenasaanhangwagen
0028ZZ,1,DA,Oplegger
0029XB,1,BB,Bestelwagen
0030WL,1,DC,Middenasaanhangwagen
0030ZZ,1,DA,Oplegger
0031WN,1,DC,Middenasaanhangwagen
0031WT,1,DC,Middenasaanhangwagen
0033RB,1,BC,Opleggertrekker
0034GB,1,BA,Vrachtwagen
0034WN,1,DC,Middenasaanhangwagen
0034WZ,1,DC,Middenasaanhangwagen
0034ZZ,1,DA,Oplegger
0035WG,1,DB,Autonome aanhangwagen
0035WR,1,DB,Autonome aanhangwagen
0035WS,1,DC,Middenasaanhangwagen
0035WT,1,DC,Middenasaanhangwagen
0035ZZ,1,DA,Oplegger
0036WL,1,DC,Middenasaanhangwagen
0036WN,1,DC,Middenasaanhangwagen
0036ZJ,1,AE,Cabriolet
0036ZZ,1,DA,Oplegger
0037WG,1,DC,Middenasaanhangwagen
0037WN,1,DC,Middenasaanhangwagen
0037ZZ,1,DA,Oplegger
0038ZZ,1,DA,Oplegger
0039WG,1,DB,Autonome aanhangwagen
0039WZ,1,DC,Middenasaanhangwagen
0039XX,1,AA,Sedan
0039ZZ,1,DA,Oplegger
0040SL,1,AC,Stationwagen
0040WT,1,DC,Middenasaanhangwagen
0040WU,1,DB,Autonome aanhangwagen
0040ZZ,1,DA,Oplegger
0041EB,1,BB,Bestelwagen
0041WG,1,DC,Middenasaanhangwagen
0041WR,1,DC,Middenasaanhangwagen
0041WU,1,DC,Middenasaanhangwagen
0041ZZ,1,DA,Oplegger
0042WG,1,DC,Middenasaanhangwagen
0042WR,1,DB,Autonome aanhangwagen
0042WU,1,DB,Autonome aanhangwagen
0042WZ,1,DC,Middenasaanhangwagen
0042ZZ,1,DA,Oplegger
0043WT,1,DC,Middenasaanhangwagen
0043ZZ,1,DA,Oplegger
0044WR,1,DC,Middenasaanhangwagen
0044WS,1,DC,Middenasaanhangwagen
0044ZZ,1,DA,Oplegger
0045NE,1,AD,Coupe
0045PF,1,AC,Stationwagen
0045UE,1,AA,Sedan
0045ZZ,1,DA,Oplegger
0046WL,1,DC,Middenasaanhangwagen
0046WZ,1,DC,Middenasaanhangwagen
0046ZZ,1,DA,Oplegger
0047WL,1,DC,Middenasaanhangwagen
0047WV,1,DC,Middenasaanhangwagen
0048WG,1,DC,Middenasaanhangwagen
0048WN,1,DC,Middenasaanhangwagen
0048WZ,1,DC,Middenasaanhangwagen
0049ZZ,1,DA,Oplegger
0050PK,1,AA,Sedan
0050XB,1,BA,Vrachtwagen
0051BD,1,AE,Cabriolet
0051WT,1,DC,Middenasaanhangwagen
0052ZZ,1,DA,Oplegger
0053WS,1,DC,Middenasaanhangwagen
0053ZZ,1,DA,Oplegger
0054DJ,1,AE,Cabriolet
0054WL,1,DC,Middenasaanhangwagen
0054ZZ,1,DA,Oplegger
0055WL,1,DC,Middenasaanhangwagen
0056FE,1,AA,Sedan
0056ZZ,1,DA,Oplegger
0057WT,1,DC,Middenasaanhangwagen
0058WS,1,DC,Middenasaanhangwagen
0058ZZ,1,DB,Autonome aanhangwagen
0059MB,1,BB,Bestelwagen
0059WT,1,DC,Middenasaanhangwagen
0059ZZ,1,DA,Oplegger
0060WK,1,DC,Middenasaanhangwagen
0060WL,1,DC,Middenasaanhangwagen
0060WS,1,DC,Middenasaanhangwagen
0060WU,1,DB,Autonome aanhangwagen
0060ZZ,1,DC,Middenasaanhangwagen
0061WN,1,DC,Middenasaanhangwagen
