OBJECTID,NAAM,ID,AANTAL,TARIEF,TIJD,INFO,SHAPESTArea,SHAPESTLength
1,Zijpendaalsweg,26033,,"3,40 euro per uur",ma/za 9-23 u zo 12-23 u ,BZ26033,6774.782216575,701.679368517102
2,Transvaalbuurt,26041,,"3,40 euro per uur",ma/za 9-23 u zo 12-23 u,BZ26041,90456.44709666,1484.40698813351
3,Utrechtseweg,26011,5,"2,25 euro per uur",ma/za 9-23 u zo 12-23 u,BZ26011,90.168607895,63.0160811107828
4,Burgermeesterswijk zuid,26031,,"3,40 euro per uur",ma/za 9-23 u zo 12-23 u,BZ26031,87299.316137405,1262.74771875887
5,Heijenoord,26021,,"3,40 euro per uur",ma/za 9-23 u zo 12-23 u,BZ26021,93648.7879078,1308.40370953109
6,Sonsbeeksingel Hommelseweg,26051,,"2,25 euro per uur",ma/za 9-18 u,BZ26051,2735.22134699,489.46428365337
7,Ir.J.P. van Muijlwijkstraat-Hommestraat,26061,,"2,25 euro per uur",ma/za 9-23 u zo 12-23 u,BZ26061,8470.52928491,703.307399469595
8,Van Lawick van Papststraat,26034,,"2,25 euro per uur",ma/za 9-23 u zo 12-23 u,BZ26034,105.23389582,47.3746146172396
9,Bloemstraat,26061,,"2,25 euro per uur",ma/za 9-23 u zo 12-23 u,BZ26061,93.917167625,46.6182321351186
10,Spijkerkwartier,26071,,"2,25 euro per uur",ma/za 9-23 u zo 12-23 u,BZ26071,426029.9697885,3990.53547993248
11,Van Verschuerwijk-Nieuwe Kadekwartier,26082,,"2,25 euro per uur",ma/vr 9-18 u,BZ26082,205276.30613923,2021.39503192189
12,Cattepoelseweg,26099,6,"2,25 euro per uur",ma/za 9-23 u zo 12-23 u,BZ26099,96.375263725,77.4153671694761
13,Steenstraat Velperbuitensingel,26075,,"3,40 euro per uur",ma/za 9-23 u zo 12-23 u,BZ26075,15623.954772325,1438.91475376877
14,Veilingstraat,26082,,"2,25 euro per uur",ma/za 9-18 u,BZ26082,1610.927497765,299.950745363155
15,van Lawick van Pabststraat,26034,8,"2,25 euro per uur",ma/za 9-18 u,BZ26034,107.36336046,133.395836082292
16,Sonsbeeksingel,26052,,"2,25 euro per uur ",ma/za 9-18 u (max. 30 min. parkeren),BZ26052,1038.36429196,186.350500185142
17,Spijkerlaan,26073,,"2,25 euro per uur",ma/za 9-23 u zo 12-23 u (max. 30 min. parkeren),BZ26072,27.662952725,24.8856361651064
18,Centrum,26001,,"3,40 euro per uur",ma/za 9-23 u zo 12-23 u,BZ26001,913419.53484088,4163.52792448968
19,Centrum Markt,26095,4,"3,40 euro per uur (alleen betalen via de app)",ma/za 9-23 u zo 12-23 u,max. 30 min. Shop & Go,49.99973546,53.9998790232226
20,Centrum Rodenburgstraat,26094,3,"3,40 euro per uur (alleen betalen via de app)",ma/za 9-23 u zo 12-23 u,max. 30 min. Shop & Go,35.99963712,40.0000300840557
21,Centrum Langstraat,26093,3,"3,40 euro per uur (alleen betalen via de app)",ma/za 9-23 u zo 12-23 u,max. 30 min. Shop & Go,33.94057144,37.9048729471638
22,Centrum Beekstraat,26096,4,"3,40 euro per uur (alleen betalen via de app)",ma/za 9-23 u zo 12-23 u,max. 30 min. Shop & Go,45.00097962,49.0001099175375
23,Centrum Roermondsplein,26092,3,"3,40 euro per uur (alleen betalen via de app)",ma/za 9-23 u zo 12-23 u,max. 30 min. Shop & Go,37.500234585,25.0001025013488
24,Cenrtum Jansbinnensingel,26097,4,"3,40 euro per uur (alleen betalen via de app)",ma/za 9-23 u zo 12-23 u,max. 30 min. Shop & Go,44.32802989,51.5345567076091
