"month","avg_response_time_p1","avg_response_time_all_other"
"January","3.81","6.97"
"February","3.76","7.19"
"March","3.36","6.75"
"April","3.87","6.92"
"May","3.95","6.86"
"June","3.88","6.9"
"July","4.08","6.77"
"August","3.85","7.06"
"September",,
"October",,
"November",,
"December",,
