"month","violent_crime","property_crime","avg_response_time_p1","avg_response_time_all_other"
"January","44","380","3.81","6.97"
"February","40","292","3.76","7.19"
"March","30","341","3.36","6.75"
"April","43","387","3.87","6.92"
"May","24","397","3.95","6.86"
"June","34","391","3.88","6.9"
"July","34","412","4.08","6.77"
"August","51","402","3.85","7.06"
"September",,,,
"October",,,,
"November",,,,
"December",,,,
