"year","annual_revenues"
"2003-01-01T00:00:00.000","471388.00"
"2004-01-01T00:00:00.000","676555.00"
"2005-01-01T00:00:00.000","883815.00"
"2006-01-01T00:00:00.000","910932.00"
"2007-01-01T00:00:00.000","1194834.00"
"2008-01-01T00:00:00.000","1483894.00"
"2009-01-01T00:00:00.000","1642986.00"
"2010-01-01T00:00:00.000","1928144.00"
"2011-01-01T00:00:00.000","2200456.00"
"2012-01-01T00:00:00.000","2604286.00"
"2013-01-01T00:00:00.000","2644247.00"
"2014-01-01T00:00:00.000","2364370.00"
"2015-01-01T00:00:00.000","2183279.00"
"2016-01-01T00:00:00.000","2989607.00"
"2017-01-01T00:00:00.000","3121677.00"
"2018-01-01T00:00:00.000","3747444.00"
"2019-01-01T00:00:00.000","4134975.00"
"2020-01-01T00:00:00.000","4450734.00"
"2021-01-01T00:00:00.000","4735048.00"
