"fiscal_year","buildingcode","buildingname","districtcode","districtname","isdcode","isdname","entitytype","status","school_emphasis","setting","phonenumber","address_line_1","zip_code","school_type","school_level","locale_name","county_name","unique_id","attribute","url"
"2015","1684","12th Street Elementary","39140","Portage Public Schools","39","Kalamazoo RESA","LEA School","Open-Active","General Education","Multiple Settings","2693236900","6501 SOUTH 12TH ST","49024","General Education","Elementary","City: Small","Kalamazoo","1","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9391","54th Street Academy","41140","Kelloggsville Public Schools","41","Kent ISD","LEA School","Open-Active","Alternative Education","Multiple Settings","6165317433","173 54TH ST SW","49548","Alternative Education","High School","Not Specified","Kent","2","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","1272","A. Philip Randolph Technical High School","82010","Detroit City School District","82","Wayne RESA","LEA School","Open-Active","General Education","Multiple Settings","3134947100","17101 HUBBELL ST","48235","General Education","High School","Not Specified","Wayne","3","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","4491","A.A. Rather School","34010","Ionia Public Schools","34","Ionia ISD","LEA School","Open-Active","General Education","Multiple Settings","6165271720","380 EAST TUTTLE RD","48846","General Education","Elementary","Town: Distant","Ionia","4","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","1647","A.C. Edgerton Elementary School","25150","Clio Area School District","25","Genesee ISD","LEA School","Open-Active","General Education","Multiple Settings","8105917650","11218 NORTH LINDEN RD","48420","General Education","Elementary","Rural: Fringe","Genesee","5","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","A.D. Johnston Jr/Sr High School","27010","Bessemer Area School District","27","Gogebic-Ontonagon ISD","LEA School","Open-Active","General Education","Multiple Settings","9066670413","100 WEST LEAD ST","49911","General Education","Middle_High School","Rural: Distant","Gogebic","6","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","1115","A.I.M.","29040","Breckenridge Community Schools","29","Gratiot-Isabella RESD","LEA School","Open-Active","Alternative Education","Multiple Settings","9898423182","700 WRIGHT ST","48615","Alternative Education","Middle_High School","Rural: Distant","Gratiot","7","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","3541","A+ English Language School","33170","Okemos Public Schools","33","Ingham ISD","LEA Unique Education Provider","Open-Active","General Education","Adult Education","5173378353","1120 S HARRISON RD","48823","General Education","Other","Not Specified","Ingham","8","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9727","Abbot School","81010","Ann Arbor Public Schools","81","Washtenaw ISD","LEA School","Open-Active","General Education","Multiple Settings","7349941901","2670 SEQUOIA PKWY","48103","General Education","Elementary","City: Midsize","Washtenaw","9","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Abbott Middle School","63160","West Bloomfield School District","63","Oakland Schools","LEA School","Open-Active","General Education","Multiple Settings","2488653670","3380 ORCHARD LAKE RD","48324","General Education","Middle School","Suburb: Large","Oakland","10","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","467","Aberdeen Elementary School","41010","Grand Rapids Public Schools","41","Kent ISD","LEA School","Open-Active","General Education","Multiple Settings","6168192867","928 Aberdeen St NE","49505","General Education","Elem_Middle School","Not Specified","Kent","11","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","8847","Academic and Career Education Academy","56903","Academic and Career Education Academy","56","Midland County Educational Service Agency","PSA School","Open-Active","Alternative Education","Multiple Settings","9896315202","884 EAST ISABELLA RD","48640","Alternative Education","High School","Rural: Fringe","Midland","12","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9931","Academy for Business and Technology","82921","Academy for Business and Technology","82","Wayne RESA","PSA District","Open-Active",,,"3133823422","19625 WOOD ST","48122",,"Elem thru High School","Suburb: Large","Wayne","13","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
