"area_type","area_name","year","quarter","industry_name","standard_occupational_code","occupational_title","wage_type","number_of_employed","mean_wage","_10th_percentile_wage","_25th_percentile_wage","_50th_percentile_median_wage","_75th_percentile_wage","_90th_percentile_wage","mean_relative_standard_error_for_wage"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","132011","Accountants and Auditors","Annual wage or salary","1300","81498.3","50264.49","62900.12","78326.51","97789.72","123308.14","1.2"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","132011","Accountants and Auditors","Hourly wage","1300","39.18","24.17","30.23","37.66","47.01","59.29","1.2"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","113012","Administrative Services Managers","Annual wage or salary","300","106666.58","59470.89","69943.95","99169.65","131134.61","172542.83","2.2"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","113012","Administrative Services Managers","Hourly wage","300","51.28","28.59","33.62","47.68","63.04","82.95","2.2"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","253011","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Annual wage or salary",,"89229.95","78745.72","78745.72","78756.08","99838.5","125344.62","8.8"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","253011","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Hourly wage",,"42.9","37.86","37.86","37.87","48","60.26","8.8"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","413011","Advertising Sales Agents","Annual wage or salary","50","66248.19","37936.46","39467.67","50779.86","78008.29","104747.14","5"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","413011","Advertising Sales Agents","Hourly wage","50","31.85","18.24","18.98","24.42","37.51","50.36","5"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","452091","Agricultural Equipment Operators","Annual wage or salary","200","37496.84","30810.56","31460.62","37517.48","39467.65","44987.96","1.7"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","452091","Agricultural Equipment Operators","Hourly wage","200","18.03","14.82","15.13","18.04","18.98","21.63","1.7"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","452011","Agricultural Inspectors","Annual wage or salary","50","65552.41","44379.18","53882.37","65975.46","78440.01","85105.66","1.3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","452011","Agricultural Inspectors","Hourly wage","50","31.51","21.34","25.91","31.72","37.71","40.91","1.3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","194012","Agricultural Technicians","Annual wage or salary","40","59144.76","36756.98","38683.92","48919.52","62418.49","79274.07","11.7"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","194012","Agricultural Technicians","Hourly wage","40","28.44","17.67","18.6","23.52","30.01","38.11","11.7"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","452099","Agricultural Workers, All Other","Annual wage or salary","70","41510.68","30655.79","30666.1","31594.75","61074.25","62601.36","13.3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","452099","Agricultural Workers, All Other","Hourly wage","70","19.96","14.74","14.74","15.19","29.37","30.1","13.3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","493011","Aircraft Mechanics and Service Technicians","Annual wage or salary","60","68867.05","48088.11","60890.25","68515.74","78683.06","93169.42","3.4"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","493011","Aircraft Mechanics and Service Technicians","Hourly wage","60","33.11","23.12","29.27","32.94","37.83","44.79","3.4"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","393091","Amusement and Recreation Attendants","Annual wage or salary","280","32152.26","31043.56","31043.56","31160.82","31683.19","36192.61","0.6"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","393091","Amusement and Recreation Attendants","Hourly wage","280","15.46","14.92","14.92","14.98","15.23","17.4","0.6"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","392021","Animal Caretakers","Annual wage or salary","270","35115.89","31043.56","31438","31715.17","32973.12","41128.45","1.7"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","392021","Animal Caretakers","Hourly wage","270","16.89","14.92","15.12","15.24","15.85","19.78","1.7"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","339011","Animal Control Workers","Annual wage or salary","10","56159.84","50125.96","53228.19","53228.19","63739.5","68195.62","1.3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","339011","Animal Control Workers","Hourly wage","10","27","24.09","25.6","25.6","30.64","32.78","1.3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","392011","Animal Trainers","Annual wage or salary","20","41832.05","31288.75","31949.71","39966.45","52130.15","52130.15","8.4"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","392011","Animal Trainers","Hourly wage","20","20.12","15.04","15.36","19.22","25.06","25.06","8.4"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","171011","Architects, Except Landscape and Naval","Annual wage or salary","40","93083.84","62729.29","66179.14","83034.72","105339.62","131508.76","3.3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","171011","Architects, Except Landscape and Naval","Hourly wage","40","44.75","30.16","31.82","39.92","50.65","63.23","3.3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","173011","Architectural and Civil Drafters","Annual wage or salary","120","63154.04","38228.09","49427.16","62273.45","78352.04","99952.46","3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","173011","Architectural and Civil Drafters","Hourly wage","120","30.36","18.38","23.77","29.94","37.67","48.05","3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","119041","Architectural and Engineering Managers","Annual wage or salary","150","151390.76","98963.69","106831.35","143337.73","173418.16","214012.83","1.4"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","119041","Architectural and Engineering Managers","Hourly wage","150","72.79","47.58","51.36","68.91","83.37","102.89","1.4"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","170000","Architecture and Engineering Occupations","Annual wage or salary","1880","89623.63","44558","62988.29","81843.33","114114.47","133249.23","1"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","170000","Architecture and Engineering Occupations","Hourly wage","1880","43.09","21.42","30.28","39.35","54.87","64.07","1"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","271011","Art Directors","Annual wage or salary","20","94057.67","50514.95","65920.14","95767.06","110395.26","133031.67","7.7"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","271011","Art Directors","Hourly wage","20","45.22","24.28","31.69","46.04","53.07","63.95","7.7"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","270000","Arts, Design, Entertainment, Sports, and Media Occupations","Annual wage or salary","1560","57528.61","30965.79","37326.77","47303.37","67194.41","98419.2","2.3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","270000","Arts, Design, Entertainment, Sports, and Media Occupations","Hourly wage","1560","27.66","14.89","17.94","22.74","32.3","47.31","2.3"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","536031","Automotive and Watercraft Service Attendants","Annual wage or salary","140","34628.19","31088.7","31246.24","31876.42","36865.32","39028.92","0.8"
"Metropolitan Area","Stockton-Lodi MSA","2022","1st Qrt","Total, All Industries","536031","Automotive and Watercraft Service Attendants","Hourly wage","140","16.65","14.95","15.03","15.32","17.73","18.76","0.8"
