Report_No,Reported_Date,Reported Time,From_Date,From Time,To_Date,To Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
140037989,06/20/2014 12:00:00 AM,10:03,,,,,702,240,Auto Theft,,,,,,,U,2,VIC,B,M,47,,,,,
140037989,06/20/2014 12:00:00 AM,10:03,,,,,702,240,Auto Theft,,,,,,,U,1,VIC,B,F,,,,,,
140044040,06/25/2014 12:00:00 AM,11:02,06/25/2014 12:00:00 AM,10:20,,,702,240,Auto Theft,334,4500  NORTON AV,KANSAS CITY,64130,PJ3798,EPD,U,1,SUS,B,M,,"4500 NORTON AV
KANSAS CITY 64130
(39.043914268, -94.536915654)",230,3,7,157
140044098,06/25/2014 12:00:00 AM,12:32,06/25/2014 12:00:00 AM,11:42,,,702,240,Auto Theft,334,4300  MERSINGTON AV,KANSAS CITY,,PJ3535,EPD,U,1,SUS,U,U,,"4300 MERSINGTON AV
(39.047612415, -94.539038457)",40,3,7,157
140010214,02/14/2014 12:00:00 AM,0:36,02/14/2014 12:00:00 AM,0:36,,,702,240,Auto Theft,121,1900  INDEPENDENCE AV,KANSAS CITY,64124,PJ0544,CPD,U,1,VIC,B,M,26,"1900 INDEPENDENCE AV
KANSAS CITY 64124
(39.106607545, -94.558329264)",135,3,7,70
140026124,04/19/2014 12:00:00 AM,3:29,04/19/2014 12:00:00 AM,3:29,,,702,240,Auto Theft,221,E 54 ST/OAK ST,KANSAS CITY,64110,PJ4233,MPD,U,1,VIC,B,F,52,"54 ST OAK ST
KANSAS CITY 64110
(39.035987555, -94.57321712)",1,2,7,165
140012511,02/24/2014 12:00:00 AM,11:58,02/24/2014 12:00:00 AM,8:45,,,702,240,Auto Theft,412,600  NW 68 ST,KANSAS CITY,64119,PC0599,NPD,U,1,VIC,W,M,30,"600 NW 68 ST
KANSAS CITY 64119
(39.21742381, -94.587994549)",225,5,4,154
140058228,08/16/2014 12:00:00 AM,15:02,,,,,702,240,Auto Theft,632,3100  NE 37 ST,KANSAS CITY,,PC1356,SCP,U,1,SUS,U,U,,"3100 NE 37 ST
(39.161510641, -94.54416514)",88,6,4,166
140011875,02/21/2014 12:00:00 AM,13:32,02/21/2014 12:00:00 AM,13:32,,,702,240,Auto Theft,312,700  DITMAN AV,KANSAS CITY,,PJ0925,EPD,U,1,SUS,W,M,36,"700 DITMAN AV
(39.102081382, -94.480795677)",207,4,7,125
140043762,06/24/2014 12:00:00 AM,22:08,06/24/2014 12:00:00 AM,22:08,,,702,240,Auto Theft,232,E 67 ST/PASEO,KANSAS CITY,64132,PJ5086,MPD,U,1,SUS,U,U,,"67 ST
PASEO KANSAS CITY 64132
(38.986858578, -94.552169913)",93,2,7,151
