"timestamp","name_of_shelter","date_of_shelter_bed","current_bed_availability_mal","current_bed_availability_fem","current_room_availability_fam","current_bed_availability_unaccyouth","current_bed_availability_lgbtq","current_bed_availability_for_transitional_youth","current_bed_availability_for_domestic_violence_survivors"
"2021-11-16T14:41:36.000","ReStart","2021-11-16T00:00:00.000","0","0","0","0","0",,
"2021-11-16T14:44:17.000","City Union Mission","2021-11-16T00:00:00.000","200","7","2",,,,
"2021-11-16T14:44:36.000","Lion House","2021-11-16T00:00:00.000",,,,,"18",,
"2021-11-16T14:45:42.000","ShelterKC","2021-11-16T00:00:00.000","10",,,,,,
"2021-11-17T11:31:39.000","City Union Mission","2021-11-17T00:00:00.000","89",,"1",,,,
"2021-11-17T11:33:12.000","ShelterKC","2021-11-17T00:00:00.000","12",,,,,,
"2021-11-17T11:33:38.000","Lion House","2021-11-17T00:00:00.000",,,,,"16",,
"2021-11-17T12:21:46.000","ReStart","2021-11-17T00:00:00.000","3",,,,,,
"2021-11-18T07:07:59.000","ShelterKC","2021-11-18T00:00:00.000","11",,,,,,
"2021-11-18T11:09:55.000","ReStart","2021-11-18T00:00:00.000","3","3",,,,,
"2021-11-18T15:42:34.000","City Union Mission","2021-11-18T00:00:00.000","150","2","1",,,,
"2021-11-18T15:42:55.000","Lion House","2021-11-18T00:00:00.000",,,,,"15",,
"2021-11-19T10:22:05.000","ReStart","2021-11-19T00:00:00.000","1","1","0","2","0",,
"2021-11-19T11:22:40.000","City Union Mission","2021-11-19T00:00:00.000","76",,"2",,,,
"2021-11-19T11:23:12.000","Lion House","2021-11-19T00:00:00.000",,,,,"14",,
"2021-11-19T11:59:21.000","ShelterKC","2021-11-19T00:00:00.000","14","0","0","0","0",,
"2021-11-19T17:26:27.000","PrideHaven","2021-11-19T00:00:00.000",,,,,,"3",
"2021-11-20T09:36:41.000","City Union Mission","2021-11-20T00:00:00.000","81","0","1","0","0","0",
"2021-11-20T12:38:30.000","PrideHaven","2021-11-20T00:00:00.000",,,,,,"3",
"2021-11-21T10:11:51.000","City Union Mission","2021-11-21T00:00:00.000","83","6","1","0","0","0",
"2021-11-22T09:25:59.000","City Union Mission","2021-11-22T00:00:00.000","89","3","0","0","0","0",
"2021-11-22T10:51:04.000","PrideHaven","2021-11-22T00:00:00.000",,,,,,"3",
"2021-11-22T10:56:17.000","ShelterKC","2021-11-22T00:00:00.000","10","0","0","0","0","0",
"2021-11-22T12:12:59.000","Hope House","2021-11-22T00:00:00.000",,,,,,,"1"
"2021-11-22T15:19:01.000","Lion House","2021-11-22T00:00:00.000",,,,,"12",,
"2021-11-23T10:39:34.000","City Union Mission","2021-11-23T00:00:00.000","86","2","0","0","0","0","0"
"2021-11-23T11:18:57.000","ReStart","2021-11-23T00:00:00.000","0","0","2",,"0","2","0"
"2021-11-23T11:27:05.000","ShelterKC","2021-11-23T00:00:00.000","3","0","0","0","0","0","0"
"2021-11-23T12:27:40.000","Hope House","2021-11-23T00:00:00.000",,,,,,,"1"
"2021-11-23T16:44:26.000","PrideHaven","2021-11-23T00:00:00.000",,,,,,"4",
"2021-11-23T18:24:04.000","Lion House","2021-11-23T00:00:00.000",,,,,"12",,
"2021-11-24T08:08:21.000","ShelterKC","2021-11-24T00:00:00.000","2","0","0","0",,"0","0"
"2021-11-24T08:11:18.000","PrideHaven","2021-11-24T00:00:00.000",,,,,,"4",
"2021-11-24T09:59:22.000","Hope House","2021-11-24T00:00:00.000",,,,,,,"2"
"2021-11-24T21:18:24.000","Lion House","2021-11-24T00:00:00.000",,,,,"12",,
"2021-11-25T07:28:09.000","PrideHaven","2021-11-25T00:00:00.000",,,,,,"5",
"2021-11-25T07:52:32.000","ShelterKC","2021-11-25T00:00:00.000","4","0","0","0",,,"0"
"2021-11-25T10:30:04.000","Lion House","2021-11-25T00:00:00.000",,,,,"12",,
"2021-11-25T10:47:57.000","Hope House","2021-11-25T00:00:00.000",,,,,,,"3"
