Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Firearm Used Flag,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
160002616,01/11/2016 12:00:00 AM,13:54,01/11/2016 12:00:00 AM,13:54,,,401,13A,Aggravated Assault (,341,E 23 ST and OAKLEY AV,KANSAS CITY,64127,PJ1900,EPD,U,2,VIC,W,M,43,Y,"23 ST and OAKLEY AV
KANSAS CITY 64127
(39.0956, -94.5483)",54,3,7,95
160002616,01/11/2016 12:00:00 AM,13:54,01/11/2016 12:00:00 AM,13:54,,,401,13A,Aggravated Assault (,341,E 23 ST and OAKLEY AV,KANSAS CITY,64127,PJ1900,EPD,U,1,VIC,W,M,35,Y,"23 ST and OAKLEY AV
KANSAS CITY 64127
(39.0956, -94.5483)",54,3,7,95
160002740,01/11/2016 12:00:00 AM,23:07,01/11/2016 12:00:00 AM,23:07,,,401,13A,Aggravated Assault (,343,5200  E 28 TE,KANSAS CITY,64127,PJ2394,EPD,N,1,VIC,B,M,35,Y,"5200 E 28
TE KANSAS CITY 64127
(39.0733, -94.5229)",107,3,7,36
160002616,01/11/2016 12:00:00 AM,13:54,01/11/2016 12:00:00 AM,13:54,,,401,13A,Aggravated Assault (,341,E 23 ST and OAKLEY AV,KANSAS CITY,64127,PJ1900,EPD,U,3,VIC,W,M,18,Y,"23 ST and OAKLEY AV
KANSAS CITY 64127
(39.0956, -94.5483)",54,3,7,95
160005683,01/24/2016 12:00:00 AM,5:01,01/24/2016 12:00:00 AM,4:30,,,402,13A,Agg Assault - Drive-,343,4500  E LINWOOD BL,KANSAS CITY,64128,PJ2688,EPD,N,1,VIC,B,M,23,Y,"4500 E LINWOOD
BL KANSAS CITY 64128
(39.0674, -94.531)",208,3,7,36
160005683,01/24/2016 12:00:00 AM,5:01,01/24/2016 12:00:00 AM,4:30,,,402,13A,Agg Assault - Drive-,343,4500  E LINWOOD BL,KANSAS CITY,64128,PJ2688,EPD,N,2,VIC,B,F,48,Y,"4500 E LINWOOD
BL KANSAS CITY 64128
(39.0674, -94.531)",208,3,7,36
160006127,01/25/2016 12:00:00 AM,23:48,01/25/2016 12:00:00 AM,23:48,,,401,13A,Aggravated Assault (,341,5400  E TRUMAN RD,KANSAS CITY,64127,PJ1426,EPD,N,1,VIC,B,M,47,Y,"5400 E TRUMAN RD
KANSAS CITY 64127
(39.0949, -94.5187)",140,3,7,95
160007366,01/30/2016 12:00:00 AM,13:27,01/30/2016 12:00:00 AM,13:27,,,401,13A,Aggravated Assault (,341,5800  E 21 ST,KANSAS CITY,64128,PJ1839,EPD,U,1,VIC,B,F,18,Y,"5800 E 21 ST
KANSAS CITY 64128
(39.0856, -94.5146)",6,3,7,94
160007366,01/30/2016 12:00:00 AM,13:27,01/30/2016 12:00:00 AM,13:27,,,401,13A,Aggravated Assault (,341,5800  E 21 ST,KANSAS CITY,64128,PJ1839,EPD,U,3,VIC,B,M,18,Y,"5800 E 21 ST
KANSAS CITY 64128
(39.0856, -94.5146)",6,3,7,94
160007366,01/30/2016 12:00:00 AM,13:27,01/30/2016 12:00:00 AM,13:27,,,401,13A,Aggravated Assault (,341,5800  E 21 ST,KANSAS CITY,64128,PJ1839,EPD,U,5,VIC,B,M,,Y,"5800 E 21 ST
KANSAS CITY 64128
(39.0856, -94.5146)",6,3,7,94
160007366,01/30/2016 12:00:00 AM,13:27,01/30/2016 12:00:00 AM,13:27,,,401,13A,Aggravated Assault (,341,5800  E 21 ST,KANSAS CITY,64128,PJ1839,EPD,U,4,VIC,B,F,17,Y,"5800 E 21 ST
KANSAS CITY 64128
(39.0856, -94.5146)",6,3,7,94
160007366,01/30/2016 12:00:00 AM,13:27,01/30/2016 12:00:00 AM,13:27,,,401,13A,Aggravated Assault (,341,5800  E 21 ST,KANSAS CITY,64128,PJ1839,EPD,U,2,VIC,B,F,18,Y,"5800 E 21 ST
KANSAS CITY 64128
(39.0856, -94.5146)",6,3,7,94
160007366,01/30/2016 12:00:00 AM,13:27,01/30/2016 12:00:00 AM,13:27,,,401,13A,Aggravated Assault (,341,5800  E 21 ST,KANSAS CITY,64128,PJ1839,EPD,U,6,VIC,B,M,,Y,"5800 E 21 ST
KANSAS CITY 64128
(39.0856, -94.5146)",6,3,7,94
160007928,02/01/2016 12:00:00 AM,19:34,02/01/2016 12:00:00 AM,19:30,,,401,13A,Aggravated Assault (,341,6700  E 18 ST ,KANSAS CITY,64127,PJ1660,EPD,U,1,VIC,W,F,30,Y,"6700 E 18 ST
KANSAS CITY 64127
(39.0883, -94.5046)",83,3,7,94
160008600,02/04/2016 12:00:00 AM,12:29,02/04/2016 12:00:00 AM,12:25,,,401,13A,Aggravated Assault (,341,6600  E TRUMAN RD,KANSAS CITY,64127,PJ1445,EPD,U,1,VIC,B,M,47,Y,"6600 E TRUMAN RD
KANSAS CITY 64127
(39.0938, -94.5054)",83,3,7,94
160011059,02/15/2016 12:00:00 AM,15:38,02/15/2016 12:00:00 AM,15:38,,,401,13A,Aggravated Assault (,341,5849 1 and 2 E 19 TER,KANSAS CITY,64126,PJ1839,EPD,U,1,VIC,U,U,,Y,"5849 1 and 2 E 19 TER
KANSAS CITY 64126
(39.0938, -94.5069)",83,3,7,94
160011059,02/15/2016 12:00:00 AM,15:38,02/15/2016 12:00:00 AM,15:38,,,401,13A,Aggravated Assault (,341,5849 1 and 2 E 19 TER,KANSAS CITY,64126,PJ1839,EPD,U,2,VIC,,,,Y,"5849 1 and 2 E 19 TER
KANSAS CITY 64126
(39.0938, -94.5069)",83,3,7,94
160012706,02/22/2016 12:00:00 AM,0:34,02/22/2016 12:00:00 AM,0:34,,,401,13A,Aggravated Assault (,343,4900  LINWOOD WEST DR,KANSAS CITY,64128,PJ2594,EPD,N,1,VIC,B,M,44,Y,"4900 LINWOOD WEST DR
KANSAS CITY 64128
(39.0676, -94.5267)",208,3,7,36
160013126,02/23/2016 12:00:00 AM,18:11,02/23/2016 12:00:00 AM,18:11,,,401,13A,Aggravated Assault (,341,6000  E 15 TE,KANSAS CITY,64126,PJ1474,EPD,U,1,VIC,W,M,18,Y,"6000 E 15
TE KANSAS CITY 64126
(39.093, -94.5124)",140,3,7,94
160014071,02/27/2016 12:00:00 AM,15:50,02/27/2016 12:00:00 AM,15:50,,,401,13A,Aggravated Assault (,343,2800  WENZEL AV,KANSAS CITY,64128,PJ2348,EPD,U,2,VIC,W,F,43,Y,"2800 WENZEL AV
KANSAS CITY 64128
(39.0746, -94.5326)",107,3,7,36
160014071,02/27/2016 12:00:00 AM,15:50,02/27/2016 12:00:00 AM,15:50,,,401,13A,Aggravated Assault (,343,2800  WENZEL AV,KANSAS CITY,64128,PJ2348,EPD,U,3,VIC,W,F,27,Y,"2800 WENZEL AV
KANSAS CITY 64128
(39.0746, -94.5326)",107,3,7,36
160014071,02/27/2016 12:00:00 AM,15:50,02/27/2016 12:00:00 AM,15:50,,,401,13A,Aggravated Assault (,343,2800  WENZEL AV,KANSAS CITY,64128,PJ2348,EPD,U,1,VIC,W,F,25,Y,"2800 WENZEL AV
KANSAS CITY 64128
(39.0746, -94.5326)",107,3,7,36
160014071,02/27/2016 12:00:00 AM,15:50,02/27/2016 12:00:00 AM,15:50,,,401,13A,Aggravated Assault (,343,2800  WENZEL AV,KANSAS CITY,64128,PJ2348,EPD,U,4,VIC,W,F,20,Y,"2800 WENZEL AV
KANSAS CITY 64128
(39.0746, -94.5326)",107,3,7,36
160014848,03/01/2016 12:00:00 AM,16:09,03/01/2016 12:00:00 AM,16:09,,,401,13A,Aggravated Assault (,343,2900  VAN BRUNT BL,KANSAS CITY,64127,PJ2423,EPD,N,1,VIC,B,M,47,Y,"2900 VAN
BRUNT BL KANSAS CITY 64127
(39.0724, -94.5208)",107,3,7,36
160016160,03/07/2016 12:00:00 AM,3:27,03/07/2016 12:00:00 AM,3:25,,,402,13A,Agg Assault - Drive-,341,1200  EWING AV,KANSAS CITY,64126,PJ1302,EPD,U,2,VIC,W,F,37,Y,"1200 EWING AV
KANSAS CITY 64126
(39.0972, -94.5034)",83,3,7,94
160016160,03/07/2016 12:00:00 AM,3:27,03/07/2016 12:00:00 AM,3:25,,,402,13A,Agg Assault - Drive-,341,1200  EWING AV,KANSAS CITY,64126,PJ1302,EPD,U,6,VIC,W,M,19,Y,"1200 EWING AV
KANSAS CITY 64126
(39.0972, -94.5034)",83,3,7,94
160016160,03/07/2016 12:00:00 AM,3:27,03/07/2016 12:00:00 AM,3:25,,,402,13A,Agg Assault - Drive-,341,1200  EWING AV,KANSAS CITY,64126,PJ1302,EPD,U,4,VIC,W,F,,Y,"1200 EWING AV
KANSAS CITY 64126
(39.0972, -94.5034)",83,3,7,94
