"name","link","category","created","updates","method","freq","uid","owner","notes","status"
"Vendor Payments Calendar Year 2014","http://data.kcmo.org/Budget/Vendor-Payments-Calendar-Year-2014/4mdg-usvj","Budget","2014-02-28T00:00:00.000","Yes","API","weekly","4mdg-usvj","milliecross","This is the current year link when the next calendar year begins, then 2014 will be uploaded mannually as a new dataset and 2015 will be the weekly upload.","Golden"
"KCMOPS311 Data","https://data.kcmo.org/311/KCMOPS311-Data/7at3-sxhp","311","2013-06-07T00:00:00.000","Yes","API","Daily","7at3-sxhp","John Wood",,"Golden"
"Business License Holders","http://data.kcmo.org/Business/Business-License-Holders/pnm4-68wg","Business","2013-11-13T00:00:00.000","Yes","Data Sync","weekly","pnm4-68wg","milliecross","currently on local machine, need to move to server","Golden"
"Dangerous Buildings List","http://data.kcmo.org/Property/Dangerous-Buildings-List/ax3m-jhxx","Property","2013-08-16T00:00:00.000","Yes","Data Sync","weekly","ax3m-jhxx","David Reynolds-Gier","currently on local machine, need to move to server","Golden"
"Daily Call Activity Report","http://data.kcmo.org/311/Daily-Call-Activity-Report/timy-j7ep","311","2013-10-07T00:00:00.000","Yes","Form","Weekdays","timy-j7ep","Margaret Scherschel",,"Golden"
"KCPD Crime Data 2014","http://data.kcmo.org/Crime/KCPD-Crime-Data-2014/yu5f-iqbp","Crime","2013-05-10T00:00:00.000","Yes","manual","weekly","yu5f-iqbp","milliecross","working on Data Sync",
"Tow Data","http://data.kcmo.org/dataset/Tow-Data/677u-kypq",,"2014-02-21T00:00:00.000","Yes","manual","weekly","677u-kypq","milliecross",,
"KCMO Food Permits","https://data.kcmo.org/Food/KCMO-Food-Permits/sz9c-c5ux","Food","2013-04-29T00:00:00.000","Yes","manual","monthly","sz9c-c5ux","milliecross","Data Manager with Rebbeca Steiner",
"KCMO Warning Siren Addresses","http://data.kcmo.org/dataset/KCMO-Warning-Siren-Addresses/v5qv-y8n3",,"2013-11-25T00:00:00.000","Yes","manual","as needed","v5qv-y8n3","milliecross","Data Manager & EOC",
"Building Codes Interpretations","http://data.kcmo.org/Code-Interpretations/Building-Codes-Interpretations/8yxd-ey3w","Code Interpretations","2013-11-20T00:00:00.000","Yes","manual","as needed","8yxd-ey3w","vwilliams","confirm with Vanessa",
"AED Registered Locations","http://data.kcmo.org/Emergency/AED-Registered-Locations/venv-tfiu","Emergency","2013-11-27T00:00:00.000","Yes","manual","as needed","venv-tfiu","mendy hull","Data Manager",
"Flood Alarm Locations","http://data.kcmo.org/Emergency/Flood-Alarm-Locations/87s6-thxr","Emergency","2013-12-11T00:00:00.000","Yes","manual","as needed","87s6-thxr","milliecross","Data Manager & James Walton",
"Causes Of Death In KCMO 2007-2011 By Year (Transposed)","http://data.kcmo.org/Health/Causes-Of-Death-In-KCMO-2007-2011-By-Year-Transpos/5m7k-9svz","Health","2014-03-05T00:00:00.000","Yes","manual","as needed","5m7k-9svz","juliesteenson","Data Manager & Performance Mgt",
"Lead Safe Completed Homes","http://data.kcmo.org/Health/Lead-Safe-Completed-Homes/7dkp-av4f","Health","2013-03-21T00:00:00.000","Yes","manual","as needed","7dkp-av4f","milliecross","Data Manager with Health",
"Current Line Item Budget","https://data.kcmo.org/Budget/Current-Line-Item-Budget/57j6-gdqi?","Budget","2013-01-09T00:00:00.000","Yes","manual","annual","57j6-gdqi","Jose Gonzalez",,"Golden"
"2013 Community Partner Gardens","http://data.kcmo.org/Food/2013-Community-Partner-Gardens/rvpa-v4zz","Food","2013-03-27T00:00:00.000","Yes","manual","annual","rvpa-v4zz","milliecross","Data Manager contact KCCG",
"Farmers Markets","http://data.kcmo.org/Food/Farmers-Markets/cnj7-qyh4","Food","2013-03-27T00:00:00.000","Yes","manual","annual","cnj7-qyh4","milliecross","download list from State of Mo website",
"KCATA Bus Stops","http://data.kcmo.org/Transportation/KCATA-Bus-Stops/bd2s-bfst","Transportation","2013-04-23T00:00:00.000","Yes","manual","annual","bd2s-bfst","milliecross",,
"Traffic Counts at Signals","http://data.kcmo.org/Traffic/Traffic-Counts-at-Signals/s7kw-x59n","Traffic","2013-02-22T00:00:00.000","No ","manual",,"s7kw-x59n","milliecross",,
"Asbestos Related NOV's Issued 2013","http://data.kcmo.org/Health/Asbestos-Related-NOV-s-Issued-2013/afpq-ttmp","Health","2014-03-06T00:00:00.000","No","manual","as needed","afpq-ttmp","milliecross","check with Bart on freq/updating",
"Causes Of Death In KCMO 2007-2011","http://data.kcmo.org/Health/Causes-Of-Death-In-KCMO-2007-2011/7ax7-c9a6","Health","2014-03-05T00:00:00.000","No","manual","as needed","7ax7-c9a6","milliecross","check with Bart on freq/updating",
"KCMO Local Asbestos 2013","http://data.kcmo.org/Health/KCMO-Local-Asbestos-2013/sbme-4bbk","Health","2014-03-20T00:00:00.000","No","manual","as needed","sbme-4bbk","milliecross","check with Bart on freq/updating",
"KCMO NESHAP Asbestos 2013","http://data.kcmo.org/Health/KCMO-NESHAP-Asbestos-2013/hmqn-xcj8","Health","2014-03-20T00:00:00.000","No","manual","as needed","hmqn-xcj8","milliecross","check with Bart on freq/updating",
"Vendor Payments Calendar Year 2012 Final","http://data.kcmo.org/Budget/Vendor-Payments-Calendar-Year-2012-Final/9ejg-si83","Budget","2014-03-07T00:00:00.000","No","manual","1x historical","9ejg-si83","milliecross",,
"Vendor Payments Calendar Year 2013","http://data.kcmo.org/Budget/Vendor-Payments-Calendar-Year-2013/d3c4-b44c","Budget","2014-02-28T00:00:00.000","No","manual","1x historical","d3c4-b44c","milliecross",,
"Vendor Payments Calendar Year 2011","http://data.kcmo.org/Budget/Vendor-Payments-Calendar-Year-2011/rnsp-32g7","Budget","2014-03-07T00:00:00.000","No","manual","1x historical","rnsp-32g7","milliecross",,
"Vendor Payments Calendar Year 2010","http://data.kcmo.org/Budget/Vendor-Payments-Calendar-Year-2010/87p4-rcc7","Budget","2014-03-07T00:00:00.000","No","manual","1x historical","87p4-rcc7","milliecross",,
"1980 Census Detailed Census Tract Data","http://data.kcmo.org/Census/1980-Census-Detailed-Census-Tract-Data/7a8x-yc4j","Census","2012-12-13T00:00:00.000","No","manual","1x historical","7a8x-yc4j","Steve Lebofsky",,
"2010 Census/ACS Basic Block Group Data","http://data.kcmo.org/Census/2010-Census-ACS-Basic-Block-Group-Data/7pir-7yfx","Census","2013-01-28T00:00:00.000","No","manual","1x historical","7pir-7yfx","Steve Lebofsky",,
"2010 Census/ACS Detailed Block Group Data","http://data.kcmo.org/Census/2010-Census-ACS-Detailed-Block-Group-Data/9q2f-atb4","Census","2013-01-28T00:00:00.000","No","manual","1x historical","9q2f-atb4","Steve Lebofsky",,
"2010 Census/ACS Detailed Census Tract Data","http://data.kcmo.org/Census/2010-Census-ACS-Detailed-Census-Tract-Data/mhhc-rd9q","Census","2013-01-10T00:00:00.000","No","manual","1x historical","mhhc-rd9q","Steve Lebofsky",,
"2010 Census Basic Block Data","http://data.kcmo.org/Census/2010-Census-Basic-Block-Data/csch-sg3n","Census","2012-12-11T00:00:00.000","No","manual","1x historical","csch-sg3n","Steve Lebofsky",,
"2000 Census Detailed Census Tract Data","http://data.kcmo.org/Census/2000-Census-Detailed-Census-Tract-Data/2tkm-632q","Census","2012-12-13T00:00:00.000","No","manual","1x historical","2tkm-632q","Steve Lebofsky",,
"1990 Census Detailed Census Tract Data","http://data.kcmo.org/Census/1990-Census-Detailed-Census-Tract-Data/qzgt-pxeg","Census","2012-12-13T00:00:00.000","No","manual","1x historical","qzgt-pxeg","Steve Lebofsky",,
