"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code_1","rep_dist_1","area_1","dvflag_1","invl_no_1","involvement_1","race_1","sex_1","age_1","location_1","firearm_used_flag"
"140043299","2014-07-08T00:00:00.000","17:15",,,,,"301","120","Strong Arm Robbery",,,,,,,"U","2","SUS","B","F","17",,"N"
"140043299","2014-07-08T00:00:00.000","17:15",,,,,"301","120","Strong Arm Robbery",,,,,,,"U","3","SUS","B","F","18",,"N"
"140043299","2014-07-08T00:00:00.000","17:15",,,,,"301","120","Strong Arm Robbery",,,,,,,"U","3","VIC","B","F","18",,"N"
"140043299","2014-07-08T00:00:00.000","17:15",,,,,"301","120","Strong Arm Robbery",,,,,,,"U","1","SUS","B","F","19",,"N"
"140038847","2014-06-12T00:00:00.000","16:18","2014-06-10T00:00:00.000",,,,"501","220","Burglary - Residence",,,,,,,"U","2","VIC","B","F","20",,"N"
"140042258","2014-07-31T00:00:00.000","11:29",,,,,"501","220","Burglary - Residence",,,,,,,"U","1","SUS","W","F","23",,"N"
"130071252","2014-02-25T00:00:00.000","10:35",,,,,"2601","90Z","Misc Violation",,,,,,,"U","2","SUS","B","F","28",,"N"
"140043299","2014-07-08T00:00:00.000","17:15",,,,,"301","120","Strong Arm Robbery",,,,,,,"U","1","VIC","B","F","35",,"N"
"140042258","2014-07-31T00:00:00.000","11:29",,,,,"501","220","Burglary - Residence",,,,,,,"U","1","VIC","W","F","36",,"N"
"130071252","2014-02-25T00:00:00.000","10:35",,,,,"2601","90Z","Misc Violation",,,,,,,"U","1","SUS","B","M","42",,"N"
"140037989","2014-06-20T00:00:00.000","10:03",,,,,"702","240","Auto Theft",,,,,,,"U","2","VIC","B","M","47",,"N"
"130052956","2014-12-29T00:00:00.000","9:53",,,,,"1120","26A","Fraud/Confidence Gam",,,,,,,"U","1","SUS","W","F","51",,"N"
"140000748","2014-01-08T00:00:00.000","12:35",,,,,"101","09A","HOMICIDE/Non Neglige",,,,,,,"U","1","VIC","W","M","58",,"N"
"130052956","2014-12-29T00:00:00.000","9:53",,,,,"1120","26A","Fraud/Confidence Gam",,,,,,,"U","1","VIC",,,,,"N"
"140037989","2014-06-20T00:00:00.000","10:03",,,,,"702","240","Auto Theft",,,,,,,"U","1","VIC","B","F",,,"N"
"140004169","2014-01-18T00:00:00.000","19:19","2014-01-18T00:00:00.000","18:58",,,"1001","250","Forgery","115","2400  GRAND AV","KANSAS CITY","64108","PJ2003","CPD","U","1","VIC",,,,"2400 GRAND AV
KANSAS CITY,  64108
(39.083841233, -94.581737014)","N"
"140024077","2014-04-11T00:00:00.000","10:11","2014-04-11T00:00:00.000","10:10",,,"801","13B","Non Aggravated Assau","141","E 34 ST/TROOST AV","KANSAS CITY",,"PJ2706","CPD","U","2","VIC",,,,"34 ST TROOST AV
,  
(39.102950303, -94.583075872)","N"
"140044040","2014-06-25T00:00:00.000","11:02","2014-06-25T00:00:00.000","10:20",,,"702","240","Auto Theft","334","4500  NORTON AV","KANSAS CITY","64130","PJ3798","EPD","U","1","SUS","B","M",,"4500 NORTON AV
KANSAS CITY,  64130
(39.043914268, -94.536915654)","N"
"140044098","2014-06-25T00:00:00.000","12:32","2014-06-25T00:00:00.000","11:42",,,"702","240","Auto Theft","334","4300  MERSINGTON AV","KANSAS CITY",,"PJ3535","EPD","U","1","SUS","U","U",,"4300 MERSINGTON AV
,  
(39.047612415, -94.539038457)","N"
"140084665","2014-11-23T00:00:00.000","16:44","2014-11-23T00:00:00.000","16:30",,,"802","13B","Non Agg Assault Dome","342","10600  E 41 ST","KANSAS CITY",,"PJ3463","EPD","Y","1","ARR","B","M",,"10600 E 41 ST
,  
(39.048258298, -94.453218116)","N"
"140089493","2014-12-14T00:00:00.000","4:43","2014-12-14T00:00:00.000","4:20",,,"403","13A","Agg Assault - Domest","144","4200  PASEO","KANSAS CITY",,"PJ3410","CPD","Y","1","VIC","B","F","19","4200 PASEO
,  
(39.102950303, -94.583075872)","N"
"140067452","2014-09-19T00:00:00.000","8:37","2014-09-19T00:00:00.000","8:37",,,"2601","90Z","Misc Violation","545","8900  LONGVIEW RD","KANSAS CITY",,"PJ7287","SPD","U","1","SUS","U","U",,"8900 LONGVIEW RD
,  
(38.962451328, -94.484786029)","N"
"140066617","2014-09-13T00:00:00.000","17:00","2014-09-13T00:00:00.000","17:00",,,"630","23C","Stealing Shoplifting","113","00  E 13 ST","KANSAS CITY",,"PJ1087","CPD","U","1","SUS","W","M",,"00 E 13 ST
,  
(39.103732547, -94.643610746)","N"
"140092636","2014-12-27T00:00:00.000","14:17","2014-12-27T00:00:00.000","14:13",,,"1001","250","Forgery","999","3000  N 62 ST","KANSAS CITY",,"PWX001","OSPD","N","1","SUS","B","F",,"3000 N 62 ST
,  
(39.141633679, -94.721524358)","N"
"140071199","2014-10-02T00:00:00.000","20:30","2014-10-02T00:00:00.000","0:52","2014-10-02T00:00:00.000","8:30","690","280","Stealing All Other","134","500  NICHOLS RD","KANSAS CITY",,"PJ3736","CPD","U","1","SUS","U","U",,"500 NICHOLS RD
,  
(39.041357087, -94.593621515)","N"
"140036593","2014-06-01T00:00:00.000","14:00","2014-06-01T00:00:00.000","14:00",,,"2601","90Z","Misc Violation","112","1100  LOCUST ST","KANSAS CITY",,"PJ1029","CPD","U","1","SUS","U","U",,"1100 LOCUST ST
,  
(39.100855311, -94.577375383)","N"
"140086914","2014-12-03T00:00:00.000","22:34","2014-12-03T00:00:00.000","22:34",,,"302","120","Armed Robbery","241","7000  PROSPECT AV","KANSAS CITY",,"PJ5341","MPD","U","2","SUS","B","M",,"7000 PROSPECT AV
,  
(38.999694229, -94.556855495)","Y"
"140002633","2014-01-12T00:00:00.000","17:38","2014-01-12T00:00:00.000","17:00","2014-01-12T00:00:00.000","17:38","403","13A","Agg Assault - Domest","345","10900  E 49 ST","KANSAS CITY","64133","PJ4170","EPD","Y","1","VIC","W","M","44","10900 E 49 ST
KANSAS CITY,  64133
(39.032937559, -94.4511394)","N"
"140041821","2014-06-17T00:00:00.000","12:50","2014-05-20T00:00:00.000","10:30",,,"1198","26C","Impersonation","344","3200  HARDESTY AV","KANSAS CITY","64128","PJ2680","EPD","U","1","SUS","U","U",,"3200 HARDESTY AV
KANSAS CITY,  64128
(39.067075189, -94.520708775)","N"
"140010024","2014-02-13T00:00:00.000","9:28","2014-02-12T00:00:00.000","9:00","2014-02-12T00:00:00.000","15:00","650","23G","Stealing Auto Parts/","533","10600  WASHINGTON ST","KANSAS CITY","64114","PJ6815","SPD","U","1","VIC","B","M","57","10600 WASHINGTON ST
KANSAS CITY,  64114
(38.935412274, -94.598265869)","N"
