Reported_Date,Reported Time,From_Date,From Time,To_Date,To Time,Offense,Description,Address,City,Zip Code,Area,Sex,Age,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
01/08/2014 12:00:00 AM,12:35,,,,,101,HOMICIDE/Non Neglige,,,,,M,58,,,,,
04/06/2014 12:00:00 AM,0:29,04/06/2014 12:00:00 AM,0:29,,,101,HOMICIDE/Non Neglige,8400  E 55 ST,KANSAS CITY,,MPD,M,38,"8400 E 55 ST
(39.024128365, -94.488239418)",19,3,7,155
10/31/2014 12:00:00 AM,12:03,10/31/2014 12:00:00 AM,4:30,,,101,HOMICIDE/Non Neglige,6900  BELLEFONTAINE AV,KANSAS CITY,,MPD,M,22,"6900 BELLEFONTAINE AV
(39.001271703, -94.550925853)",72,2,7,151
05/04/2014 12:00:00 AM,22:21,05/04/2014 12:00:00 AM,22:20,,,101,HOMICIDE/Non Neglige,100  N WHITE AV,KANSAS CITY,64123,EPD,M,,"100 N WHITE AV
KANSAS CITY 64123
(39.112053229, -94.511756337)",192,4,7,76
05/12/2014 12:00:00 AM,0:16,05/12/2014 12:00:00 AM,0:16,,,101,HOMICIDE/Non Neglige,HOLMES ST/E LINWOOD BL,KANSAS CITY,,CPD,M,,"HOLMES ST/E LINWOOD KANSAS CITY, BL
(39.102950303, -94.583075872)",5,4,7,75
12/01/2014 12:00:00 AM,12:24,12/01/2014 12:00:00 AM,12:20,,,101,HOMICIDE/Non Neglige,E 33 ST/COLLEGE AV,KANSAS CITY,64130,EPD,U,,"33 ST COLLEGE AV
KANSAS CITY 64130
(39.033319722, -94.544188138)",175,2,7,157
06/14/2014 12:00:00 AM,22:32,06/14/2014 12:00:00 AM,22:30,,,101,HOMICIDE/Non Neglige,600  GRAND AV,KANSAS CITY,64106,CPD,M,22,"600 GRAND AV
KANSAS CITY 64106
(39.10572144, -94.580483034)",5,4,7,75
05/04/2014 12:00:00 AM,20:38,05/04/2014 12:00:00 AM,20:38,,,101,HOMICIDE/Non Neglige,4100  VIRGINIA AV,KANSAS CITY,64110,CPD,F,,"4100 VIRGINIA AV
KANSAS CITY 64110
(39.052284824, -94.56883884)",204,3,7,165
09/18/2014 12:00:00 AM,14:08,08/28/2012 12:00:00 AM,,05/27/2014 12:00:00 AM,,101,HOMICIDE/Non Neglige,1100  LOCUST ST,KANSAS CITY,64106,CPD,M,30,"1100 LOCUST ST
KANSAS CITY 64106
(39.100855311, -94.577375383)",5,4,7,75
08/10/2014 12:00:00 AM,2:11,,2:11,,,101,HOMICIDE/Non Neglige,BROADWAY/SOUTHWEST BL,KANSAS CITY,64108,CPD,M,19,"BROADWAY/SOUTHWEST KANSAS CITY, BL 64108
(39.085068738, -94.581576911)",97,4,7,92
