"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code_1","rep_dist_1","area_1","dvflag_1","invl_no_1","involvement_1","race_1","sex_1","age_1","firearm_used_flag","latitude","longitude","location_1"
"150015427","2015-03-06T00:00:00.000","0:02","2015-03-06T00:00:00.000","0:02",,,"2601","90Z","Misc Violation","133","BROADWAY and WESTPORT RD","KANSAS CITY","64131","PJ3229","CPD","U","1","VIC",,,,"N","38.9767","-94.5767","BROADWAY KANSAS CITY
,  64131
(38.9767, -94.5767)"
"70045155","2015-09-21T00:00:00.000","14:20","2015-01-19T00:00:00.000",,,,"401","13A","Aggravated Assault (",,,,"99999",,,"U","1","VIC","B","M",,"N","0","0","
,  99999
(0.0, 0.0)"
"70045155","2015-09-21T00:00:00.000","14:20","2015-01-19T00:00:00.000",,,,"2001","90F","Family Offense",,,,"99999",,,"U","1","VIC","B","M",,"N","0","0","
,  99999
(0.0, 0.0)"
"150057463","2015-09-08T00:00:00.000","1:17","2015-09-08T00:00:00.000","1:17",,,"702","240","Auto Theft","321","PROSPECT AV and E TRUMAN RD","KANSAS CITY","64126","PJ7474","EPD","U","1","SUS","U","U",,"N","39.0947","-94.5516","E PROSPECT KANSAS CITY
, AV 64126
(39.0947, -94.5516)"
"150033873","2015-05-19T00:00:00.000","0:21","2015-05-19T00:00:00.000","0:21",,,"1849","35A","Possession/Sale/Dist","331","VICTOR ST and WALROND AV","KANSAS CITY","64128","PJ2340","EPD","U","1","VIC",,,,"N","39.0735","-94.5461","VICTOR KANSAS CITY
, ST 64128
(39.0735, -94.5461)"
"150061779","2015-08-31T00:00:00.000","10:28","2015-08-31T00:00:00.000","8:00",,,"801","13B","Non Aggravated Assau","123","PASEO and E TRUMAN RD","KANSAS CITY","61109","PJ1326","CPD","N","2","SUS","B","M","29","N","42.2167","-89.0251","E PASEO KANSAS CITY
,  61109
(42.2167, -89.0251)"
"150087307","2015-12-04T00:00:00.000","2:57","2015-12-04T00:00:00.000","2:57",,,"2601","90Z","Misc Violation","123","PASEO and E TRUMAN RD","KANSAS CITY","64108","PJ1326","CPD","U","1","VIC",,,,"N","39.0952","-94.5645","E PASEO KANSAS CITY
,  64108
(39.0952, -94.5645)"
"150091950","2015-12-28T00:00:00.000","9:18","2015-12-23T00:00:00.000","9:00",,,"840","90Z","Resisting an Officer",,,,"99999",,,"U","1","SUS","B","M","18","N","0","0","
,  99999
(0.0, 0.0)"
"150059325","2015-08-21T00:00:00.000","21:45","2015-08-21T00:00:00.000","21:43",,,"702","240","Auto Theft","123","BROOKLYN AV and E TRUMAN RD","KANSAS CITY","64106","PJ1330","CPD","U","1","VIC","W","F","51","N","39.0949","-94.5562","E BROOKLYN KANSAS CITY
, AV 64106
(39.0949, -94.5562)"
"150057467","2015-08-15T00:00:00.000","2:56","2015-08-15T00:00:00.000","2:56",,,"401","13A","Aggravated Assault (","314","INDEPENDENCE AV and SPRUCE AV","KANSAS CITY","64124","PJ0607","EPD","U","1","VIC","W","F","30","N","39.1057","-94.5319","INDEPENDENCE KANSAS CITY
, AV 64124
(39.1057, -94.5319)"
