"fiscal_year","month_year","year","month","month_index","sessions","avg_session_duration","new_sessions","bounce_rate","pages_session","pageviews","users"
"2014","2013-05-01T00:00:00.000","2013","May","0","848","0:04:19","64.74","14.39","4.5","3812","629"
"2014","2013-06-01T00:00:00.000","2013","June","1","985","0:05:45","53.60","17.36","4.74","4669","618"
"2014","2013-07-01T00:00:00.000","2013","July","2","890","0:02:23","73.15","29.66","3.5","3112","731"
"2014","2013-08-01T00:00:00.000","2013","August","3","929","0:03:48","68.35","20.99","4.13","3835","730"
"2014","2013-09-01T00:00:00.000","2013","September","4","1605","0:04:08","69.78","24.67","3.64","5849","1229"
"2014","2013-10-01T00:00:00.000","2013","October","5","1023","0:03:31","70.97","26.39","3.9","3993","821"
"2014","2013-11-01T00:00:00.000","2013","November","6","2929","0:04:00","76.17","17.55","3.75","10975","2360"
"2014","2013-12-01T00:00:00.000","2013","December","7","1334","0:05:22","59.52","25.56","5.3","7065","915"
"2014","2014-01-01T00:00:00.000","2014","January","8","2411","0:04:06","60.85","16.34","4.7","11342","1646"
"2014","2014-02-01T00:00:00.000","2014","February","9","3059","0:03:56","63.19","17.98","4.1900000000000004","12814","2207"
"2014","2014-03-01T00:00:00.000","2014","March","10","7708","0:04:00","62.96","14.53","3.95","30416","5345"
"2014","2014-04-01T00:00:00.000","2014","April","11","8746","0:03:52","59.16","10.78","3.63","31723","5955"
"2015","2014-05-01T00:00:00.000","2014","May","12","9485","0:03:17","60.58","8.93","3.13","29707","6712"
"2015","2014-06-01T00:00:00.000","2014","June","13","11096","0:02:58","61.07","7.85","2.8","31120","7850"
"2015","2014-07-01T00:00:00.000","2014","July","14","10792","0:02:49","60.13","7.87","2.64","28487","7601"
"2015","2014-08-01T00:00:00.000","2014","August","15","10807","0:02:39","61.03","7.24","2.5099999999999998","27147","7823"
"2015","2014-09-01T00:00:00.000","2014","September","16","12092","0:02:06","54.45","42.05","2.56","30996","8110"
"2015","2014-10-01T00:00:00.000","2014","October","17","13258","0:01:56","50.99","57.42","2.42","32098","8560"
"2015","2014-11-01T00:00:00.000","2014","November","18","11012","0:02:01","54.33","55.61","2.27","24951","7512"
"2015","2014-12-01T00:00:00.000","2014","December","19","11151","0:01:58","54.87","55.30","2.29","25515","7520"
"2015","2015-01-01T00:00:00.000","2015","January","20","13671","0:01:53","57.11","55.48","2.23","30544","9221"
"2015","2015-02-01T00:00:00.000","2015","February","21","17370","0:01:57","56.68","55.86","2.15","37307","11605"
"2015","2015-03-01T00:00:00.000","2015","March","22","17850","0:01:58","55.25","54.44","2.2000000000000002","39283","11746"
"2015","2015-04-01T00:00:00.000","2015","April","23","17729","0:02:04","55.24","52.60","2.27","40209","11703"
"2016","2015-05-01T00:00:00.000","2015","May","24","16669","0:01:47","55.8","53.59","2.05","34124","11271"
"2016","2015-06-01T00:00:00.000","2015","June","25","17809","0:01:53","55.92","52.48","2.12","37800","11915"
"2016","2015-07-01T00:00:00.000","2015","July","26","17360","00:01:41","58.32","64.66","2.03","35234","11987"
"2016","2015-08-01T00:00:00.000","2015","August","27","17595","00:01:59","55.67","66.91","2.13","37543","11791"
"2016","2015-09-01T00:00:00.000","2015","September","28","15685","00:01:46","55.49","69.72","2.03","31807","10460"
"2016","2015-10-01T00:00:00.000","2015","October","29","14837","00:01:52","54.4","68.5","2.15","31908","9838"
"2016","2015-11-01T00:00:00.000","2015","November","30","13431","00:01:43","56.06","69.66","2.06","27532","9098"
"2016","2015-12-01T00:00:00.000","2015","December","31","13544","00:01:49","55.2","69.63","2.11","28530","9161"
"2016","2016-01-01T00:00:00.000","2016","January","32","13620","00:01:57","52.13","68.38","2.22","30202","8708"
"2016","2016-02-01T00:00:00.000","2016","February","33","20935","00:01:51","55.46","71.62","1.96","41072","13731"
"2016","2016-03-01T00:00:00.000","2016","March","34","19524","00:01:52","53.43","69.84","2.08","40513","12639"
"2016","2016-04-01T00:00:00.000","2016","April","35","21337","00:01:43","56.61","70.43","2.02","43012","14364"
"2017","2016-05-01T00:00:00.000","2016","May","36","24081","00:01:26","59.82","73.61","1.84","44205","16680"
