Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Firearm Used Flag,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
160096140,12/23/2016 12:00:00 AM,17:00,12/22/2016 12:00:00 AM,7:00,,,1198,26F,Identity Theft,641,6800  NE PLEASANT VALLEY RD,KANSAS CITY,64157,PC0579,SCP,U,1,VIC,W,M,50,N,"6800 NE PLEASANT VALLEY RD
KANSAS CITY 64157
(39.2166, -94.4999)",244,6,4,135
160095990,12/23/2016 12:00:00 AM,3:55,12/23/2016 12:00:00 AM,3:15,,3:50,670,23D,Stealing from Buildi,643,9600  N WINDSOR CT,KANSAS CITY,64157,PC0207,SCP,U,2,VIC,W,M,,N,"9600 N WINDSOR CT
KANSAS CITY 64157
(39.2676, -94.465)",244,6,4,152
160095990,12/23/2016 12:00:00 AM,3:55,12/23/2016 12:00:00 AM,3:15,,3:50,670,23D,Stealing from Buildi,643,9600  N WINDSOR CT,KANSAS CITY,64157,PC0207,SCP,U,1,VIC,W,F,,N,"9600 N WINDSOR CT
KANSAS CITY 64157
(39.2676, -94.465)",244,6,4,152
160095990,12/23/2016 12:00:00 AM,3:55,12/23/2016 12:00:00 AM,3:15,,3:50,670,23D,Stealing from Buildi,643,9600  N WINDSOR CT,KANSAS CITY,64157,PC0207,SCP,U,1,SUS,U,U,,N,"9600 N WINDSOR CT
KANSAS CITY 64157
(39.2676, -94.465)",244,6,4,152
160096140,12/23/2016 12:00:00 AM,17:00,12/22/2016 12:00:00 AM,7:00,,,1198,26F,Identity Theft,641,6800  NE PLEASANT VALLEY RD,KANSAS CITY,64157,PC0579,SCP,U,1,SUS,U,U,,N,"6800 NE PLEASANT VALLEY RD
KANSAS CITY 64157
(39.2166, -94.4999)",244,6,4,135
160095814,12/22/2016 12:00:00 AM,10:42,12/21/2016 12:00:00 AM,12:00,,9:00,501,220,Burglary - Residence,643,9300  NE 109 TE,KANSAS CITY,64157,PC0159,SCP,U,1,VIC,W,M,40,N,"9300 NE 109
TE KANSAS CITY 64157
(39.2902, -94.4647)",244,6,4,152
160095895,12/22/2016 12:00:00 AM,17:28,12/18/2016 12:00:00 AM,12:00,,,1122,26B,Credit/Debit/ATM Car,641,8300  N CHURCH RD,KANSAS CITY,64158,PC0387,SCP,U,1,VIC,W,M,59,N,"8300 N CHURCH RD
KANSAS CITY 64158
(39.242, -94.4624)",244,6,4,122
160095895,12/22/2016 12:00:00 AM,17:28,12/18/2016 12:00:00 AM,12:00,,,1122,26B,Credit/Debit/ATM Car,641,8300  N CHURCH RD,KANSAS CITY,64158,PC0387,SCP,U,1,SUS,U,U,,N,"8300 N CHURCH RD
KANSAS CITY 64158
(39.242, -94.4624)",244,6,4,122
160095814,12/22/2016 12:00:00 AM,10:42,12/21/2016 12:00:00 AM,12:00,,9:00,501,220,Burglary - Residence,643,9300  NE 109 TE,KANSAS CITY,64157,PC0159,SCP,U,1,SUS,U,U,,N,"9300 NE 109
TE KANSAS CITY 64157
(39.2902, -94.4647)",244,6,4,152
160095533,12/21/2016 12:00:00 AM,12:07,12/21/2016 12:00:00 AM,12:07,,,831,13C,Intimidation,,7900  NE 100 ST,KANSAS CITY,64157,,,U,1,VIC,W,F,,N,"7900 NE 100 ST
KANSAS CITY 64157
(39.2737, -94.448)",244,6,4,152
