"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","invl_no","involvement","race","sex","age","firearm_used_flag","location_1"
"170096892","2017-11-14T00:00:00.000","15:39","2017-11-14T00:00:00.000","15:06",,,"630","23C","Stealing Shoplifting","195","200  W 6TH","KANSAS CITY","64105",,,"U","2","VIC",,,,"N","200 W 6TH
KANSAS CITY,  64105"
"170021297","2017-03-25T00:00:00.000","18:28","2017-03-25T00:00:00.000","18:26",,,"1850","35B","Possession of Drug E","342","8900  E US 40 HW","KANSAS CITY","64129","PJ2738","EPD","U","2","VIC",,,,"N","8900 E US
HW KANSAS CITY,  64129"
"170069219","2017-08-07T00:00:00.000","14:46","2017-08-07T00:00:00.000","14:40",,,"2655","90J","Trespassing","422","7100  NW BARRY RD","KANSAS CITY","64151","PP0365","NPD","U","1","VIC",,,,"N","7100 NW BARRY RD
KANSAS CITY,  64151"
"170107018","2017-12-23T00:00:00.000","20:10","2017-12-23T00:00:00.000","20:10",,,"802","13B","Non Agg Assault Dome","543","7000  E 113 TE","KANSAS CITY","64134","PJ7135","SPD","Y","1","VIC","B","F","18","N","7000 E 113
TE KANSAS CITY,  64134"
"170077301","2017-09-04T00:00:00.000","22:21","2017-08-30T00:00:00.000","18:00","2017-09-04T00:00:00.000","22:21","302","120","Armed Robbery","333","E 39 ST and NORTON AV","KANSAS CITY","64130","PJ3077","EPD","U","1","SUS","B","M","30","N","39 ST and NORTON AV
KANSAS CITY,  64130"
"170080663","2017-09-15T00:00:00.000","17:29","2017-09-15T00:00:00.000","17:29",,,"2602","13C","Bomb Threat/Intimida","425","7800  NW 97 TE","KANSAS CITY","64153","PP0256","NPD","N","1","SUS","U","U",,"N","7800 NW 97
TE KANSAS CITY,  64153"
"170093117","2017-10-31T00:00:00.000","08:25","2017-10-31T00:00:00.000","08:20",,,"2655","90J","Trespassing","115","2000  GRAND BL","KANSAS CITY","64111","PJ1711","CPD","U","1","VIC","W","F","39","N","2000 GRAND
BL KANSAS CITY,  64111"
"170081831","2017-09-19T00:00:00.000","19:45","2017-09-19T00:00:00.000","19:35",,,"401","13A","Aggravated Assault (","332","E 35 ST and NORTON AV","KANSAS CITY","64128","PJ2783","EPD","N","2","VIC","B","F","24","Y","35 ST and NORTON AV
KANSAS CITY,  64128"
"170085938","2017-10-04T00:00:00.000","13:31","2017-10-04T00:00:00.000","05:30","2017-10-04T00:00:00.000","12:00","702","240","Auto Theft","314","600  HARDESTY AV","KANSAS CITY","64125","PJ0737","EPD","U","1","VIC","W","F","65","N","600 HARDESTY AV
KANSAS CITY,  64125"
"170071467","2017-08-15T00:00:00.000","14:00","2017-08-15T00:00:00.000","14:00",,,"2601","90Z","Misc Violation","112","E 8 ST and GRAND BL","KANSAS CITY","64106","PJ0721","CPD","U","1","VIC",,,,"N","8 ST
and GRAND BL KANSAS CITY,  64106"
"170009319","2017-02-06T00:00:00.000","23:28","2017-02-06T00:00:00.000","23:28",,,"1849","35A","Possession/Sale/Dist","115","2300  HOLMES ST","KANSAS CITY","64109","PJ1938","CPD","U","1","VIC","B","M","28","N","2300 HOLMES ST
KANSAS CITY,  64109"
"170047778","2017-05-25T00:00:00.000","10:40","2017-05-25T00:00:00.000","06:55",,,"702","240","Auto Theft","112","1700  BROADWAY BL","KANSAS CITY","64106","PJ1504","CPD","U","1","SUS","U","M",,"N","1700 BROADWAY
BL KANSAS CITY,  64106"
"170065765","2017-07-25T00:00:00.000","18:40","2017-07-25T00:00:00.000","18:40",,,"630","23C","Stealing Shoplifting","345","11600  E US 40 HW","KANSAS CITY","64133","PJ3601","EPD","U","1","VIC",,,,"N","11600 E US
HW KANSAS CITY,  64133"
"170074838","2017-08-27T00:00:00.000","01:51","2017-08-26T00:00:00.000","22:00",,,"501","220","Burglary - Residence","322","5200  E 22 ST","KANSAS CITY","64126","PJ1803","EPD","U","1","VIC","W","F","38","N","5200 E 22 ST
KANSAS CITY,  64126"
"170050277","2017-06-03T00:00:00.000","17:52","2017-06-03T00:00:00.000","17:40",,,"640","23F","Stealing From Auto","143","4200  WAYNE AV","KANSAS CITY","64109","PJ3415","CPD","U","1","SUS","B","M",,"N","4200 WAYNE AV
KANSAS CITY,  64109"
"170016453","2017-03-03T00:00:00.000","13:00","2017-02-26T00:00:00.000","13:00",,,"640","23F","Stealing From Auto","213","6900  BLUE PARKWAY DR","KANSAS CITY","64129","PJ4889","MPD","U","1","VIC",,,,"N","6900 BLUE PARKWAY DR
KANSAS CITY,  64129"
"170052579","2017-06-12T00:00:00.000","09:11","2017-06-12T00:00:00.000","09:00",,,"2655","90J","Trespassing","134","3800  BROADWAY BL","KANSAS CITY","64111","PJ3045","CPD","U","1","ARR","B","M","29","N","3800 BROADWAY
BL KANSAS CITY,  64111"
"170043464","2017-05-09T00:00:00.000","12:20","2017-05-09T00:00:00.000","12:20",,,"2601","90Z","Misc Violation","112","1100  LOCUST ST","KANSAS CITY","64110","PJ1029","CPD","U","1","SUS","U","U",,"N","1100 LOCUST ST
KANSAS CITY,  64110"
"170053033","2017-06-13T00:00:00.000","18:14","2017-06-13T00:00:00.000","18:10",,,"2402","90C","Disorderly Conduct","112","E 9 ST and CHARLOTTE ST","KANSAS CITY","64106","PJ0809","CPD","U","1","VIC",,,,"N","9 ST and CHARLOTTE ST
KANSAS CITY,  64106"
"170014169","2017-02-25T00:00:00.000","21:28","2017-02-25T00:00:00.000","11:30","2017-02-25T00:00:00.000","21:25","501","220","Burglary - Residence","234","9400  MYRTLE AV","KANSAS CITY","64137","PJ6439","MPD","U","1","SUS","U","U",,"N","9400 MYRTLE AV
KANSAS CITY,  64137"
"170106422","2017-12-21T00:00:00.000","09:33","2017-12-21T00:00:00.000","09:15",,,"802","13B","Non Agg Assault Dome","642","1000  NE 104 TE","KANSAS CITY","64155","PC0177","SCP","Y","2","SUS","W","M","32","N","1000 NE 104
TE KANSAS CITY,  64155"
"170031003","2017-04-30T00:00:00.000","18:17","2017-04-30T00:00:00.000","18:00",,,"2601","90Z","Misc Violation","241","3700  E GREGORY BL","KANSAS CITY","64131","PJ5365","MPD","U","1","ARR","B","M","22","N","3700 E GREGORY
BL KANSAS CITY,  64131"
"170024637","2017-04-07T00:00:00.000","06:06","2017-04-07T00:00:00.000","06:00",,,"302","120","Armed Robbery","312","6400  E 12 ST","KANSAS CITY","64125","PJ1178","EPD","U","2","SUS","B","M",,"Y","6400 E 12 ST
KANSAS CITY,  64125"
"170015008","2017-03-01T00:00:00.000","13:38","2017-03-01T00:00:00.000","11:40",,,"2602","13C","Bomb Threat/Intimida","322","1900  VAN BRUNT BL","KANSAS CITY","64126","PJ1699","EPD","U","1","SUS","U","U",,"N","1900 VAN
BRUNT BL KANSAS CITY,  64126"
"170010824","2017-02-13T00:00:00.000","00:30","2017-02-13T00:00:00.000","00:30",,,"2530","90B","Loitering","212","5900  SWOPE PK","KANSAS CITY","64132","PJ4722","MPD","U","1","ARR","B","M","28","N","5900 SWOPE PK
KANSAS CITY,  64132"
"170017758","2017-03-12T00:00:00.000","09:29","2017-03-12T00:00:00.000","09:29",,,"401","13A","Aggravated Assault (","234","9400  CLEVELAND AV","KANSAS CITY","64130","PJ6439","MPD","U","1","VIC","B","M","31","Y","9400 CLEVELAND AV
KANSAS CITY,  64130"
"170050401","2017-06-04T00:00:00.000","03:55","2017-06-04T00:00:00.000","03:55",,,"1849","35A","Possession/Sale/Dist","123","E 18 ST and PASEO","KANSAS CITY","64109","PJ1511","CPD","U","1","VIC",,,,"N","18 ST
and PASEO KANSAS CITY,  64109"
"170106588","2017-12-21T00:00:00.000","20:50","2017-12-21T00:00:00.000","20:50",,,"1120","26A","Fraud/Confidence Gam","345","11600  E US 40 HW","KANSAS CITY","64133","PJ3601","EPD","U","1","ARR","B","F","54","N","11600 E US
HW KANSAS CITY,  64133"
"170059119","2017-07-05T00:00:00.000","06:34","2017-07-03T00:00:00.000","14:00","2017-07-05T00:00:00.000","06:30","502","220","Burglary - Non Resid","234","8900  STATE LINE RD","KANSAS CITY","64114","PJ6273","MPD","U","5","VIC",,,,"N","8900 STATE LINE RD
KANSAS CITY,  64114"
"170094114","2017-11-03T00:00:00.000","16:03","2017-11-03T00:00:00.000","16:03",,,"401","13A","Aggravated Assault (","642","600  NE 83 ST","KANSAS CITY","64116","PC0389","SCP","N","1","SUS","U","U",,"Y","600 NE 83 ST
KANSAS CITY,  64116"
"170032982","2017-05-07T00:00:00.000","23:15","2017-05-07T00:00:00.000","23:15",,,"630","23C","Stealing Shoplifting","345","11600  E US 40 HW","KANSAS CITY","64133","PJ3601","EPD","U","1","VIC",,,,"N","11600 E US
HW KANSAS CITY,  64133"
