"report_no","report_date","report_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","involvement","race","sex","age","firearmusedflag","location","age_range"
"KC22000029","2022-01-01T01:50:00.000","02:18","2022-01-01T01:50:00.000","01:50","2022-01-01T01:50:00.000","01:50","Assault (Aggravated)","13B","Simple Assault","113","1300  GRAND BLVD","KANSAS CITY","64106","PJ1177","CPD","false","VIC","W","M","32","false","POINT (-94.580964 39.098516)","25-34"
"KC22000096","2021-12-31T21:30:00.000","11:45","2021-12-31T21:30:00.000","21:30","2021-12-31T21:30:00.000","22:30","Stealing - Pickpocket","23A","Pocket-Picking","113","00  E GRAND BLVD","KANSAS CITY",,,"CPD","false","VIC","W","M","21","false",,"18-24"
"KC22000267","2022-01-02T14:00:00.000","14:41","2022-01-02T14:00:00.000","14:00","2022-01-02T14:00:00.000",,"Vehicular - Non-Injury",,,"641","N BOOTH AVE and NE M 152 HWY E","KANSAS CITY","64157","PC0406","SCP","false","SUS",,,,"false",,
"KC22000418","2022-01-03T09:38:00.000","09:38","2022-01-03T09:38:00.000","09:38","2022-01-03T09:38:00.000",,"Assault (Aggravated)","13A","Aggravated Assault","233","8200  TRACY AVE","KANSAS CITY","64131","PJ5955","MPD","false","SUS","U","U",,"true","POINT (-94.575107 38.979292)",
"KC22000802","2022-01-04T22:00:00.000","22:00","2022-01-04T22:00:00.000","22:00","2022-01-04T22:00:00.000",,"Trespass of Real Property","90J","Trespass of Real Property","414","4400  NW BARRY RD","KANSAS CITY","64151","PP0367","NPD","false","ARR CHA SUS","B","M","18","false",,"18-24"
"KC22001053","2022-01-06T02:25:00.000","02:24","2022-01-06T02:25:00.000","02:25","2022-01-06T02:25:00.000",,"Eluding / Resisting a Lawful Stop",,,"342","E I 70 HWY E and E US 40 HWY","KANSAS CITY","64129","PJ2564","EPD","false","SUS VDR","W","F",,"false",,
"KC22001097","2022-01-06T09:40:00.000","09:45","2022-01-06T09:40:00.000","09:40","2022-01-06T09:40:00.000",,"Trespass of Real Property","90J","Trespass of Real Property","113","1300  GRAND BLVD","KANSAS CITY","64106","PJ1183","CPD","false","VIC",,,,"false","POINT (-94.580964 39.098516)",
"KC22001380","2022-01-04T22:30:00.000","10:32","2022-01-04T22:30:00.000","22:30","2022-01-04T22:30:00.000",,"Rape","11A","Forcible Rape","535","E 155 ST and US 71 HWY","KANSAS CITY","64138",,"SPD","false","CMP VIC","W","F","29","false",,"25-34"
"KC22001685","2022-01-08T21:30:00.000","22:27","2022-01-08T21:30:00.000","21:30","2022-01-08T21:30:00.000",,"Stealing - Other","90J","Trespass of Real Property","113","1300  MAIN ST","KANSAS CITY","64106","PJ1170","CPD","false","VIC",,,,"false",,
"KC22001773","2022-01-09T11:47:00.000","11:47","2022-01-09T11:47:00.000","11:47","2022-01-09T11:47:00.000",,"Stealing - Shoplift","23C","Shoplifting","213","8600  E 63RD TRFY","KANSAS CITY","64129","PJ4889","MPD","false","SUS","B","F","32","false",,"25-34"
"KC22001897","2022-01-10T02:00:00.000","05:27","2022-01-10T02:00:00.000","02:00","2022-01-10T02:00:00.000","03:00","Assault (Non-Aggravated)","13B","Simple Assault","133","4100  PENNSYLVANIA AVE","KANSAS CITY","64111","PJ3303","CPD","false","SUS","U","M",,"false",,
"KC22001919","2016-11-04T23:08:00.000","08:49","2016-11-04T23:08:00.000","23:08","2016-11-04T23:08:00.000",,"Legacy Incident Report/Arrest",,,"535","13200  GRAND AVE","KANSAS CITY","64145","PJ7402","SPD","false","VIC","W","F","55","false",,"55-64"
"KC22002081","2022-01-10T20:21:00.000","20:21","2022-01-10T20:21:00.000","20:21","2022-01-10T20:21:00.000","20:21","Stealing - Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC22002226","2022-01-11T14:00:00.000","14:18","2022-01-11T14:00:00.000","14:00","2022-01-11T14:00:00.000",,"Domestic Violence Assault (Aggravated)","13A","Aggravated Assault","633","1600  NE VIVION RD","KANSAS CITY","64116","PC1033","SCP","true","SUS","W","F","30","true",,"25-34"
"KC22002653","2022-01-13T12:10:00.000","12:10","2022-01-13T12:10:00.000","12:10","2022-01-13T12:10:00.000",,"Dead Body",,,"122","1100  E 10TH ST","KANSAS CITY","64106","PJ0969","CPD","false","VIC","W","M","56","false",,"55-64"
"KC22002674","2022-01-13T13:35:00.000","13:40","2022-01-13T13:35:00.000","13:35","2022-01-13T13:35:00.000",,"Stealing - Shoplift","23H","All Other Larceny","642","10200  N OAK TRFY","KANSAS CITY","64155","PC0181","SCP","false","VIC",,,,"false","POINT (-94.575683 39.278555)",
"KC22002699","2022-01-13T15:28:00.000","15:28","2022-01-13T15:28:00.000","15:28","2022-01-13T15:28:00.000",,"Eluding / Resisting a Lawful Stop",,,"213","BLUE PARKWAY and COAL MINE ROAD","KANSAS CITY",,,"MPD","false","SUS","U","U",,"false","POINT (-94.521712 39.034604)",
"KC22002762","2022-01-13T19:00:00.000","19:05","2022-01-13T19:00:00.000","19:00","2022-01-13T19:00:00.000",,"Property Damage","90C","Disorderly Conduct","112","W 12TH ST and WYANDOTTE ST","KANSAS CITY","64105","PJ1020","CPD","false","VIC WIT","B","F","57","false",,"55-64"
"KC22003015","2022-01-14T21:19:00.000","21:19","2022-01-14T21:19:00.000","21:19","2022-01-14T21:19:00.000",,"Vehicular - Non-Injury Hit and Run",,,"223","BRUCE R WATKINS DR N and E 59TH ST","KANSAS CITY","64130","PJ4621","MPD","false","VIC","B","M","58","false",,"55-64"
"KC22003049","2022-01-15T02:50:00.000","02:50","2022-01-15T02:50:00.000","02:50","2022-01-15T02:50:00.000",,"Vehicular - Injury",,,"323","E 18TH ST and PROSPECT AVE","KANSAS CITY","64127","PJ1614","EPD","false","SUS",,,,"false",,
"KC22003824","2022-01-18T20:21:00.000","20:21","2022-01-18T20:21:00.000","20:21","2022-01-18T20:21:00.000",,"State Warrant Arrest",,,"999","00  S WATER ST","LIBERTY","64068",,"OSPD","false","ARR CHA SUS","W","M","39","false",,"35-44"
"KC22003986","2022-01-19T15:05:00.000","15:05","2022-01-19T15:05:00.000","15:05","2022-01-19T15:05:00.000",,"Assault (Aggravated)","13A","Aggravated Assault","344","3800  TOPPING AVE","KANSAS CITY","64129","PJ3129","EPD","false","SUS","B","M","38","true",,"35-44"
"KC22004020","2022-01-19T17:30:00.000","17:30","2022-01-19T17:30:00.000","17:30","2022-01-19T17:30:00.000","17:55","Stealing - Shoplift","23C","Shoplifting","411","300  NE VIVION RD","KANSAS CITY","64116","PC0996","NPD","false","VIC",,,,"false",,
