"fiscal_year","year","trees_trimmed","trees_removed","row_id"
"FY 2012-2013 Q1",,"982","633","1"
"FY 2012-2013 Q2",,"476","627","2"
"FY 2012-2013 Q3",,"553","307","3"
"FY 2012-2013 Q4",,"842","174","4"
"FY 2013-2014 Q1",,"849","1710","5"
"FY 2013-2014 Q2",,"1750","1091","6"
"FY 2013-2014 Q3",,"1298","462","7"
"FY 2013-2014 Q4",,"1937","371","8"
"FY 2014-2015 Q1",,"1392","1054","9"
"FY 2014-2015 Q2",,"1715","516","10"
"FY 2014-2015 Q3",,"1187","266","11"
"FY 2014-2015 Q4",,"1472","421","12"
"FY 2015-2016 Q1",,"1727","739","13"
"FY 2015-2016 Q2",,"1615","683","14"
"FY 2015-2016 Q3",,"1559","423","15"
"FY 2015-2016 Q4",,"2321","926","16"
