"fiscal_year","year_label","miles_of_water_main_replaced","mile_of_water_main_replacement_in_progress","miles_of_sewer_main_rehabilitated","miles_of_sewer_main_replacement_in_progress"
"2012-04-30T00:00:00.000","FY2012","31.6","0","10.48","0"
"2014-04-30T00:00:00.000","FY2014","16.5","0","13.05","0"
"2013-04-30T00:00:00.000","FY2013","7.36","0","3.86","0"
"2016-08-01T00:00:00.000","FY2016","35.02","0","19.21","0"
"2015-08-01T00:00:00.000","FY2015","25.96","0","20.88","0"
"2017-08-01T00:00:00.000","FY2017","11.64",,"7.6",
