"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","invl_no","involvement","race","sex","age","firearm_used_flag","location"
"180009419","2018-02-07T00:00:00.000","16:35","2018-02-07T00:00:00.000","11:00","2018-02-07T00:00:00.000","15:30","640","23F","Stealing From Auto","123","FOREST AV and E TRUMAN RD","KANSAS CITY","64127","PJ1316","CPD","U","1","VIC",,,,"N","E FOREST AV
KANSAS CITY,  64127"
"180035722","2018-05-20T00:00:00.000","03:32","2018-05-20T00:00:00.000","03:32",,,"1352","280","Stolen Property OFFE","332","E 35 ST and SOUTH BENTON AV","KANSAS CITY","64130","PJ2803","EPD","U","1","ARR","B","M",,"N","35 ST and SOUTH BENTON AV
KANSAS CITY,  64130"
"180037437","2018-05-19T00:00:00.000","00:21","2018-05-19T00:00:00.000",,,,"2100","90D","Driving Under Influe","342","2600  VAN BRUNT BL","KANSAS CITY","64128","PJ2226","EPD","U","1","ARR","B","F","46","N","2600 VAN
BRUNT BL KANSAS CITY,  64128"
"180039506","2018-05-26T00:00:00.000","01:00","2018-05-26T00:00:00.000","01:00",,,"2655","90J","Trespassing","113","1200  MAIN ST","KANSAS CITY","64106","PJ1084","CPD","U","1","VIC","W","M","31","N","1200 MAIN ST
KANSAS CITY,  64106
(39.09961, -94.583196)"
"180036600","2018-05-16T00:00:00.000","09:13","2018-05-16T00:00:00.000","01:00","2018-05-16T00:00:00.000","09:13","702","240","Auto Theft","111","1200  JEFFERSON ST","KANSAS CITY","64105","PJ1077","CPD","U","1","SUS","U","U",,"N","1200 JEFFERSON ST
KANSAS CITY,  64105
(39.100155, -94.592275)"
"180038631","2018-05-23T00:00:00.000","10:37","2018-01-01T00:00:00.000","15:00","2018-05-22T00:00:00.000","16:15","690","23H","Stealing All Other","531","4200  SCOTT RD","KANSAS CITY","64137","PJ6717","SPD","U","1","VIC","W","M","74","N","4200 SCOTT RD
KANSAS CITY,  64137"
"180039777","2018-05-24T00:00:00.000","11:50","2018-05-24T00:00:00.000","11:50","2018-05-24T00:00:00.000","12:15","2601","90Z","Misc Violation","543","7000  E 111 ST","KANSAS CITY","64134","PJ7014","SPD","N","1","ARR","B","M",,"N","7000 E 111 ST
KANSAS CITY,  64134
(38.92251, -94.508143)"
"180037941","2018-05-21T00:00:00.000","07:44","2018-05-20T00:00:00.000","23:49",,,"1401","290","Property Damage","111","600  CENTRAL ST","KANSAS CITY","64105","PJ0650","CPD","U","1","SUS","U","U",,"N","600 CENTRAL ST
KANSAS CITY,  64105
(39.106247, -94.586119)"
"180035579","2018-05-12T00:00:00.000","14:32","2018-05-12T00:00:00.000","14:32",,,"501","220","Burglary - Residence","543","7900  LONGVIEW RD","KANSAS CITY","99999","PJ7202","SPD","Y","1","VIC","W","F","37","N","7900 LONGVIEW RD
KANSAS CITY,  99999
(38.914804, -94.499704)"
"180038942","2018-05-24T00:00:00.000","11:54","2018-05-23T00:00:00.000","09:57","2018-05-23T00:00:00.000","10:04","630","23C","Stealing Shoplifting","535","1200  W 136 ST","KANSAS CITY","64145","PJ7425","SPD","U","1","SUS","B","F","24","N","1200 W 136 ST
KANSAS CITY,  64145
(38.881605, -94.605304)"
