"report_no","report_date","report_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","involvement","race","sex","age","firearmused_flag","location","age_range"
"KC21055624","2021-08-21T19:45:07.000","19:45","2021-08-21T19:45:00.000","19:45",,,"Murder","09A","Murder","332","3500  AGNES AVE","KANSAS CITY","64128","PJ2878","EPD","false","VIC","B","M",,"true",,
"KC21012401","2021-02-24T11:35:29.000","11:35","2021-02-24T11:35:00.000","11:35",,,"Stealing from Building/Residence","23D","Theft From Building","234","8800  STATE LINE RD","KANSAS CITY","64114","PJ6174","MPD","false","SUS","B","M",,"false",,
"KC21017210","2021-03-17T15:46:42.000","15:46","2021-03-17T15:35:00.000","15:35",,,"Assault (Aggravated)","13A","Aggravated Assault","631","NE PARVIN RD and I 29 HWY","KANSAS CITY","64116",,"SCP","false","ARR CHA","B","M","33","true",,"25-34"
"KC21005420","2021-01-25T11:18:00.000","11:18","2021-01-25T11:00:00.000","11:00",,,"Recovered Stolen Auto",,,"113","1500  CENTRAL ST","KANSAS CITY","64105",,"CPD","false","SUS","W","F","20","false",,"18-24"
"KC21010791","2021-02-17T11:41:39.000","11:41","2021-02-11T20:30:00.000","20:30","2021-02-11T20:45:00.000","20:45","Stolen Auto","240","Motor Vehicle Theft","211","4200 E 53RD ST","KANSAS CITY","64130","PJ4215","MPD","false","SUS","W","M",,"false",,
"KC21012025","2021-02-22T17:55:22.000","17:55","2021-02-22T17:55:00.000","17:55",,,"Assault (Aggravated)","13A","Aggravated Assault","222","E 52ND ST and EUCLID AVE","KANSAS CITY","64130","PJ4201","MPD","false","VIC","B","F","28","false",,"25-34"
"KC21001020","2021-01-05T19:45:17.000","19:45","2021-01-05T19:40:00.000","19:40",,,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","534","5100  LONGVIEW RD","KANSAS CITY","64134",,"SPD","true","CHA SUS","B","M","20","false",,"18-24"
"KC21010782","2021-02-17T10:07:43.000","10:07","2021-02-17T09:55:00.000","09:55",,,"Robbery (Armed Street)","120","Robbery","533","11200  OAK ST","KANSAS CITY",,,"SPD","false","VIC","I","M","23","true",,"18-24"
"KC21003742","2021-01-17T22:08:05.000","22:08","2021-01-17T21:30:00.000","21:30",,,"Assault (Aggravated)","13A","Aggravated Assault","541","6400  E 87TH ST","KANSAS CITY","64138","PJ6376","SPD","false","SUS","B","M",,"true",,
"KC21004843","2021-01-22T15:53:01.000","15:53","2021-01-22T15:50:00.000","15:50",,,"Vehicular – Non-Injury",,,"641","E M 152 HWY and S N INDIANA ST","KANSAS CITY","64155",,"SCP","false","ARR SUS CHA VDR","W","F","46","false",,"45-54"
"KC21010873","2021-02-17T17:11:55.000","17:11","2021-02-17T17:10:00.000","17:10",,,"Vehicular – Injury",,,"532","E I 470 HWY E and BLUE RIDGE BLVD","KANSAS CITY","64134","PJ6828","SPD","false","CHA VDR","B","M","27","false",,"25-34"
"KC21009440","2021-02-11T00:26:43.000","00:26","2021-02-11T00:26:00.000","00:26",,,"Dead Body",,,"345","4300  MOATS DR","KANSAS CITY","64133","PJ3685","EPD","false","VIC WIT","W","M","53","false",,"45-54"
