"calendar_year","time_stamp","population_used_for_per_capita_calculations","price_index_for_inflation_calculation","commercial_properties_taxable_real_property_market_value_per_capita_real_dollars","residential_properties_taxable_real_property_market_value_per_capita_real_dollars","commercial_building_permit_valuation_real_dollars","residential_building_permit_valuation_real_dollars","structural_balance_revenue_general_special_revenue_and_capital_funds_real_dollars","structural_balance_expenditures_general_special_revenue_and_capital_funds_real_dollars","general_fund_unreserved_fund_balance","general_fund_unreserved_fund_balance_council_policy","special_revenue_and_capital_fund_unreserved_fund_balance","operating_surplus_deficit","liquidity_ratio","gross_operating_revenues","gross_operating_revenue_after_net_redirections","real_operating_revenue_per_capita_real_dollars","real_operating_revenue_after_net_redirections_per_capita_real_dollars","general_fund_revenue_nominal_dollars","special_revenue_and_capital_improvement_revenue","dedicated_revenue_as_a_percent_of_total_revenues","percent_of_total_revenue_with_a_renewal_requirement","earning_and_profits_tax_revenue_nominal_dollars","earning_and_profits_tax_revenue_redirections_nominal_dollars","earning_and_profits_tax_after_net_redirections_nominal_dollars","earning_and_profits_tax_revenue_per_capita_before_redirections_in_real_dollars","earning_and_profits_tax_revenue_per_capita_after_net_redirections_in_real_dollars","sales_and_use_tax_revenue_nominal_dollars","sales_and_use_tax_revenue_redirections_nominal_dollars","sales_and_use_tax_after_net_redirections_nominal_dollars","sales_and_use_tax_revenue_per_capita_before_redirections_in_real_dollars","sales_and_use_tax_revenue_per_capita_after_net_redirections_in_real_dollars","property_tax_revenue_nominal_dollars","property_tax_revenue_redirections_nominal_dollars","property_tax_after_net_redirections_nominal_dollars","property_tax_revenue_per_capita_after_redirections_in_real_dollars","property_tax_revenue_per_capita_before_redirections_in_real_dollars","utility_franchise_fee_revenue_nominal_dollars","utility_franchise_fee_revenue_redirections_nominal_dollars","utility_franchise_fee_after_net_redirections_nominal_dollars","utility_franchise_fee_revenue_per_capita_before_redirections_in_real_dollars","utility_franchise_fee_revenue_per_capita_after_net_redirections_in_real_dollars","tourism_leisure_tax_and_fee_revenue_nominal_dollars","tourism_leisure_tax_and_fee_revenue_redirections_nominal_dollars","tourism_leisure_tax_and_fee_after_net_redirections_nominal_dollars","tourism_leisure_tax_and_fee_revenue_per_capita_before_redirections_in_real_dollars","tourism_leisure_tax_and_fee_revenue_per_capita_after_net_redirections_in_real_dollars","business_license_tax_and_fee_revenue_nominal_dollars","business_license_tax_and_fee_revenue_per_capita_in_real_dollars","service_charges_revenue_nominal_dollars","service_charges_as_a_percent_of_total_revenue","intergovernmental_revenue_nominal_dollars","intergovernmental_revenue_as_a_percent_of_total_revenue","operating_expenditures","expenditures_per_capita_real_dollars","expenditures_on_public_safety_nominal_dollars","expenditures_on_public_infrastructure_nominal_dollars","expenditures_on_neighborhood_livability_nominal_dollars","expenditures_on_healthy_community_nominal_dollars","expenditures_on_governance_nominal_dollars","expenditures_on_economic_growth_nominal_dollars","expenditures_on_public_safety_per_capita_in_real_dollars","expenditures_on_public_infrastructure_per_capita_real_dollars","expenditures_on_neighborhood_livability_per_capita_real_dollars","expenditures_on_healthy_community_per_capita_real_dollars","expenditures_on_governance_per_capita_real_dollars","expenditures_on_economic_growth_per_capita_real_dollars","non_public_safety_expenditures_per_capita_in_real_dollars","salaries_and_benefits_expenditure_nominal_dollars","operating_expenditures_nominal_dollars","salaries_and_benefits_as_a_percent_of_operating_expenditurse","pension_expenditures","pension_benefits_as_a_percent_of_personnel_costs","health_and_life_insurance_benefits_expenditures_nominal_dollars","health_and_life_insurance_benefits_as_a_percent_of_personnel_costs","total_fringe_benefits_expenditures_nominal_dollars","total_fringe_benefits_as_a_percent_of_operating_expenditures","salares_no_benefits_expenditures_nominal_dollars","capital_expenditures_nominal_dollars","total_general_government_expenditures_nominal_dollars","capital_as_a_percent_of_general_government_expenditures","outstanding_direct_debt_as_a_percent_of_market_value_of_taxable_property","credit_industry_threshold","total_debt_nominal_dollars","estimated_actual_market_value_of_taxable_property_nominal_dollars","annual_debt_service_payments_as_a_percent_of_total_expenditures","employee_retirement_system_funding_ratio","civilian_police_retirement_system_funding_ratio","firefighters_retirement_system_funding_ratio","police_retirement_system_funding_ratio","annual_retirement_system_payment_unfunded_annual_required_contribution","annual_retirement_system_payment_contribution","city_s_pension_contributions_as_a_of_net_operating_expenditures","city_s_pension_contributions_as_a_of_net_operating_expenditures_actuarial_required_contribution","other_post_employement_benefits_opeb","other_post_employement_benefits_opeb_as_a_percent_of_net_operating_expenditures","compensated_absences_liability","number_of_non_uniform_employees_per_1000_population","number_of_non_uniform_employees","number_of_uniform_police","number_of_uniform_police_per_1000_population","fbi_survey_of_uniform_police_per_1000_population_high_range","fbi_survey_of_uniform_police_per_1000_population_low_range","number_of_firefighters","number_of_firefighters_per_1000_population","nfpa_survey_of_firefighters_per_1000_population_high_range","nfpa_survey_of_firefighters_per_1000_population_low_range"
"2008","2008-04-30T00:00:00.000","456139","87.3450524576","11148.78","36723.75","396711277.45","231817159.59","1013964000","1003849000","8.58","16.67","199545000","10115000","3.7983","919293000","897808374.14","2307.37","2253.45","477721000","441572000","48.03","26.20","201252331.78","9514939","191737392.78","505.13","481.25","192696710.9","17693265","175003445.9","483.65","439.24","129838163.83","7252509.83","122585654","307.68","325.88","91224652.72","1480435","89744217.72","228.96","225.25","71808187.98","2808181","69000006.98","180.23","173.85","20973421.56","52.64","48358.15","5.26","103517","11.26","563753038","1414.99","306954322","57793129","66201491","21171255","71612467","40020374","770.43","145.05","166.16","53.13","179.74","100.44","644.55","376162869","563753038","66.72","41802061","11.11","39295151","10.45","81097212","21.56","295065657","334251000","1212575000","27.57","4.95","1.00","1476070000","29826561000","12.51","93.51","83.30","93.42","87.20","3400000.00","47800000","5.51","5.90","10994000","0.0392870034",,"7.385906489","3369","1446","3.1700863114","3.1","2.4","933","2.0454291345","2.4","1.7"
"2009","2009-04-30T00:00:00.000","457963","90.3411540673","11375.84","38961.48","306924937.18","195073222.27","1048855000","1060677000","2.53","16.67","196671000","-11822000","1.4771","957650000","926153179.42","2314.67","2238.54","503130000","454520000","47.46","24.20","202249288.85","9963853","192285435.85","488.84","464.76","186005514.08","15890762","170114752.08","449.58","411.17","128367444.57","9503939.57","118863505","287.29","310.26","89863139.25","1899160","87963979.25","217.20","212.61","67574223.65","3403381","64170842.65","163.32","154.90","23048784.26","55.70","47371.46","4.95","138631","14.48","568672691","1374.50","321279150","56722164","65003652","20709447","68893347","36064931","776.54","137.09","157.11","50.05","166.51","87.17","597.96","387838564","568672691","68.20","43549302","11.23","44687737","11.52","88237039","22.75","299601525","212248000","1128481000","18.81","4.83","1.00","1463119000","30299672000","12.07","72.83","69.10","69.67","71.80","7700000.00","49800000","5.51","6.37","25550000","0.0576136015",,"6.9110386647","3165","1446","3.1574603188","3.1","2.4","934","2.0394660704","2.4","1.7"
"2010","2010-04-30T00:00:00.000","459787","90.2553715148","10883.87","36701.32","234633697.06","130442238.00","970749000","986771000","5.95","16.67","133935000","-16022000","1.586","932915077.21","894435000","2248.08","2155.35","489327000","405108000","45.29","24.94","198492315.47","12448213","186044102.47","478.31","448.31","171750297.58","20670499","151079798.58","413.87","364.06","131002237.22","9210704.22","121791533","293.48","315.68","87886336.64","2165114","85721222.64","211.78","206.56","64055120.99","3196251","60858869.99","154.35","147.58","19890991.58","47.93","47081.22","5.05","132043","14.15","558153038","1345.00","311695041","58160833","71646917","21640326","62645796","32364125","751.10","140.15","172.65","52.14","150.96","77.98","593.89","375267072","558153038","67.23","42716927","11.38","39548730","10.54","82265657","21.92","293001415","192834000","1084799000","17.78","5.29","1.00","1533757000","29018324000","13.39","75.35","76.60","84.29","78.90","24864999.99","49700000","5.77","8.65","39706000","0.0772574017",,"6.3594664486","2924","1446","3.1449345023","3.1","2.4","935","2.0335503179","2.4","1.7"
"2011","2011-04-30T00:00:00.000","462035","92.2400474274","11120.41","37802.95","282339985.50","101588138.94","962048000","996580000","8.29","16.67","114882000","-34532000","2.3074","950131077.21","911651000","2240.30","2149.57","496545000","415106000","45.53","24.60","195730388","19064101","176666287","459.26","414.53","174692717","14256751","160435966","409.90","376.45","130689280.55","9899269.55","120790011","283.42","306.65","94954460.60","3164227.89","91790232.71","222.80","215.37","65629156.35","3492268.91","62136887.44","153.99","145.60","19411680.56","45.54","61728.80","6.50","110460","11.63","584332612","1371.08","328656563","57403176","75910835","22211667","67297689","32852682","771.16","134.69","178.11","52.11","157.90","77.08","599.92","388785532","584332612","66.53","43929751","11.30","44816075","11.53","88745826","22.83","300039706","225682000","1090400000","20.70","5.28","1.00","1537341000","29093406000","12.95","79.80","74.80","81.85","76.10","32088999.99","48600000","5.49","9.11","43901000","0.0801029886",,"6.5233153333","3014","1446","3.1296330365","3.1","2.4","935","2.0236562165","2.4","1.7"
"2012","2012-04-30T00:00:00.000","464472","95.8878269618","11062.56","38671.71","269489507.45","98689394.71","956803000","988546000","8.15","16.67","93495000","-31743000","2.46","949251702","908302000","2142.60","2050.17","472421000","435881000","47.99","49.23","207332280","21526568","185805712","465.52","417.19","189205445","16273854","172931591","424.82","388.28","133230826.63","9883609.63","123347217","276.95","299.14","93902508","2255136","91647372","210.84","205.77","68557808.62","3612831.71","64944976.90","153.93","146.17","20374156","45.74","62721.51","6.61","105080","11.07","592945544","1331.34","340515594","56745438","75379292","21845875","68166751","30292594","764.56","127.41","169.25","49.05","153.05","68.01","566.78","394400187","592945544","66.52","44692694","11.33","44563424","11.30","89256118","22.63","305144069","221417000","1124087000","19.70","5.65","1.00","1635561000","28923054000","13.50","79.11","75.60","78.54","75.50","28500000","48500000","5.60","8.90","48084000","0.0889802557",,"6.6914690229","3108","1430","3.0787647049","3.1","2.4","934","2.0108854786","2.4","1.7"
"2013","2013-04-30T00:00:00.000","467253","98.1343417649","11323.16","39803.92","516105300.99","181685129.38","941191000","971869000","8.57","16.67","74799000","-30678000","1.92","935125425","893172000","2051.58","1959.54","490844000","402328000","45.04","51.62","213191787","15549176","197642611","464.94","431.02","196961851","15939413","181022438","429.54","394.78","136380288","9226967","127153321","277.30","297.42","93133638","1880793","91252845","203.11","199.00","68951125","4109126","64841999","150.37","142.64","21585893","47.07","56229.14","6.01","95321","10.19","613382022","1337.69","354942595","55803899","68942486","21581116","80454045","31657881","774.07","121.70","150.35","47.06","175.45","69.04","563.61","414911521","613382022","67.64","47023915","11.33","46631437","11.24","93655352","22.57","321256169","100399000","1045213000","9.61","5.52","1.00","1590777000","28814637000","14.75","80.71","76.13","76.44","77.74","24712000.00","57413000","6.81","9.74","50428000","0.0944689798",,"5.2825771049","2468.3","1423","3.0454593122","3.1","2.4","944","2.0203187566","2.4","1.7"
"2014","2014-04-30T00:00:00.000","470800","99.531115263",,,"395400542","287764762","989292000","1021235000","9.48","16.67","77789000","41006000","1.88","983218921","933872000","2114.16","2008.05","520462000","443688000","46.02","51.89","217447886","15467995","201979891","464.04","431.03","232359111","21516810","210842301","495.86","449.94","126003610.80","9013126.80","116990484","249.66","268.89","97225166","2212752","95012414","207.48","202.76","70161416","4436731","65724685","149.72","140.17","23227925","49.56","61511","6.25","91168","9.27","628321121","1340.86","365053622","63251968","72533623","21725689","72145467","33610752","779.04","134.98","154.79","46.36","153.96","71.72","561.82","434089581","628321121","69.09","52367306","12.06","49807190","11.47","102174496","23.54","331915085","131578000","1100573000","11.96","5.67","1.00","1627620000","28680718000","13.56","83.68","76.69","77.57","76.85","20469000.00","64146000","7.26","9.58","52748000","0.0941846473",,"4.7473401443","2244.4","1461","3.0902976077","3.1","2.4","942","1.9925122152","2.4","1.7"
"2015","2015-12-01T00:00:00.000","472770","100",,,,,"1017958000","1024645000","12.29","16.67",,,,"964150000","964150000","2047.89","2047.89",,,,,"231706055.94","17616355.55","214089700.39","490.10","452.84","271741193.03","22946884.44","248794308.58","574.78","526.24","125765103.42",,,"266.01","266.01","97999408.46","2167221.03","95832187.42","207.28","202.70","75517344.41","3391005.09","72126339.31","159.73","152.56","22625731.82","47.85","67735","7.03","73965","7.67","635872749","1344.99","384858806","55150917","72782384","22641514","67146810","33292318","814.05","116.65","153.94","47.89","142.02","70.41","530.94","450662433","635872749","70.87","68092443","15.11","52772642","11.71","120865085","26.82","329797348","135453000","1093923000","12.38","5.39","1.00","1562293000","28971795000","14.57","86.53","78.54","78.94","77.48","0","77691000","9.29","9.29","54230000","0.1023777645",,,,,,,,,,,
"2016","2016-11-01T00:00:00.000",,,,,,,"1047332000","1016850000","11","16.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91.05","73.02","79.84","70.54",,,,,,,,,,,,,,,,,
"2017","2017-11-01T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80.69","67.77","73.85","64.26",,,,,,,,,,,,,,,,,
