"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","location_1"
"620",,"E","26","ST","1","1","1970","Residential","Demolition","Multifamily","4","1630","2762599","1061192","17706","620 E 26 ST
,  "
"13201",,"E","52","ST","4","1","1973","Non-Residential","Additions, Alterations, Repairs","NA","0","700","2809985","1041543","84244","13201 E 52 ST
,  "
"5409",,"NE","50","ST","10","1","1971","Residential","Additions, Alterations, Repairs","NA","0","355","2784231","1098740","51476","5409 NE 50 ST
,  "
"2804",,"E","33","ST","9","1","1971","Residential","Demolition","Single Family","1","585","2774424","1055810","50634","2804 E 33 ST
,  "
"5836",,"E","12","ST","6","1","1970","Residential","Additions, Alterations, Repairs","NA","0","350","2785228","1067249","25926","5836 E 12 ST
,  "
"4120",,"E","35","ST","2","1","1971","Residential","Additions, Alterations, Repairs","NA","0","3500","2778767","1054326","38212","4120 E 35 ST
,  "
"1213",,"W","8","ST","4","1","1972","Non-Residential","Additions, Alterations, Repairs","NA","0","2000","2760636","1069890","64067","1213 W 8 ST
,  "
"800",,"W","47","ST","3","1","1973","Non-Residential","Additions, Alterations, Repairs","NA","0","1750","2761127","1047244","83274","800 W 47 ST
,  "
"3102",,"E","23","ST","10","1","1970","Residential","Demolition","Single Family","1","200","2775620","1062437","32207","3102 E 23 ST
,  "
"2008",,"E","43","ST","4","1","1973","Residential","Demolition","Single Family","1","370","2771420","1049368","84602","2008 E 43 ST
,  "
"1705",,"E","12","ST","12","1","1970","Non-Residential","Demolition","NA","0","850","2771203","1067724","33804","1705 E 12 ST
,  "
"651",,"NE","45","TE","9","1","1971","Residential","Additions, Alterations, Repairs","NA","0","285","2768225","1095786","50863","651 NE 45 TE
,  "
"8509",,"E","56","TE","5","1","1971","Residential","New Construction","Single Family","1","16000","2792533","1039365","43684","8509 E 56 TE
,  "
"2629",,"E","8","ST","5","11","1973","Residential","Additions, Alterations, Repairs","NA","0","500","2774540","1069280","85544","2629 E 8 ST
,  "
"2624",,"NE","42","ST","7","1","1971","Residential","Additions, Alterations, Repairs","NA","0","180","2774869","1093527","46817","2624 NE 42 ST
,  "
"1225",,"W","8","ST","8","1","1970","Residential","Demolition","Single Family","1","300","2760551","1069895","28951","1225 W 8 ST
,  "
"3908",,"E","19","ST","7","1","1971","Residential","Demolition","Single Family","1","400","2778424","1064062","46951","3908 E 19 ST
,  "
"11917",,"E","55","ST","10","1","1972","Residential","New Construction","Single Family","1","1600","2805613","1039661","74475","11917 E 55 ST
,  "
"1804",,"E","31","ST","1","1","1973","Non-Residential","Demolition","NA","0","670","2771103","1057273","80236","1804 E 31 ST
,  "
"2712",,"E","58","ST","9","1","1971","Residential","Demolition","Single Family","1","400","2773257","1039434","51392","2712 E 58 ST
,  "
