"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","involvement","race","sex","age","firearm_used_flag","location"
"KC19044451","2019-06-14T00:00:00.000","16:34","2019-06-14T00:00:00.000","16:30","2019-06-14T00:00:00.000","16:30","Stealing – Shoplift","23C","Shoplifting","233","8500  STATE LINE RD","KANSAS CITY","64114",,"MPD","N","VIC",,,,"false",
"KC19052276","2019-07-12T00:00:00.000","22:11","2019-07-13T00:00:00.000","2:28",,,"City/Municipal Warrant Arrest",,,,"00  NE TUDOR LN","LEES SUMMIT",,,,"N","ARR CHA SUS","W","F","30","false",
"KC19071090","2019-09-17T00:00:00.000","13:26","2019-09-17T00:00:00.000","13:15",,,"Stealing – Shoplift","23C","Shoplifting","224","1200  E 63RD ST","KANSAS CITY","64132",,"MPD","N","VIC",,,,"false",
"KC19073018","2019-09-24T00:00:00.000","7:32","2019-09-24T00:00:00.000","7:20",,,"Abuse of a Child","13B","Simple Assault","542","9400  MCKINLEY AVE","KANSAS CITY","64138","PJ6509","SPD","Y","SUS","B","M","39","false",
"KC19076088","2019-10-04T00:00:00.000","13:59","2019-10-04T00:00:00.000","13:50",,,"Recovered Stolen Auto",,,"141","700  LINWOOD BL","KANSAS CITY",,,"CPD","N","VIC",,,,"false",
"KC19026328","2019-04-11T00:00:00.000","9:34","2019-04-11T00:00:00.000","10:03",,,"Legacy Incident Report/Arrest",,,"113","900  E 21ST ST","KANSAS CITY","64108","PJ1725","CPD","N","VIC","W","M","54","false",
"KC19022118","2019-03-27T00:00:00.000","6:23","2019-03-26T00:00:00.000","20:00",,,"Unfounded",,,"422","3800  NW BARRY RD","KANSAS CITY","64154",,,"N","CMP VIC","B","M","51","false","3800  NW BARRY RD
KANSAS CITY,  64154
(39.246545, -94.624219)"
"KC19069494","2019-09-12T00:00:00.000","7:23","2019-09-12T00:00:00.000","7:23",,,"Sexual Misconduct","64A","Commercial Sex Acts","122","E 12TH ST and BROOKLYN AVE","KANSAS CITY","64127","PJ1072","CPD","N","VIC","U","F","28","false",
"KC19031052","2019-04-28T00:00:00.000","21:18","2019-04-28T00:00:00.000","21:18",,,"City/Municipal Warrant Arrest",,,"999","00  S WATER ST","LIBERTY","64068",,"OSPD","N","ARR CHA SUS","W","M","46","false",
"KC19036641","2019-05-18T00:00:00.000","10:34","2019-05-18T00:00:00.000","10:34",,,"Domestic Violence Assault (Aggravated)","13A","Aggravated Assault","333","4100  MONTGALL AVE","KANSAS CITY","64130","PJ3352","EPD","Y","VIC","B","F","27","true",
