"violationid","casenumber","case_status","street_address","postalcode","chapter","ordinance","description","ord_text","vio_status","correctiveaction","date_found","date_to_comply","date_resolved","full_address","pin","incident_location"
"002b6a5b-8e48-4757-82ef-c15da06607a7","NPD-2022-06629","Complete","3043 E 32nd St","64128","56","56-93","HANDRAIL MISSING","Handrails must be provided where needed for safety.","In Compliance","Repair or replace handrails.","2022-06-06T00:00:00.000","2022-07-06T00:00:00.000","2022-06-13","3043 E 32nd St, Kansas City, MO 64128","25045",
"002bb15e-1085-4918-871c-24273d1f6341","NPD-2021-01544","In-Violation","5712 Anderson Ave","64123","56","56-135","TORN/DAMAGED WINDOW SCREEN","Window screens are torn/damaged.","In Violation","Replace window screen or close window.","2021-05-05T00:00:00.000","2021-06-04T00:00:00.000",,"5712 Anderson Ave, Kansas City, MO 64123","44714","POINT (-94.514634 39.110517)"
"002bf205-3042-47e8-a86d-712b9d0bd10d","NPD-2022-10344","In-Violation","3012 Highland Ave","64109","48","48-28","UNAPPROVED PARKING","DID ALLOW A MOTOR VEHICLE TO BE PARKED ON AN UNAPPROVED SURFACE THAT WAS NOT SOLID AND ALL-WEATHER.","In Violation","WHITE CAR PARKED ON GRASS","2022-08-24T00:00:00.000","2022-09-03T00:00:00.000",,"3012 Highland Ave, Kansas City, MO 64109","27368",
"002e251d-6ff1-454e-8a0f-7fdf8d41cea4","NPD-2022-01557","In-Violation","12710 E 59th Ter","64133","48","48-27","UNLICENSED VEHICLE","MOTOR VEHICLE(S) WITHOUT CURRENT STATE LICENSE PLATES PARKED ON THE PREMISES.","In Compliance","License or remove vehicle","2022-06-02T00:00:00.000","2022-06-12T00:00:00.000","2022-07-28","12710 E 59th Ter, Kansas City, MO 64133","64426",
"002f66a7-2e73-4f3d-b3b5-b9171751636f","NPD-2022-10422","In-Violation","5102 Walnut St","64112","56","56-93","HANDRAIL MISSING","Handrails must be provided where needed for safety.","In Violation","Repair or replace handrails.","2022-08-05T00:00:00.000","2022-09-04T00:00:00.000",,"5102 Walnut St, Kansas City, MO 64112","143601",
"002ffa58-2a86-4eb1-8d8b-2c1a06b7d73b","NPD-2021-02491","In-Violation","2212 Prospect Ave","64127","56","56-163","INTERIOR WALL HAS CHIPPED/PEELING PAINT","Interior wall has chipped/peeling paint.","In Violation","Repair or replace floor.","2022-05-18T00:00:00.000","2022-06-17T00:00:00.000",,"2212 Prospect Ave, Kansas City, MO 64127","13188",
"00304006-237e-4d9c-a8b4-9a70449872c3","NPD-2022-07464","In-Violation","3305 Bales Ave","64128","56","56-133","DOWNSPOUT DISCONNECTED OR MISSING","Downspout(s) disconnected or missing.","In Violation","Repair or reconnect downspout.","2022-06-16T00:00:00.000","2022-07-16T00:00:00.000",,"3305 Bales Ave, Kansas City, MO 64128","26134",
"00315087-c594-46ec-8985-eeb50b260d1a","NPD-2021-21439","In-Compliance","1401 E Truman Rd","64108","56","56-455","WINDOW IN DISREPAIR","Window in disrepair.","In Compliance","Repair or replace window [Please repair the cracked window located in the front of the property].","2021-12-10T00:00:00.000","2022-01-09T00:00:00.000","2022-04-27","1401 E Truman Rd, Kansas City, MO 64108","12260","POINT (-94.565437 39.095204)"
"003221e0-66b2-4bfa-9d70-359a520f463b","NPD-2021-04618","In-Compliance","1628 Cypress Ave","64127","56","56-93","SOFFITS IN DISREPAIR","Porch soffits in disrepair.","In Compliance","Repair or replace porch soffits.","2021-05-20T00:00:00.000","2021-06-19T00:00:00.000","2021-10-11","1628 Cypress Ave, Kansas City, MO 64127","8598","POINT (-94.530059 39.091549)"
"00322f29-32ea-4f5e-8b52-019b8e0360a9","NPD-2021-02855","Complete","4111 N Winn Rd","64117","48","48-25","LITTER, TRASH, REFUSE AND RUBBISH","LITTER, TRASH, REFUSE AND RUBBISH LOCATED ON THE PREMISES.  THIS MAY INCLUDE CUT LIMBS AND BRUSH.","In Compliance","Remove ali the trash that is on the property.","2021-09-02T00:00:00.000","2021-09-12T00:00:00.000","2022-03-30","4111 N Winn Rd, Kansas City, MO 64117","77818",
