"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","location_1"
"612",,"W","101ST","ST","5","12","1983","Non-Residential","New Construction","NA","0","5000","2760216","1011887","6805","612 W 101ST ST
,  "
"4132",,,"WAYNE",,"7","2","1981","Non-Residential","Demolition","NA","0","0","2770022","1050249","60373","4132 WAYNE
,  "
"6",,"W","109TH","ST","5","28","1981","Residential","Additions, Alterations, Repairs","NA","0","4000","2762258","1006009","58405","6 W 109TH ST
,  "
"8409",,"E","109TH",,"8","19","1982","Non-Residential","New Construction","NA","0","6000","2801889","1049197","81840","8409 E 109TH
,  "
"7514",,"E","111TH","TE","6","6","1983","Non-Residential","New Construction","NA","0","6000","2788127","1004188","8176","7514 E 111TH TE
,  "
"6904",,"E","113TH","ST","6","20","1980","Non-Residential","New Construction","NA","0","3200","2785965","1002064","36886","6904 E 113TH ST
,  "
"1107",,"NE","114TH","TE","4","21","1983","Non-Residential","New Construction","NA","0","2500","2770462","1141165","5445","1107 NE 114TH TE
,  "
"3222",,"E","12TH","ST","9","8","1989","Residential","Demolition","Multifamily","4","0","2776366","1067613","20189","3222 E 12TH ST
,  "
"3927",,"E","14TH","TE","8","4","1987","Residential","Demolition","Single Family","1","0","2778716","1066207","20699","3927 E 14TH TE
,  "
"819",,"W","25TH","ST","8","7","1986","Non-Residential","Demolition","NA","0","0","2761760","1061579","20841","819 W 25TH ST
,  "
"2616",,"E","31ST","ST","8","30","1985","Residential","Demolition","Single Family","1","0","2773983","1057161","20991","2616 E 31ST ST
,  "
"9",,"W","31ST","ST","11","27","1981","Non-Residential","Demolition","NA","0","0","2764340","1057468","67554","9 W 31ST ST
,  "
"1710",,"W","34TH","ST","1","13","1982","Non-Residential","Demolition","NA","0","0","2758616","1055805","70362","1710 W 34TH ST
,  "
"411",,"W","42ND","TE","3","30","1982","Residential","Demolition","Single Family","1","0","2762801","1049863","74419","411 W 42ND TE
,  "
"3301",,"NE","43RD","ST","5","8","1985","Residential","Demolition","Single Family","1","0","2776873","1094059","15355","3301 NE 43RD ST
,  "
"5901",,"NE","45TH","ST","4","20","1989","Non-Residential","New Construction","NA","0","4918","2785654","1095437","14380","5901 NE 45TH ST
,  "
"417",,"E","60TH","ST","2","21","1989","Residential","New Construction","Single Family","1","36000","2765206","1038381","11824","417 E 60TH ST
,  "
"2620",,"NW","65TH","ST","1","14","1985","Residential","Demolition","Single Family","1","0","2757063","1109136","10352","2620 NW 65TH ST
,  "
"7417",,"NW","77TH","ST","5","14","1981","Non-Residential","New Construction","NA","0","7100","2741542","1117639","57766","7417 NW 77TH ST
,  "
"6913",,"NW","78TH","ST","6","18","1984","Non-Residential","New Construction","NA","0","4500","2743059","1117741","8252","6913 NW 78TH ST
,  "
"3300",,"NE","82ND","TE","6","27","1985","Non-Residential","Demolition","NA","0","0","2777100","1120221","17748","3300 NE 82ND TE
,  "
"5421",,"NW","85TH","ST","11","14","1984","Non-Residential","New Construction","NA","0","5550","2747996","1122248","19679","5421 NW 85TH ST
,  "
"7104",,"E","86TH","ST","11","6","1989","Non-Residential","New Construction","NA","0","1500","2787256","1020482","22678","7104 E 86TH ST
,  "
"4342",,"N","ANTIOCH","RD","6","25","1980","Non-Residential","New Construction","NA","0","200000","2774763","1094680","37083","4342 N ANTIOCH RD
,  "
"6722",,,"BALES",,"4","27","1983","Non-Residential","Demolition","NA","0","0","2775533","1033067","5715","6722 BALES
,  "
"4936",,,"BALTIMORE",,"11","1","1983","Residential","Demolition","Single Family","1","0","2763475","1045362","18068","4936 BALTIMORE
,  "
"5311",,"E","BANNISTER","RD","11","8","1982","Non-Residential","New Construction","NA","0","150000","2780669","1014561","86164","5311 E BANNISTER RD
,  "
"11225",,,"BOOTH",,"1","18","1982","Residential","Additions, Alterations, Repairs","NA","0","10000","2791022","1001932","70856","11225 BOOTH
,  "
"8812",,,"BRISTOL",,"5","12","1983","Non-Residential","New Construction","NA","0","6000","2786667","1018399","6804","8812 BRISTOL
,  "
"100",,,"BROADWAY",,"5","11","1984","Non-Residential","New Construction","NA","0","111000","2763470","1071823","5367","100 BROADWAY
,  "
"611",,,"BROOKLYN","AV","4","1","1987","Non-Residential","Demolition","NA","0","0","2772958","1070359","14006","611 BROOKLYN AV
,  "
"1315",,"N","CHOUTEAU","TF","6","19","1987","Non-Residential","New Construction","NA","0","1110000","2782229","1079424","18107","1315 N CHOUTEAU TF
,  "
"5904",,,"CYPRESS","AV","11","2","1987","Non-Residential","Demolition","NA","0","0","2779110","1038294","25423","5904 CYPRESS AV
,  "
"2034",,,"ELMWOOD",,"6","17","1983","Non-Residential","New Construction","NA","0","1400","2780299","1062965","8998","2034 ELMWOOD
,  "
"3434",,,"FLORA","AV","12","10","1987","Residential","Demolition","Single Family","1","0","2769970","1055057","27381","3434 FLORA AV
,  "
"4327",,,"FOREST",,"6","17","1986","Non-Residential","Demolition","NA","0","0","2768533","1049079","18141","4327 FOREST
,  "
"5116",,,"GARFIELD","AV","11","3","1989","Non-Residential","Demolition","NA","0","0","2771430","1043805","22546","5116 GARFIELD AV
,  "
"1520",,,"GENESSEE",,"6","23","1980","Non-Residential","Demolition","NA","0","0","2758889","1066634","36911","1520 GENESSEE
,  "
"1233",,,"GRAND","AV","2","22","1989","Non-Residential","Demolition","NA","0","0","2765811","1067607","11908","1233 GRAND AV
,  "
"2047",,,"MAIN",,"8","13","1981","Non-Residential","Demolition","NA","0","0","2764973","1063968","62497","2047 MAIN
,  "
"1827",,,"GRAND",,"11","16","1981","Non-Residential","Demolition","NA","0","0","2765694","1064777","66999","1827 GRAND
,  "
"9800",,,"GRANDVIEW","RD","4","28","1981","Non-Residential","New Construction","NA","0","100000","2774446","1012952","56728","9800 GRANDVIEW RD
,  "
"2309",,,"HARDESTY","AV","12","12","1986","Non-Residential","Demolition","NA","0","0","2783113","1061835","27478","2309 HARDESTY AV
,  "
"446",,"N","HARDESTY",,"10","17","1983","Non-Residential","New Construction","NA","0","3000","2783427","1074545","16922","446 N HARDESTY
,  "
"9912",,,"HOLMES","RD","12","8","1988","Non-Residential","New Construction","NA","0","869000","2765190","1012772","26069","9912 HOLMES RD
,  "
"12307",,,"HOLMES","RD","10","15","1985","Non-Residential","Demolition","NA","0","0","2764604","996165","23073","12307 HOLMES RD
,  "
"13501",,,"HOLMES","RD","1","3","1989","Non-Residential","New Construction","NA","0","30000","2764198","988729","10068","13501 HOLMES RD
,  "
"3107",,,"HOLMES",,"1","20","1981","Non-Residential","Demolition","NA","0","0","2767024","1057357","50812","3107 HOLMES
,  "
"3209",,,"JACKSON","AV","6","1","1987","Non-Residential","Demolition","NA","0","0","2778948","1056063","17081","3209 JACKSON AV
,  "
"3012",,,"JACKSON",,"3","5","1981","Residential","Demolition","Single Family","1","0","2778878","1057305","53466","3012 JACKSON
,  "
"1702",,,"KENSINGTON",,"4","22","1986","Residential","Demolition","Single Family","1","0","2779787","1064699","14991","1702 KENSINGTON
,  "
"2234",,,"KENSINGTON",,"5","20","1983","Residential","Demolition","Single Family","1","0","2779673","1062345","7368","2234 KENSINGTON
,  "
"5846",,,"LAWN",,"11","22","1983","Non-Residential","New Construction","NA","0","2000","2779689","1038440","19510","5846 LAWN
,  "
"1715",,,"LISTER",,"2","29","1984","Non-Residential","Demolition","NA","0","0","2781129","1064655","209","1715 LISTER
,  "
"3230",,,"LOCKRIDGE",,"2","29","1984","Residential","Demolition","Single Family","1","0","2776069","1059288","210","3230 LOCKRIDGE
,  "
"1834",,,"MERCIER","ST","6","7","1988","Non-Residential","Demolition","NA","0","0","2760496","1064550","17267","1834 MERCIER ST
,  "
"5208",,,"MERSINGTON","AV","11","28","1988","Residential","Demolition","Single Family","1","0","2777319","1042923","25540","5208 MERSINGTON AV
,  "
"3814",,,"MONROE",,"2","17","1983","Residential","Demolition","Single Family","1","0","2777040","1052177","1974","3814 MONROE
,  "
"7944",,,"MONTGALL",,"8","13","1985","Non-Residential","New Construction","NA","0","3500","2772571","1025122","20128","7944 MONTGALL
,  "
"440",,,"NICHOLS","RD","7","13","1981","Non-Residential","New Construction","NA","0","1700000","2762234","1046820","60830","440 NICHOLS RD
,  "
"5423",,"N","NORTHWOOD","RD","7","28","1981","Non-Residential","New Construction","NA","0","3000","2751474","1102359","61770","5423 N NORTHWOOD RD
,  "
"9028",,,"OAK",,"12","2","1981","Non-Residential","New Construction","NA","0","3500","2764121","1018557","67696","9028 OAK
,  "
"335",,"N","OAKLEY",,"5","4","1983","Non-Residential","New Construction","NA","0","2100","2784180","1073701","6239","335 N OAKLEY
,  "
"11600",,,"PALMER",,"6","2","1980","Residential","Additions, Alterations, Repairs","NA","0","800","2787989","1000038","35624","11600 PALMER
,  "
"3317",,,"PROSPECT","AV","10","10","1988","Residential","Demolition","Multifamily","2","0","2773702","1055664","23223","3317 PROSPECT AV
,  "
"2223",,,"QUINCY",,"12","31","1985","Residential","Demolition","Single Family","1","0","2782137","1062320","26003","2223 QUINCY
,  "
"9815",,,"SMALLEY",,"7","2","1981","Non-Residential","New Construction","NA","0","6800","2789420","1011799","60416","9815 SMALLEY
,  "
"421",,,"SOUTHWEST","BL","8","28","1986","Non-Residential","New Construction","NA","0","80000","2763202","1063337","22147","421 SOUTHWEST BL
,  "
"4345",,,"SPRUCE","AV","2","13","1989","Residential","Demolition","Single Family","1","0","2778976","1048393","11511","4345 SPRUCE AV
,  "
"1007",,,"SPRUCE",,"3","4","1983","Non-Residential","New Construction","NA","0","5000","2779561","1068140","2869","1007 SPRUCE
,  "
"3683",,,"SUMMIT",,"6","6","1986","Residential","Demolition","Multifamily","12","0","2761737","1053713","17404","3683 SUMMIT
,  "
"5019",,,"THOMPSON",,"11","29","1982","Residential","Additions, Alterations, Repairs","NA","0","300","2782059","1070650","87172","5019 THOMPSON
,  "
"8905",,,"TROOST",,"5","20","1983","Non-Residential","Demolition","NA","0","0","2766895","1019321","7332","8905 TROOST
,  "
"14821",,,"U S 40","HY","11","14","1986","Non-Residential","New Construction","NA","0","87184","2816095","1044442","26141","14821 U S 40 HY
,  "
"7050",,,"UNIVERSAL","AV","5","29","1987","Non-Residential","New Construction","NA","0","570000","2788365","1078217","16985","7050 UNIVERSAL AV
,  "
"3206",,,"VICTOR",,"4","29","1982","Residential","Additions, Alterations, Repairs","NA","0","2000","2775723","1058493","76044","3206 VICTOR
,  "
"2455",,,"VINE",,"8","11","1983","Residential","Demolition","Single Family","1","0","2770650","1061472","12616","2455 VINE
,  "
"508",,,"WALLACE",,"8","4","1983","Residential","Additions, Alterations, Repairs","NA","0","800","2793382","1069988","12136","508 WALLACE
,  "
"1009",,,"WALNUT",,"2","10","1983","Non-Residential","Demolition","NA","0","0","2765596","1068643","1614","1009 WALNUT
,  "
"2462",,,"WALROND","AV","10","18","1989","Non-Residential","Demolition","NA","0","0","2775674","1061092","21907","2462 WALROND AV
,  "
"8330",,,"WARD","PK","12","29","1986","Residential","Additions, Alterations, Repairs","NA","0","11900","2758242","1023270","28140","8330 WARD PK
,  "
"2139",,,"WASHINGTON","ST","1","21","1988","Non-Residential","Demolition","NA","0","0","2763148","1062921","10781","2139 WASHINGTON ST
,  "
"3932",,,"WAYNE","AV","10","12","1987","Residential","Demolition","Single Family","1","0","2770126","1051575","24303","3932 WAYNE AV
,  "
"2909",,,"WAYNE",,"10","15","1985","Residential","Demolition","Single Family","1","0","2770525","1058502","23068","2909 WAYNE
,  "
"1703",,,"WESTPORT",,"5","20","1982","Non-Residential","Demolition","NA","0","0","2758682","1049892","77171","1703 WESTPORT
,  "
"5900",,,"WILSON",,"10","28","1980","Non-Residential","Demolition","NA","0","0","2785394","1070198","45066","5900 WILSON
,  "
"5525",,,"WOODLAND",,"10","7","1983","Non-Residential","New Construction","NA","0","2000","2770428","1041092","16283","5525 WOODLAND
,  "
"4327",,,"WORNALL","RD","1","22","1985","Non-Residential","Demolition","NA","0","0","2763159","1049481","10596","4327 WORNALL RD
,  "
"618",,,"WYANDOTTE",,"12","4","1980","Non-Residential","Demolition","NA","0","0","2764460","1070374","47272","618 WYANDOTTE
,  "
"2709",,"E"," 30TH","ST","5","12","1983","Residential","Demolition","Single Family","1","0","2774097","1057695","6891","2709 E 30TH ST
,  "
"706",,"W"," 42ND","ST","9","19","1983","Non-Residential","Additions, Alterations, Repairs","NA","0","24000","2761775","1050869","14961","706 W 42ND ST
,  "
"1410",,"E","  8TH","ST","3","28","1983","Residential","Demolition","Single Family","1","0","2770402","1069568","4163","1410 E 8TH ST
,  "
"3305",,"E"," 59TH","ST","6","11","1980","Residential","Additions, Alterations, Repairs","NA","0","12300","2775267","1038522","36222","3305 E 59TH ST
,  "
"1409",,"E"," 72ND","ST","4","29","1982","Residential","Additions, Alterations, Repairs","NA","0","500","2768724","1030434","76063","1409 E 72ND ST
,  "
"340",,"W"," 47TH","ST","4","20","1983","Non-Residential","Additions, Alterations, Repairs","NA","0","10000","2763087","1047223","5334","340 W 47TH ST
,  "
"434",,"W"," 69TH","ST","9","28","1982","Residential","Additions, Alterations, Repairs","NA","0","3500","2761562","1033146","83885","434 W 69TH ST
,  "
"7107",,"E"," 67TH","ST","7","26","1982","Non-Residential","New Construction","NA","0","4240","2787658","1032700","80559","7107 E 67TH ST
,  "
"6923",,"E"," 39TH","ST","3","21","1983","Residential","Demolition","Single Family","1","0","2788074","1051205","3771","6923 E 39TH ST
,  "
"628",,"NE"," 83RD","ST","5","4","1982","Residential","Additions, Alterations, Repairs","NA","0","400","2768228","1120977","76279","628 NE 83RD ST
,  "
"3864",,"E"," 59TH","TE","12","16","1983","Residential","Additions, Alterations, Repairs","NA","0","6000","2777765","1038204","21049","3864 E 59TH TE
,  "
"223",,"W"," 73RD","TE","6","2","1980","Residential","Additions, Alterations, Repairs","NA","0","5000","2762297","1029796","35680","223 W 73RD TE
,  "
"9200",,"E"," 97TH","ST","8","19","1980","Residential","New Construction","Single Family","1","32297","2795113","1012268","40709","9200 E 97TH ST
,  "
"319",,"E"," 63RD","ST","11","30","1983","Non-Residential","Additions, Alterations, Repairs","NA","0","8000","2764833","1036565","19924","319 E 63RD ST
,  "
