"measure","ramped_to_street_surface","not_ramped_to_street_surface","number_of_curb_ramps_brought_up_to_ada_standards"
"FY 2014",,,"277"
"FY 2015","76","24","404"
"FY 2017","90","10","235"
"FY 2016","89","11","161"
