"fiscal_year","withholding","profits","wage","net_total"
"2003","130829969","28530100","7642566","167002635"
"2004","128862906","23541747","7745728","160150382"
"2005","133254016","27426439","7698515","168378969"
"2006","138356196","34111964","7741335","180209494"
"2007","150888820","38871196","8263733","198023749"
"2008","154475881","37857522","8918929","201252332"
"2009","156399095","36369969","9480225","202249289"
"2010","152576909","38090444","7824962","198492315"
"2011","156831247","30135206","8763935","195730388"
"2012","162012302","41805587","8117037","211934926"
"2013","165807042","39413496","7971249","213191788"
